step,phase,obs,action_raw,action_clipped,action_scaled
10,0.15625,"[ 8.3146960e-01  5.5557024e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04 -6.5937045e-04 -1.5384675e-03  6.5937045e-04
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04
 -2.1982193e-04 -1.9780160e-03  3.1110612e-01 -1.6502845e-01
  8.5625917e-01 -4.9163648e-01  4.5927241e-01 -6.4346850e-01
  7.1699262e-02 -3.1772235e-01  3.7960821e-01  5.6471556e-01]","[ 0.31170323 -0.15509892  0.7541894  -0.4569652   0.48821658 -0.65015984
  0.07668154 -0.18088204  0.33852324  0.6153986 ]","[ 0.31170323 -0.15509892  0.7541894  -0.4569652   0.48821658 -0.65015984
  0.07668154 -0.18088204  0.33852324  0.6153986 ]","[ 0.07792581 -0.03877473  0.18854734 -0.1142413   0.12205414 -0.16253996
  0.01917038 -0.04522051  0.08463081  0.15384965]"
11,0.171875,"[ 8.8192129e-01  4.7139674e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04 -1.0989190e-03
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04  3.1170323e-01 -1.5509892e-01
  7.5418937e-01 -4.5696521e-01  4.8821658e-01 -6.5015984e-01
  7.6681539e-02 -1.8088204e-01  3.3852324e-01  6.1539859e-01]","[ 0.30310076 -0.13673288  0.7741801  -0.4416769   0.5300075  -0.6648268
  0.07093884 -0.10834935  0.31653666  0.67011726]","[ 0.30310076 -0.13673288  0.7741801  -0.4416769   0.5300075  -0.6648268
  0.07093884 -0.10834935  0.31653666  0.67011726]","[ 0.07577519 -0.03418322  0.19354503 -0.11041923  0.13250187 -0.1662067
  0.01773471 -0.02708734  0.07913417  0.16752931]"
12,0.1875,"[ 9.2387950e-01  3.8268343e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04  3.0310076e-01 -1.3673288e-01
  7.7418011e-01 -4.4167691e-01  5.3000748e-01 -6.6482681e-01
  7.0938841e-02 -1.0834935e-01  3.1653666e-01  6.7011726e-01]","[ 0.2878216  -0.123344    0.73313624 -0.38209823  0.5299895  -0.674721
  0.06624804 -0.08073466  0.23790677  0.83565086]","[ 0.2878216  -0.123344    0.73313624 -0.38209823  0.5299895  -0.674721
  0.06624804 -0.08073466  0.23790677  0.83565086]","[ 0.0719554  -0.030836    0.18328406 -0.09552456  0.13249737 -0.16868025
  0.01656201 -0.02018367  0.05947669  0.20891272]"
13,0.203125,"[ 9.56940353e-01  2.90284663e-01  4.00543213e-03  4.00543213e-03
  5.53131104e-03 -1.69754028e-02  1.69754028e-02 -2.47955322e-03
  1.33514404e-03 -4.10089493e-02  1.01089478e-02  3.71942520e-02
 -2.19821930e-04  2.19821930e-04 -1.09891896e-03  2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -2.19821930e-04 -1.09891896e-03
 -2.19821930e-04  2.19821930e-04  2.87821591e-01 -1.23344004e-01
  7.33136237e-01 -3.82098228e-01  5.29989481e-01 -6.74721003e-01
  6.62480444e-02 -8.07346627e-02  2.37906769e-01  8.35650861e-01]","[ 0.240026   -0.09347183  0.24158786 -0.27299517  0.3288129  -0.61193264
  0.00880973  0.16888927  0.13965155  0.87430996]","[ 0.240026   -0.09347183  0.24158786 -0.27299517  0.3288129  -0.61193264
  0.00880973  0.16888927  0.13965155  0.87430996]","[ 0.0600065  -0.02336796  0.06039697 -0.06824879  0.08220322 -0.15298316
  0.00220243  0.04222232  0.03491289  0.21857749]"
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04 -1.0989190e-03 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -2.1982193e-04  2.1982193e-04  2.4002600e-01 -9.3471825e-02
  2.4158786e-01 -2.7299517e-01  3.2881290e-01 -6.1193264e-01
  8.8097323e-03  1.6888927e-01  1.3965155e-01  8.7430996e-01]","[ 0.17347315  0.06632212 -0.14913335 -0.19105624  0.10449429 -0.5188219
 -0.07160072  0.25624484  0.07357477  1.0843338 ]","[ 0.17347315  0.06632212 -0.14913335 -0.19105624  0.10449429 -0.5188219
 -0.07160072  0.25624484  0.07357477  1.0843338 ]","[ 0.04336829  0.01658053 -0.03728334 -0.04776406  0.02612357 -0.12970547
 -0.01790018  0.06406121  0.01839369  0.27108344]"
15,0.234375,"[ 9.9518472e-01  9.8017141e-02  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04  1.7347315e-01  6.6322118e-02
 -1.4913335e-01 -1.9105624e-01  1.0449429e-01 -5.1882190e-01
 -7.1600720e-02  2.5624484e-01  7.3574767e-02  1.0843338e+00]","[ 0.1897006   0.03678019 -0.02060503 -0.20842843  0.1784729  -0.46659
 -0.0072572   0.24032636  0.09716208  0.8142932 ]","[ 0.1897006   0.03678019 -0.02060503 -0.20842843  0.1784729  -0.46659
 -0.0072572   0.24032636  0.09716208  0.8142932 ]","[ 0.04742515  0.00919505 -0.00515126 -0.05210711  0.04461823 -0.1166475
 -0.0018143   0.06008159  0.02429052  0.2035733 ]"
16,0.25,"[ 1.0000000e+00  6.1232343e-17  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -1.0989190e-03 -6.5937045e-04  1.8970060e-01  3.6780186e-02
 -2.0605028e-02 -2.0842843e-01  1.7847291e-01 -4.6658999e-01
 -7.2572008e-03  2.4032636e-01  9.7162083e-02  8.1429321e-01]","[ 0.19983007  0.07112779  0.04550061 -0.25312832  0.36596927 -0.4781097
 -0.02290876  0.2769588   0.12320383  0.7880136 ]","[ 0.19983007  0.07112779  0.04550061 -0.25312832  0.36596927 -0.4781097
 -0.02290876  0.2769588   0.12320383  0.7880136 ]","[ 0.04995752  0.01778195  0.01137515 -0.06328208  0.09149232 -0.11952742
 -0.00572719  0.0692397   0.03080096  0.1970034 ]"
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -1.0989190e-03
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  1.9983007e-01  7.1127787e-02
  4.5500606e-02 -2.5312832e-01  3.6596927e-01 -4.7810969e-01
 -2.2908758e-02  2.7695879e-01  1.2320383e-01  7.8801358e-01]","[ 0.222179    0.07875003  0.05471931 -0.33345893  0.51167977 -0.47536305
 -0.02148018  0.19451375  0.18660928  0.7084842 ]","[ 0.222179    0.07875003  0.05471931 -0.33345893  0.51167977 -0.47536305
 -0.02148018  0.19451375  0.18660928  0.7084842 ]","[ 0.05554475  0.01968751  0.01367983 -0.08336473  0.12791994 -0.11884076
 -0.00537005  0.04862844  0.04665232  0.17712104]"
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01  4.0054321e-03  4.0054321e-03
  5.9127808e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -2.1982193e-04  2.1982193e-04  2.1982193e-04 -1.0989190e-03
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04  2.1982193e-04  2.2217900e-01  7.8750029e-02
  5.4719307e-02 -3.3345893e-01  5.1167977e-01 -4.7536305e-01
 -2.1480180e-02  1.9451375e-01  1.8660928e-01  7.0848417e-01]","[ 0.21910673  0.09512864  0.24194075 -0.3928435   0.6380258  -0.4343192
  0.01630662  0.15880008  0.2502544   0.5307129 ]","[ 0.21910673  0.09512864  0.24194075 -0.3928435   0.6380258  -0.4343192
  0.01630662  0.15880008  0.2502544   0.5307129 ]","[ 0.05477668  0.02378216  0.06048519 -0.09821088  0.15950646 -0.1085798
  0.00407666  0.03970002  0.0625636   0.13267823]"
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01  4.0054321e-03  4.0054321e-03
  5.5313110e-03 -1.6975403e-02  1.6975403e-02 -2.4795532e-03
  1.3351440e-03 -4.1008949e-02  1.0108948e-02  3.7194252e-02
 -6.5937045e-04  2.1982193e-04 -1.0989190e-03  2.1982193e-04
  2.1982193e-04  6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -6.5937045e-04  6.5937045e-04  2.1910673e-01  9.5128641e-02
  2.4194075e-01 -3.9284351e-01  6.3802582e-01 -4.3431920e-01
  1.6306624e-02  1.5880008e-01  2.5025439e-01  5.3071290e-01]","[ 0.2286801   0.06855763  0.38905084 -0.45154068  0.7857909  -0.4152837
  0.05853206 -0.01155762  0.29459843  0.3891514 ]","[ 0.2286801   0.06855763  0.38905084 -0.45154068  0.7857909  -0.4152837
  0.05853206 -0.01155762  0.29459843  0.3891514 ]","[ 0.05717003  0.01713941  0.09726271 -0.11288517  0.19644773 -0.10382093
  0.01463302 -0.00288941  0.07364961  0.09728785]"
