step,phase,obs,action_raw,action_clipped,action_scaled
10,0.078125,"[ 4.7139674e-01  8.8192129e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -1.5384675e-03 -2.1982193e-04 -6.5937045e-04  2.1982193e-04
  2.1982193e-04  2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.4926613e-01 -1.7439647e-01
  6.9766119e-04  1.3163336e-01  2.2378154e-01  2.1770787e+00
  1.0502725e-01  1.0430381e-01  3.4633930e+00 -1.0617242e+00]","[-0.44355807 -0.33997247 -0.296084    0.17420155  0.17974484  1.3780606
 -0.02262704  0.1187962   3.6521091  -1.160203  ]","[-0.44355807 -0.33997247 -0.296084    0.17420155  0.17974484  1.3780606
 -0.02262704  0.1187962   3.6521091  -1.160203  ]","[-0.11088952 -0.08499312 -0.074021    0.04355039  0.04493621  0.34451514
 -0.00565676  0.02969905  0.9130273  -0.29005075]"
11,0.0859375,"[ 5.1410276e-01  8.5772860e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -6.5937045e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -4.4355807e-01 -3.3997247e-01
 -2.9608399e-01  1.7420155e-01  1.7974484e-01  1.3780606e+00
 -2.2627041e-02  1.1879620e-01  3.6521091e+00 -1.1602030e+00]","[-0.5041633  -0.21252051 -0.22511363  0.13296242  0.29687202  0.78268355
 -0.09662505  0.16876075  3.5956776  -1.1365786 ]","[-0.5041633  -0.21252051 -0.22511363  0.13296242  0.29687202  0.78268355
 -0.09662505  0.16876075  3.5956776  -1.1365786 ]","[-0.12604083 -0.05313013 -0.05627841  0.03324061  0.074218    0.19567089
 -0.02415626  0.04219019  0.8989194  -0.28414464]"
12,0.09375,"[ 5.5557024e-01  8.3146960e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -6.5937045e-04 -2.1982193e-04  2.1982193e-04  6.5937045e-04
  2.1982193e-04 -6.5937045e-04  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -5.0416332e-01 -2.1252051e-01
 -2.2511363e-01  1.3296242e-01  2.9687202e-01  7.8268355e-01
 -9.6625052e-02  1.6876075e-01  3.5956776e+00 -1.1365786e+00]","[-0.64222306 -0.25852552 -0.41061142  0.11498027  0.37633365  0.2883402
 -0.12124997  0.12402974  3.629826   -1.0196975 ]","[-0.64222306 -0.25852552 -0.41061142  0.11498027  0.37633365  0.2883402
 -0.12124997  0.12402974  3.629826   -1.0196975 ]","[-0.16055577 -0.06463138 -0.10265286  0.02874507  0.09408341  0.07208505
 -0.03031249  0.03100744  0.9074565  -0.2549244 ]"
13,0.1015625,"[ 5.9569931e-01  8.0320752e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -1.0989190e-03
  2.1982193e-04 -2.1982193e-04  2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04 -6.4222306e-01 -2.5852552e-01
 -4.1061142e-01  1.1498027e-01  3.7633365e-01  2.8834021e-01
 -1.2124997e-01  1.2402974e-01  3.6298261e+00 -1.0196975e+00]","[-0.8954558   0.18566957 -0.2511804   0.11570462  0.34467936 -0.56636155
 -0.18841326 -0.17458545  3.4345698  -0.7342134 ]","[-0.8954558   0.18566957 -0.2511804   0.11570462  0.34467936 -0.56636155
 -0.18841326 -0.17458545  3.4345698  -0.7342134 ]","[-0.22386394  0.04641739 -0.0627951   0.02892615  0.08616984 -0.14159039
 -0.04710332 -0.04364636  0.85864246 -0.18355335]"
14,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -8.9545578e-01  1.8566957e-01
 -2.5118041e-01  1.1570462e-01  3.4467936e-01 -5.6636155e-01
 -1.8841326e-01 -1.7458545e-01  3.4345698e+00 -7.3421341e-01]","[-0.26860037  0.5155219   0.05353377 -0.13437375 -0.28061184 -1.510884
 -0.04109939 -0.02619295  2.54343     0.19660532]","[-0.26860037  0.5155219   0.05353377 -0.13437375 -0.28061184 -1.510884
 -0.04109939 -0.02619295  2.54343     0.19660532]","[-0.06715009  0.12888047  0.01338344 -0.03359344 -0.07015296 -0.377721
 -0.01027485 -0.00654824  0.6358575   0.04915133]"
15,0.1171875,"[ 6.7155898e-01  7.4095112e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -1.0989190e-03 -2.1982193e-04  2.1982193e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04 -2.6860037e-01  5.1552188e-01
  5.3533766e-02 -1.3437375e-01 -2.8061184e-01 -1.5108840e+00
 -4.1099392e-02 -2.6192952e-02  2.5434301e+00  1.9660532e-01]","[-0.15475364  0.6068381   0.18933932 -0.21084033 -0.29766983 -1.203473
  0.02302254 -0.1224122   2.3554373   0.09926196]","[-0.15475364  0.6068381   0.18933932 -0.21084033 -0.29766983 -1.203473
  0.02302254 -0.1224122   2.3554373   0.09926196]","[-0.03868841  0.15170953  0.04733483 -0.05271008 -0.07441746 -0.30086824
  0.00575563 -0.03060305  0.5888593   0.02481549]"
16,0.125,"[ 7.07106769e-01  7.07106769e-01 -3.24249268e-03  1.20162964e-02
  1.81198120e-02 -3.60498428e-02 -2.04086304e-02  2.47955322e-03
  8.58306885e-03 -3.24249268e-03  3.71942520e-02  1.01089478e-02
 -1.09891896e-03  2.19821930e-04 -2.19821930e-04 -2.19821930e-04
  6.59370446e-04  2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -1.54753640e-01  6.06838107e-01
  1.89339325e-01 -2.10840330e-01 -2.97669828e-01 -1.20347297e+00
  2.30225399e-02 -1.22412205e-01  2.35543728e+00  9.92619619e-02]","[-0.12188289  0.61446065  0.28202924 -0.34008855 -0.30864167 -0.43534726
  0.03961728 -0.08636399  2.177919   -0.02504743]","[-0.12188289  0.61446065  0.28202924 -0.34008855 -0.30864167 -0.43534726
  0.03961728 -0.08636399  2.177919   -0.02504743]","[-0.03047072  0.15361516  0.07050731 -0.08502214 -0.07716042 -0.10883681
  0.00990432 -0.021591    0.5444797  -0.00626186]"
17,0.1328125,"[ 7.40951121e-01  6.71558976e-01 -3.24249268e-03  1.20162964e-02
  1.81198120e-02 -3.60498428e-02 -2.04086304e-02  2.47955322e-03
  8.58306885e-03 -3.24249268e-03  3.71942520e-02  1.01089478e-02
 -1.09891896e-03 -2.19821930e-04  2.19821930e-04  2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -1.09891896e-03
 -2.19821930e-04 -2.19821930e-04 -1.21882886e-01  6.14460647e-01
  2.82029241e-01 -3.40088546e-01 -3.08641672e-01 -4.35347259e-01
  3.96172777e-02 -8.63639861e-02  2.17791891e+00 -2.50474289e-02]","[-0.0688276   0.5464984   0.38449478 -0.4539254  -0.23946013  0.10886335
 -0.03331405 -0.04207073  2.0196803  -0.2540063 ]","[-0.0688276   0.5464984   0.38449478 -0.4539254  -0.23946013  0.10886335
 -0.03331405 -0.04207073  2.0196803  -0.2540063 ]","[-0.0172069   0.1366246   0.0961237  -0.11348135 -0.05986503  0.02721584
 -0.00832851 -0.01051768  0.50492007 -0.06350157]"
18,0.140625,"[ 7.73010433e-01  6.34393275e-01 -3.24249268e-03  1.20162964e-02
  1.81198120e-02 -3.60498428e-02 -2.04086304e-02  2.47955322e-03
  8.58306885e-03 -3.24249268e-03  3.71942520e-02  1.01089478e-02
 -6.59370446e-04 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -6.88275993e-02  5.46498418e-01
  3.84494781e-01 -4.53925401e-01 -2.39460126e-01  1.08863354e-01
 -3.33140492e-02 -4.20707278e-02  2.01968026e+00 -2.54006296e-01]","[ 0.03231511  0.2906815   0.6184289  -0.58343416 -0.14549018  0.598822
  0.01941416 -0.11215079  1.8643588  -0.4915619 ]","[ 0.03231511  0.2906815   0.6184289  -0.58343416 -0.14549018  0.598822
  0.01941416 -0.11215079  1.8643588  -0.4915619 ]","[ 0.00807878  0.07267038  0.15460722 -0.14585854 -0.03637255  0.1497055
  0.00485354 -0.0280377   0.4660897  -0.12289047]"
19,0.1484375,"[ 8.0320752e-01  5.9569931e-01 -3.2424927e-03  1.2016296e-02
  1.8119812e-02 -3.6049843e-02 -2.0408630e-02  2.4795532e-03
  8.5830688e-03 -3.2424927e-03  3.7194252e-02  1.0108948e-02
 -2.1982193e-04  6.5937045e-04  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -1.0989190e-03 -6.5937045e-04
  6.5937045e-04 -6.5937045e-04  3.2315109e-02  2.9068151e-01
  6.1842889e-01 -5.8343416e-01 -1.4549018e-01  5.9882200e-01
  1.9414157e-02 -1.1215079e-01  1.8643588e+00 -4.9156189e-01]","[ 0.32821828  0.18004146  0.5600296  -0.57074666 -0.13399757  1.2103264
  0.18960696 -0.09164761  1.7685915  -0.7530967 ]","[ 0.32821828  0.18004146  0.5600296  -0.57074666 -0.13399757  1.2103264
  0.18960696 -0.09164761  1.7685915  -0.7530967 ]","[ 0.08205457  0.04501037  0.1400074  -0.14268667 -0.03349939  0.3025816
  0.04740174 -0.0229119   0.44214788 -0.18827417]"
