step,phase,obs,action_scaled,smoothed_joint_pos
100,,"[ 0.10769544 -0.02634101 -0.06377578  0.05400268 -0.00971054 -0.99849355
  0.2         0.          0.         -0.01073837  0.05117157  0.10632301
 -0.04036045  0.01102513  0.12204985  0.01073837  0.01711247  0.24883102
  0.02471924 -0.01864076 -0.28763384 -0.10109901  0.23296738  0.06593323
 -0.18901062  0.09964006 -1.1505067   0.01318741  0.16263771 -0.16263771
  0.08351707 -0.05223211  0.07959395  0.20876321 -0.39224842  1.5999738
  0.2094813  -0.75675905 -3.5747762   0.1685412  -0.10736999 -0.18239379
  0.90415853 -0.15301815  3.2575424  -0.43388373 -0.90096885  0.09504869]","[ 0.05100732 -0.08720311  0.46736538  0.05440423 -0.15861326 -0.73831344
  0.02644576 -0.03506691 -0.06479103  0.21343152 -0.06255943  0.73954225]","[-0.1967984437942505, -0.11243676394224167, 0.32287248969078064, -0.4523470401763916, 0.0934547558426857, -1.37974214553833, 0.29907092452049255, 0.008416656404733658, -0.0009433440864086151, 0.7214130163192749, -0.3134341239929199, 1.154317021369934]"
110,,"[ 0.06418588 -0.04898502 -0.22427177  0.05209989 -0.01428567 -0.9985397
  0.2         0.          0.         -0.01111984  0.05574921  0.10746742
 -0.04722691  0.02008584  0.07579088  0.01531601  0.02359745  0.21945785
  0.03769016 -0.02090436 -0.2840275  -0.00439644  0.21538544  0.02197838
 -0.17142868  0.08409261 -0.69810873  0.18021965  0.05714226 -1.0681324
  0.26813126 -0.08255584  0.14673391  0.21196964 -0.14350033  2.3634133
  0.23657537 -0.49376544 -1.9755039   0.02561658 -0.18431    -0.32167882
  0.69545746 -0.50148815  2.3251965  -0.7227949  -0.6910626   0.08754988]","[ 0.05658765 -0.01570122  0.6296275   0.0602301  -0.09842738 -0.4140399
  0.00070134 -0.04970133 -0.0811742   0.15965854 -0.1459442   0.5410372 ]","[-0.19828353822231293, -0.08600310981273651, 0.5373519659042358, -0.44211870431900024, 0.14965161681175232, -0.8526567220687866, 0.26457640528678894, -0.008887024596333504, -0.06749627739191055, 0.6884480118751526, -0.3930305540561676, 0.9036960601806641]"
120,,"[ 0.02405429 -0.04247848 -0.23939754  0.04980534 -0.01596354 -0.9986315
  0.2         0.          0.         -0.00692368  0.0691016   0.14256264
 -0.05409336  0.02783954  0.0503698   0.02561569  0.0216901   0.13515113
  0.05333042 -0.02326599 -0.27802712  0.10988998  0.41758156  1.0593414
 -0.11868095  0.08560403 -0.31673545  0.2857151  -0.11868095 -2.21978
  0.18021965 -0.02254743  0.21884714  0.25974122  0.12826681  2.815882
  0.25066036 -0.15939315 -0.88060397 -0.03892862 -0.24867135 -0.24149871
  0.4820948  -0.8089488   1.7941016  -0.91952777 -0.39302504  0.075699  ]","[ 0.06824971  0.04847878  0.72166514  0.06214517 -0.01066908 -0.14490983
 -0.01483097 -0.07091758 -0.04874439  0.10763257 -0.22144759  0.42570224]","[-0.18699930608272552, -0.012571210972964764, 0.6699603199958801, -0.43851786851882935, 0.23265652358531952, -0.5504413843154907, 0.24376291036605835, -0.029916001483798027, -0.05532567948102951, 0.6328496336936951, -0.4758915305137634, 0.7479150891304016]"
130,,"[ 3.5688072e-02 -4.5499932e-02 -1.7047374e-01  4.8004679e-02
 -1.7293906e-02 -9.9869752e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.3460388e-03  1.0152653e-01  2.6272750e-01
 -5.9052467e-02  2.7696788e-02  2.5097877e-02  2.9811859e-02
  1.1771889e-02  1.6512146e-02  5.7526588e-02 -2.1533281e-02
 -2.6436692e-01  9.2308044e-02  7.4285698e-01  3.6351643e+00
 -6.5933228e-02 -1.4416099e-02 -6.0528666e-01  4.3964386e-03
 -1.8021965e-01 -1.9560432e+00 -1.3187408e-02  2.7969860e-02
  2.4496326e-01  3.1198522e-01  3.7262961e-01  3.1343091e+00
  2.5356013e-01  4.4520617e-01  4.0132719e-01 -1.2728727e-01
 -4.0102917e-01 -7.4168615e-02  2.7120012e-01 -1.1663698e+00
  1.4576449e+00 -9.9899304e-01 -4.4864830e-02  6.4860255e-02]","[ 0.0769406   0.10145321  0.7844502   0.06420784  0.14988253  0.15499364
 -0.03498436 -0.1036108  -0.01160765  0.05864463 -0.30618265  0.3533632 ]","[-0.17491278052330017, 0.04749282822012901, 0.7552061080932617, -0.43655988574028015, 0.35775572061538696, -0.2494172751903534, 0.22484639286994934, -0.060517627745866776, -0.016710542142391205, 0.5801153182983398, -0.5573466420173645, 0.6554659008979797]"
140,,"[-6.8605542e-02 -1.7234532e-02 -1.5783744e-01  4.5061581e-02
 -1.5353885e-02 -9.9886632e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  7.1907043e-03  1.4768532e-01  4.5270228e-01
 -6.5155983e-02  3.0922621e-02  1.0751456e-02  2.9430389e-02
  1.8536765e-03 -7.8856237e-02  5.7526588e-02 -2.0937175e-02
 -2.5179553e-01  3.8241768e-01  9.6263695e-01  4.0835171e+00
 -2.6813126e-01  6.1652087e-02 -7.9847753e-02 -6.5933228e-02
 -2.2417641e-01 -1.6395607e+00 -4.3964386e-03 -8.7466359e-02
  8.0426224e-02  4.0246120e-01  6.9231552e-01  3.2400019e+00
  2.2285771e-01  1.5902349e+00  2.2690623e+00 -1.9275656e-01
 -4.5913091e-01 -4.7471181e-02  8.5773706e-02 -1.6587551e+00
  8.4767771e-01 -9.5105654e-01  3.0901700e-01  5.6838274e-02]","[ 0.10931229  0.19094183  0.79394966  0.05183817  0.45240086  0.7107934
 -0.04566995 -0.10762374 -0.02283124  0.00622548 -0.45433336  0.13292155]","[-0.15806788206100464, 0.11985830962657928, 0.7905476093292236, -0.4416026771068573, 0.6007753610610962, 0.15688073635101318, 0.20673169195652008, -0.0827021524310112, 0.001083533512428403, 0.5329797267913818, -0.6684476137161255, 0.5301687717437744]"
150,,"[-2.40614384e-01 -2.56947381e-03 -1.54762045e-01  4.47210260e-02
 -6.09355886e-03 -9.98980880e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  2.93159485e-02  1.86977655e-01  6.24366522e-01
 -7.54556656e-02  4.25798893e-02  3.38319987e-02  2.44712830e-02
 -1.07357781e-02 -9.79297236e-02  5.67636490e-02 -2.31588483e-02
 -2.50220805e-01  5.31867981e-01  6.02197647e-01  2.50109863e+00
 -2.59340286e-01  2.16245249e-01  6.37963235e-01 -1.01099014e-01
 -3.03297043e-01  1.89010620e-01 -3.07693481e-02 -5.19544072e-02
 -9.34723094e-02  5.16529083e-01  1.02114558e+00  2.62015891e+00
  1.76038116e-01  2.67159724e+00  5.91272259e+00 -9.93935764e-02
 -1.97295636e-01 -3.72679204e-01 -7.98755884e-02 -2.20239186e+00
 -1.00575447e+00 -7.81831503e-01  6.23489797e-01  4.92935963e-02]","[ 0.13203228  0.26631102  0.5844622   0.0458727   0.68222153  1.7480153
 -0.0137952  -0.02161797 -0.12767908 -0.02488119 -0.56874806 -0.38708353]","[-0.12745040655136108, 0.20409682393074036, 0.6952725648880005, -0.4537094533443451, 0.8834232091903687, 0.9407841563224792, 0.21815331280231476, -0.0377950482070446, -0.060399193316698074, 0.48863813281059265, -0.8088580369949341, 0.15156149864196777]"
160,,"[-2.4884297e-01 -4.3206010e-02 -2.4541371e-01  4.3075897e-02
  7.4162758e-03 -9.9904418e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  5.5256844e-02  2.1062878e-01  7.3995376e-01
 -8.6136818e-02  5.2837223e-02  6.6569060e-02  1.8367767e-02
 -2.9427795e-02 -7.4660070e-02  5.0660133e-02 -2.0679653e-02
 -2.5646713e-01  5.1428604e-01  2.2417641e-01  1.7010994e+00
 -1.8021965e-01  2.0208959e-01  5.9907806e-01 -6.5933228e-02
 -3.8241768e-01  5.6703377e-01 -1.8901062e-01  1.1507818e-01
 -2.0329881e-01  4.8287240e-01  1.0767643e+00  1.5906458e+00
  1.7471611e-01  2.6074116e+00  8.6721916e+00 -6.6618435e-03
  1.9481280e-01 -8.0539662e-01 -1.2327276e-01 -2.2003734e+00
 -2.4165492e+00 -5.1289928e-01  8.5844880e-01  3.9794292e-02]","[ 0.1113437   0.26642495  0.34899384  0.03940617  0.63344866  2.1994607
 -0.00519605  0.06789166 -0.21976222 -0.03360483 -0.5361113  -0.62837577]","[-0.125146746635437, 0.2383684366941452, 0.4501478374004364, -0.45550233125686646, 0.9522950649261475, 1.7601356506347656, 0.24469755589962006, 0.055592458695173264, -0.1674366295337677, 0.47051915526390076, -0.847282350063324, -0.2640419006347656]"
170,,"[-1.1661498e-01 -1.0822022e-01 -4.1734207e-01  3.9116025e-02
  1.7892959e-02 -9.9907458e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  7.8907967e-02  2.1825817e-01  7.7771926e-01
 -9.2621803e-02  5.7435244e-02  8.3071887e-02  1.0356903e-02
 -5.1553041e-02 -5.9401281e-02  4.1886330e-02 -1.3788402e-02
 -2.6778081e-01  4.5274734e-01 -1.7142868e-01 -5.7142258e-02
 -3.0769348e-02  2.8812140e-02  9.2216648e-02 -2.5054932e-01
 -3.6483574e-01 -4.3964386e-03 -1.8021965e-01  1.2094992e-01
 -1.9896276e-01  2.5400701e-01  1.0544724e+00  9.0119690e-01
  8.4882341e-02  2.4804738e+00  8.8761683e+00 -1.1483671e-01
  5.0267607e-01 -1.0259006e+00 -1.8166435e-01 -1.9576107e+00
 -2.7416818e+00 -1.7855689e-01  9.8392957e-01  2.3187170e-02]","[ 0.04333303  0.2576975   0.17486706  0.00998815  0.6055616   2.1402106
 -0.03980106  0.14215611 -0.25524724 -0.04798445 -0.45505023 -0.67301494]","[-0.1711234301328659, 0.23399408161640167, 0.25571590662002563, -0.47311678528785706, 0.9108364582061768, 1.9321550130844116, 0.22913146018981934, 0.13651826977729797, -0.23353362083435059, 0.458569198846817, -0.7930586338043213, -0.39241865277290344]"
180,,"[ 1.02006279e-01 -7.73338452e-02 -6.40554130e-01  3.39261629e-02
  1.89181995e-02 -9.99245405e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  9.49306488e-02  1.99184686e-01  6.91124678e-01
 -8.42294693e-02  5.90995252e-02  7.98215568e-02  2.34603882e-03
 -6.18536770e-02 -8.72485712e-02  3.54013443e-02 -9.93034244e-03
 -2.74813712e-01  2.68131256e-01 -3.64835739e-01 -3.25714302e+00
  2.94506073e-01  1.05182812e-01 -1.30175963e-01 -1.62637711e-01
 -1.45055771e-01 -1.27912140e+00 -1.01099014e-01 -2.16351775e-03
  2.49656659e-05 -1.22562408e-01  8.70836556e-01  2.23213136e-01
 -9.31698680e-02  2.39125419e+00  7.29354334e+00 -2.91706055e-01
  6.28247559e-01 -8.05754364e-01 -1.83859631e-01 -1.41942835e+00
 -2.47763634e+00  1.78556889e-01  9.83929574e-01 -3.22030694e-03]","[-0.05564298  0.20531106  0.0216246  -0.03694598  0.5967817   1.766916
 -0.08815056  0.155528   -0.18415225 -0.04571168 -0.33819827 -0.6306696 ]","[-0.2568906843662262, 0.20125256478786469, 0.08996182680130005, -0.5127304792404175, 0.8911532163619995, 1.666003704071045, 0.18713288009166718, 0.1810409128665924, -0.20994774997234344, 0.4534068703651428, -0.689399242401123, -0.37109535932540894]"
190,,"[ 1.6690272e-01  1.8304314e-03 -7.1323675e-01  3.1844847e-02
  1.1650302e-02 -9.9942493e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  9.9889755e-02  1.7820290e-01  4.7063136e-01
 -6.3248634e-02  6.3200593e-02  6.9142073e-02 -4.1389465e-03
 -6.7575723e-02 -1.5133645e-01  3.0059814e-02 -1.2173355e-02
 -2.7674109e-01  2.1978378e-02 -3.4725189e-01 -4.8923073e+00
  4.8791122e-01  6.0014386e-02 -2.6384714e-01 -8.3517075e-02
 -2.1978378e-02 -1.4637356e+00 -1.3626289e-01 -1.2927537e-01
 -6.1971486e-02 -4.3948910e-01  6.0004914e-01 -2.9812834e-01
 -2.6181912e-01  2.0739970e+00  5.8728223e+00 -4.5251784e-01
  5.9154373e-01 -4.1663262e-01 -1.4963929e-01 -1.0172964e+00
 -2.2924936e+00  5.1289928e-01  8.5844880e-01 -3.8046677e-02]","[-0.12631123  0.13084795 -0.09176433 -0.07050483  0.4787643   1.35186
 -0.11699401  0.14661571 -0.07134781 -0.03575465 -0.23289873 -0.55158055]","[-0.3410889804363251, 0.13710728287696838, -0.05082228034734726, -0.5553159713745117, 0.8343849182128906, 1.2981715202331543, 0.14572353661060333, 0.17953331768512726, -0.12083479762077332, 0.46065157651901245, -0.5707522034645081, -0.3211185038089752]"
