step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  4.7683716e-03 -1.8501282e-02
  2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-0.3594818   0.47065288],[-0.3594818   0.47065288],[-0.08987045  0.11766322]
1,0.0078125,"[ 4.9067676e-02  9.9879545e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -6.5937045e-04 -3.5948181e-01  4.7065288e-01]",[-0.4816007  1.1783193],[-0.4816007  1.1783193],[-0.12040018  0.29457983]
2,0.015625,"[ 9.8017141e-02  9.9518472e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -1.0989190e-03 -4.8160070e-01  1.1783193e+00]",[-0.5002675  1.7224497],[-0.5002675  1.7224497],[-0.12506688  0.43061242]
3,0.0234375,"[ 1.4673047e-01  9.8917651e-01  4.7683716e-03 -1.8501282e-02
  2.1982193e-04 -6.5937045e-04 -5.0026751e-01  1.7224497e+00]",[-0.47766382  2.0224488 ],[-0.47766382  2.0224488 ],[-0.11941595  0.5056122 ]
4,0.03125,"[ 1.9509032e-01  9.8078525e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  6.5937045e-04 -4.7766382e-01  2.0224488e+00]",[-0.38250303  1.8835166 ],[-0.38250303  1.8835166 ],[-0.09562576  0.47087914]
5,0.0390625,"[ 2.4298018e-01  9.7003126e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  6.5937045e-04 -3.8250303e-01  1.8835166e+00]",[-0.3348791  1.8298073],[-0.3348791  1.8298073],[-0.08371978  0.45745182]
6,0.046875,"[ 2.9028466e-01  9.5694035e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  6.5937045e-04 -3.3487910e-01  1.8298073e+00]",[-0.3182909  1.7753389],[-0.3182909  1.7753389],[-0.07957272  0.44383472]
7,0.05468750000000001,"[ 3.3688986e-01  9.4154406e-01  4.7683716e-03 -1.8501282e-02
 -6.5937045e-04 -6.5937045e-04 -3.1829089e-01  1.7753389e+00]",[-0.23903571  1.8003416 ],[-0.23903571  1.8003416 ],[-0.05975893  0.4500854 ]
8,0.0625,"[ 3.8268343e-01  9.2387950e-01  4.7683716e-03 -1.8501282e-02
 -6.5937045e-04  2.1982193e-04 -2.3903571e-01  1.8003416e+00]",[-0.14953882  1.7303284 ],[-0.14953882  1.7303284 ],[-0.0373847  0.4325821]
9,0.0703125,"[ 4.2755508e-01  9.0398932e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -1.0989190e-03 -1.4953882e-01  1.7303284e+00]",[-0.1665334  1.7302624],[-0.1665334  1.7302624],[-0.04163335  0.4325656 ]
10,0.078125,"[ 4.7139674e-01  8.8192129e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -6.5937045e-04 -1.6653340e-01  1.7302624e+00]",[-0.38967818  1.8652284 ],[-0.38967818  1.8652284 ],[-0.09741955  0.4663071 ]
11,0.0859375,"[ 5.1410276e-01  8.5772860e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -6.5937045e-04 -3.8967818e-01  1.8652284e+00]",[-0.39345795  2.1883824 ],[-0.39345795  2.1883824 ],[-0.09836449  0.5470956 ]
12,0.09375,"[ 5.5557024e-01  8.3146960e-01  4.7683716e-03 -1.8501282e-02
 -6.5937045e-04 -2.1982193e-04 -3.9345795e-01  2.1883824e+00]",[-0.30805123  1.853972  ],[-0.30805123  1.853972  ],[-0.07701281  0.463493  ]
13,0.1015625,"[ 5.9569931e-01  8.0320752e-01  4.7683716e-03 -1.8501282e-02
  6.5937045e-04  2.1982193e-04 -3.0805123e-01  1.8539720e+00]",[-0.26287544  0.77493083],[-0.26287544  0.77493083],[-0.06571886  0.19373271]
14,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -2.1982193e-04 -2.6287544e-01  7.7493083e-01]",[-0.21068402  0.8801396 ],[-0.21068402  0.8801396 ],[-0.052671   0.2200349]
15,0.1171875,"[ 6.7155898e-01  7.4095112e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  2.1982193e-04 -2.1068402e-01  8.8013959e-01]",[0.01478496 0.57066053],[0.01478496 0.57066053],[0.00369624 0.14266513]
16,0.125,"[ 7.0710677e-01  7.0710677e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -2.1982193e-04  1.4784962e-02  5.7066053e-01]",[0.05016674 0.40367448],[0.05016674 0.40367448],[0.01254169 0.10091862]
17,0.1328125,"[ 7.4095112e-01  6.7155898e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  2.1982193e-04  5.0166741e-02  4.0367448e-01]",[0.1448092  0.40680575],[0.1448092  0.40680575],[0.0362023  0.10170144]
18,0.140625,"[ 7.7301043e-01  6.3439327e-01  4.7683716e-03 -1.8501282e-02
 -6.5937045e-04 -2.1982193e-04  1.4480920e-01  4.0680575e-01]",[0.24206747 0.5056646 ],[0.24206747 0.5056646 ],[0.06051687 0.12641615]
19,0.1484375,"[ 8.0320752e-01  5.9569931e-01  4.7683716e-03 -1.8501282e-02
 -6.5937045e-04 -2.1982193e-04  2.4206747e-01  5.0566459e-01]",[0.35875756 0.73165286],[0.35875756 0.73165286],[0.08968939 0.18291321]
20,0.15625,"[ 8.3146960e-01  5.5557024e-01  4.7683716e-03 -1.8501282e-02
  2.1982193e-04  2.1982193e-04  3.5875756e-01  7.3165286e-01]",[0.3173586 0.9670083],[0.3173586 0.9670083],[0.07933965 0.24175207]
21,0.1640625,"[ 8.5772860e-01  5.1410276e-01  4.7683716e-03 -1.8501282e-02
  2.1982193e-04  2.1982193e-04  3.1735861e-01  9.6700829e-01]",[0.09577172 1.2383931 ],[0.09577172 1.2383931 ],[0.02394293 0.30959827]
22,0.171875,"[ 8.8192129e-01  4.7139674e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  2.1982193e-04  9.5771715e-02  1.2383931e+00]",[-0.13776857  1.4267672 ],[-0.13776857  1.4267672 ],[-0.03444214  0.3566918 ]
23,0.1796875,"[ 9.0398932e-01  4.2755508e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04  6.5937045e-04 -1.3776857e-01  1.4267672e+00]",[-0.19066957  1.4512507 ],[-0.19066957  1.4512507 ],[-0.04766739  0.36281267]
24,0.1875,"[ 9.2387950e-01  3.8268343e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -2.1982193e-04 -1.9066957e-01  1.4512507e+00]",[-0.12510826  1.2935507 ],[-0.12510826  1.2935507 ],[-0.03127706  0.32338768]
25,0.1953125,"[ 9.4154406e-01  3.3688986e-01  4.7683716e-03 -1.8501282e-02
 -2.1982193e-04 -1.0989190e-03 -1.2510826e-01  1.2935507e+00]",[-0.09462637  1.2306398 ],[-0.09462637  1.2306398 ],[-0.02365659  0.30765995]
26,0.203125,"[ 9.5694035e-01  2.9028466e-01  4.7683716e-03 -1.8501282e-02
  2.1982193e-04  2.1982193e-04 -9.4626375e-02  1.2306398e+00]",[-0.21543524  1.2185428 ],[-0.21543524  1.2185428 ],[-0.05385881  0.3046357 ]
27,0.2109375,"[ 0.97003126  0.24298018  0.00476837 -0.01659393 -0.00241756  0.02043953
 -0.21543524  1.2185428 ]",[-0.4099154  1.5726264],[-0.4099154  1.5726264],[-0.10247885  0.3931566 ]
28,0.21875000000000003,"[ 0.98078525  0.19509032  0.00400543 -0.01239777 -0.0054945   0.01824179
 -0.4099154   1.5726264 ]",[-0.2511829  2.10733  ],[-0.2511829  2.10733  ],[-0.06279573  0.5268325 ]
29,0.22656249999999997,"[ 0.9891765   0.14673047  0.00324249 -0.00896454 -0.00373631  0.01604395
 -0.2511829   2.10733   ]",[-0.38387144  1.5370488 ],[-0.38387144  1.5370488 ],[-0.09596786  0.3842622 ]
30,0.234375,"[ 0.9951847   0.09801714  0.00247955 -0.00514984 -0.00197802  0.02527475
 -0.38387144  1.5370488 ]",[-0.21390784  1.3077321 ],[-0.21390784  1.3077321 ],[-0.05347696  0.32693303]
31,0.2421875,"[ 9.9879545e-01  4.9067676e-02  2.0980835e-03  9.5367432e-04
 -3.2966614e-03  2.6153851e-02 -2.1390784e-01  1.3077321e+00]",[-0.04925092  1.1568192 ],[-0.04925092  1.1568192 ],[-0.01231273  0.2892048 ]
32,0.25,"[ 1.0000000e+00  6.1232343e-17  5.7220459e-04  5.5313110e-03
 -1.1208820e-02  2.2637367e-02 -4.9250923e-02  1.1568192e+00]",[0.12685768 1.0338138 ],[0.12685768 1.0338138 ],[0.03171442 0.25845346]
33,0.2578125,"[ 0.99879545 -0.04906768 -0.00133514  0.01354218 -0.00373631  0.04417581
  0.12685768  1.0338138 ]",[0.32917476 0.85858613],[0.32917476 0.85858613],[0.08229369 0.21464653]
34,0.265625,"[ 0.9951847  -0.09801714 -0.00171661  0.01811981 -0.00593405  0.02043953
  0.32917476  0.85858613]",[0.49433792 0.6960041 ],[0.49433792 0.6960041 ],[0.12358448 0.17400102]
35,0.2734375,"[ 0.9891765  -0.14673047 -0.00286102  0.02613068 -0.00373631  0.03978024
  0.49433792  0.6960041 ]",[0.58474237 0.6451407 ],[0.58474237 0.6451407 ],[0.14618559 0.16128518]
36,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -2.8610229e-03  3.0326843e-02
 -2.1982193e-04  1.9560432e-02  5.8474237e-01  6.4514071e-01]",[0.5911965 0.6541635],[0.5911965 0.6541635],[0.14779912 0.16354087]
37,0.2890625,"[ 0.97003126 -0.24298018 -0.00286102  0.03643131  0.00109892  0.03934069
  0.5911965   0.6541635 ]",[0.4568755  0.78357965],[0.4568755  0.78357965],[0.11421888 0.19589491]
38,0.296875,"[ 0.95694035 -0.29028466 -0.00209808  0.04062748  0.00593405  0.01340656
  0.4568755   0.78357965]",[0.24788024 0.8839221 ],[0.24788024 0.8839221 ],[0.06197006 0.22098053]
39,0.3046875,"[ 9.4154406e-01 -3.3688986e-01 -1.9073486e-04  4.3297768e-02
  1.3406563e-02  1.4285755e-02  2.4788024e-01  8.8392210e-01]",[0.12114601 0.77304935],[0.12114601 0.77304935],[0.0302865  0.19326234]
40,0.3125,"[ 0.9238795  -0.38268343  0.00247955  0.04711246  0.01252747  0.01912089
  0.12114601  0.77304935]",[0.12332271 0.5329611 ],[0.12332271 0.5329611 ],[0.03083068 0.13324027]
41,0.3203125,"[ 0.9039893  -0.42755508  0.0043869   0.05054569  0.00593405  0.01428576
  0.12332271  0.5329611 ]",[0.05977427 0.13647392],[0.05977427 0.13647392],[0.01494357 0.03411848]
42,0.328125,"[ 0.8819213  -0.47139674  0.00591278  0.05283451  0.00725279  0.00945053
  0.05977427  0.13647392]",[-0.15516195  0.04658077],[-0.15516195  0.04658077],[-0.03879049  0.01164519]
43,0.3359375,"[ 8.5772860e-01 -5.1410276e-01  6.6757202e-03  5.5504799e-02
  6.5937045e-04  1.2967015e-02 -1.5516195e-01  4.6580773e-02]",[-0.5326651   0.51626086],[-0.5326651   0.51626086],[-0.13316627  0.12906522]
44,0.34375,"[ 0.8314696  -0.55557024  0.00667572  0.05817509 -0.00109892  0.01384611
 -0.5326651   0.51626086]",[-0.7286814   0.41399276],[-0.7286814   0.41399276],[-0.18217035  0.10349819]
45,0.3515625,"[ 8.0320752e-01 -5.9569931e-01  6.2942505e-03  6.0845375e-02
  2.1982193e-04  1.2087918e-02 -7.2868139e-01  4.1399276e-01]",[-0.49351954  0.48874503],[-0.49351954  0.48874503],[-0.12337989  0.12218626]
46,0.359375,"[ 0.77301043 -0.6343933   0.00629425  0.06160831 -0.00109892 -0.00329666
 -0.49351954  0.48874503]",[-0.25385594  0.439853  ],[-0.25385594  0.439853  ],[-0.06346399  0.10996325]
47,0.3671875,"[ 0.7409511  -0.671559    0.00591278  0.06160831 -0.00505495  0.00593405
 -0.25385594  0.439853  ]",[0.01849946 0.36504513],[0.01849946 0.36504513],[0.00462486 0.09126128]
48,0.375,"[ 0.70710677 -0.70710677  0.0043869   0.06313419 -0.01252747  0.00725279
  0.01849946  0.36504513]",[0.20879973 0.28912076],[0.20879973 0.28912076],[0.05219993 0.07228019]
49,0.3828125,"[ 0.671559   -0.7409511   0.00209808  0.06389713 -0.00681314  0.00241756
  0.20879973  0.28912076]",[0.4232179  0.19961737],[0.4232179  0.19961737],[0.10580447 0.04990434]
50,0.390625,"[ 0.6343933  -0.77301043  0.00095367  0.06466007 -0.00813189  0.00329666
  0.4232179   0.19961737]",[0.5642678  0.06612793],[0.5642678  0.06612793],[0.14106695 0.01653198]
51,0.3984375,"[ 0.5956993  -0.8032075  -0.00095367  0.06504154 -0.00769234  0.00329666
  0.5642678   0.06612793]",[ 0.61289954 -0.10699956],[ 0.61289954 -0.10699956],[ 0.15322489 -0.02674989]
52,0.40625,"[ 5.5557024e-01 -8.3146960e-01 -1.7166138e-03  6.5804482e-02
 -1.5384675e-03  6.5937045e-04  6.1289954e-01 -1.0699956e-01]",[ 0.58550113 -0.22605233],[ 0.58550113 -0.22605233],[ 0.14637528 -0.05651308]
53,0.4140625,"[ 0.51410276 -0.8577286  -0.00133514  0.06580448  0.0046154  -0.00197802
  0.58550113 -0.22605233]",[ 0.4120127  -0.32050937],[ 0.4120127  -0.32050937],[ 0.10300317 -0.08012734]
54,0.421875,"[ 4.7139674e-01 -8.8192129e-01  1.9073486e-04  6.5423012e-02
  5.0549507e-03 -1.5384675e-03  4.1201270e-01 -3.2050937e-01]",[ 0.09765069 -0.5264333 ],[ 0.09765069 -0.5264333 ],[ 0.02441267 -0.13160832]
55,0.4296875,"[ 4.2755508e-01 -9.0398932e-01  5.7220459e-04  6.5041542e-02
  3.7363053e-03 -1.0989190e-03  9.7650692e-02 -5.2643329e-01]",[-0.12059432 -0.81659275],[-0.12059432 -0.81659275],[-0.03014858 -0.20414819]
56,0.43750000000000006,"[ 0.38268343 -0.9238795   0.00209808  0.0642786   0.00505495 -0.00857143
 -0.12059432 -0.81659275]",[-0.4430074 -1.3714705],[-0.4430074 -1.3714705],[-0.11075185 -0.3428676 ]
57,0.44531250000000006,"[ 0.33688986 -0.94154406  0.00324249  0.06122684  0.00989008 -0.0164835
 -0.4430074  -1.3714705 ]",[-0.6845474 -1.9394046],[-0.6845474 -1.9394046],[-0.17113686 -0.48485115]
58,0.45312499999999994,"[ 0.29028466 -0.95694035  0.00476837  0.05817509  0.00681314 -0.01384611
 -0.6845474  -1.9394046 ]",[-0.58825815 -1.3104508 ],[-0.58825815 -1.3104508 ],[-0.14706454 -0.3276127 ]
59,0.46093749999999994,"[ 2.4298018e-01 -9.7003126e-01  5.5313110e-03  5.5123329e-02
  6.5937045e-04 -1.3406563e-02 -5.8825815e-01 -1.3104508e+00]",[-0.27321178 -0.4960118 ],[-0.27321178 -0.4960118 ],[-0.06830294 -0.12400295]
60,0.46875,"[ 0.19509032 -0.98078525  0.00476837  0.05092716 -0.00417585 -0.03142853
 -0.27321178 -0.4960118 ]",[-0.19696598 -0.49027616],[-0.19696598 -0.49027616],[-0.04924149 -0.12256904]
61,0.4765625,"[ 0.14673047 -0.9891765   0.00476837  0.04482365  0.0046154  -0.02087908
 -0.19696598 -0.49027616]",[-0.13823275 -0.47862333],[-0.13823275 -0.47862333],[-0.03455819 -0.11965583]
62,0.484375,"[ 9.8017141e-02 -9.9518472e-01  5.5313110e-03  4.0246010e-02
 -6.5937045e-04 -2.8791238e-02 -1.3823275e-01 -4.7862333e-01]",[-0.16837168 -0.36451954],[-0.16837168 -0.36451954],[-0.04209292 -0.09112988]
63,0.4921875,"[ 0.04906768 -0.99879545  0.00514984  0.03299809 -0.00285711 -0.02791204
 -0.16837168 -0.36451954]",[-0.51861715  0.20709774],[-0.51861715  0.20709774],[-0.12965429  0.05177443]
64,0.5,"[ 1.2246469e-16 -1.0000000e+00  4.7683716e-03  2.8419495e-02
 -3.2966614e-03 -2.1758271e-02 -5.1861715e-01  2.0709774e-01]",[-1.103151   1.0121683],[-1.103151   1.0121683],[-0.27578774  0.25304207]
65,0.5078125,"[-0.04906768 -0.99879545  0.00400543  0.02231598 -0.00197802 -0.03538465
 -1.103151    1.0121683 ]",[-1.6926156  1.526796 ],[-1.6926156  1.526796 ],[-0.4231539  0.381699 ]
66,0.515625,"[-9.8017141e-02 -9.9518472e-01  4.0054321e-03  1.8501282e-02
 -6.5937045e-04 -1.7802238e-02 -1.6926156e+00  1.5267960e+00]",[-1.9374397  1.3405787],[-1.9374397  1.3405787],[-0.48435992  0.33514467]
67,0.5234375,"[-1.4673047e-01 -9.8917651e-01  3.6239624e-03  1.3542175e-02
 -1.0989190e-03 -3.5824206e-02 -1.9374397e+00  1.3405787e+00]",[-2.408634   1.5597454],[-2.408634   1.5597454],[-0.6021585   0.38993636]
68,0.53125,"[-0.19509032 -0.98078525  0.00247955  0.0082016  -0.0046154  -0.01164837
 -2.408634    1.5597454 ]",[-2.516051  1.348959],[-2.516051  1.348959],[-0.62901276  0.33723974]
69,0.5390625,"[-2.4298018e-01 -9.7003126e-01  1.9073486e-04  7.0571899e-03
 -1.5604401e-02 -3.2966614e-03 -2.5160511e+00  1.3489590e+00]",[-2.1276836  0.9784918],[-2.1276836  0.9784918],[-0.5319209   0.24462295]
70,0.546875,"[-0.29028466 -0.95694035 -0.00400543  0.00782013 -0.0265934   0.00989008
 -2.1276836   0.9784918 ]",[-1.7480346   0.50673175],[-1.7480346   0.50673175],[-0.43700865  0.12668294]
71,0.5546875,"[-0.33688986 -0.94154406 -0.00972748  0.01163483 -0.03230772  0.02395601
 -1.7480346   0.50673175]",[-1.5147934  -0.00330923],[-1.5147934  -0.00330923],[-0.37869835 -0.00082731]
72,0.5625,"[-0.38268343 -0.9238795  -0.01773834  0.01544952 -0.04065933  0.01736259
 -1.5147934  -0.00330923]",[-1.6940807  -0.87199664],[-1.6940807  -0.87199664],[-0.42352018 -0.21799916]
