step,phase,obs,action_raw,action_clipped,action_scaled
13,0.1015625,"[ 5.9569931e-01  8.0320752e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  1.2028050e-04 -4.3950355e-04
 -1.2026676e-04 -4.3954008e-04  1.0829856e-01 -6.5346502e-02
 -1.4352036e+00 -1.0554667e-01]",[ 0.26249623 -0.11586549 -1.4657577   0.02432247],[ 0.26249623 -0.11586549 -1.4657577   0.02432247],[ 0.06562406 -0.02896637 -0.36643943  0.00608062]
14,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  1.2030561e-04 -9.1362262e-10
  3.1355199e-08 -6.5931486e-04  2.6249623e-01 -1.1586549e-01
 -1.4657577e+00  2.4322465e-02]",[ 0.27935028  0.11967073 -1.295548    0.04667987],[ 0.27935028  0.11967073 -1.295548    0.04667987],[ 0.06983757  0.02991768 -0.323887    0.01166997]
15,0.1171875,"[ 6.7155898e-01  7.4095112e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -4.8915050e-10  2.1977516e-04
 -2.4054397e-04 -6.5927673e-04  2.7935028e-01  1.1967073e-01
 -1.2955480e+00  4.6679869e-02]",[ 0.2607847   0.11241861 -1.2741483   0.05743796],[ 0.2607847   0.11241861 -1.2741483   0.05743796],[ 0.06519617  0.02810465 -0.3185371   0.01435949]
16,0.125,"[ 7.07106769e-01  7.07106769e-01 -1.12748807e-02 -1.90693536e-04
  7.09905429e-03  6.67515770e-03 -4.89150498e-10  2.19775160e-04
  1.20308578e-04 -4.39578260e-04  2.60784686e-01  1.12418614e-01
 -1.27414834e+00  5.74379563e-02]",[ 0.34466028  0.11576463 -1.2384349  -0.05776255],[ 0.34466028  0.11576463 -1.2384349  -0.05776255],[ 0.08616507  0.02894116 -0.30960873 -0.01444064]
17,0.1328125,"[ 7.40951121e-01  6.71558976e-01 -1.12748807e-02 -1.90693536e-04
  7.09905429e-03  6.67515770e-03  1.20278542e-04  4.39501688e-04
  1.20313773e-04 -1.90886951e-08  3.44660282e-01  1.15764625e-01
 -1.23843491e+00 -5.77625483e-02]",[ 0.38764724  0.11245554 -1.2298125  -0.2523765 ],[ 0.38764724  0.11245554 -1.2298125  -0.2523765 ],[ 0.09691181  0.02811388 -0.30745313 -0.06309412]
18,0.140625,"[ 7.7301043e-01  6.3439327e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -1.4672393e-09  6.5923011e-04
  2.4061189e-04 -2.1979392e-04  3.8764724e-01  1.1245554e-01
 -1.2298125e+00 -2.5237650e-01]",[ 0.4028482   0.14809349 -1.2126167  -0.3286228 ],[ 0.4028482   0.14809349 -1.2126167  -0.3286228 ],[ 0.10071205  0.03702337 -0.30315417 -0.0821557 ]
19,0.1484375,"[ 8.0320752e-01  5.9569931e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  2.4058564e-04 -2.1972931e-04
  1.0453245e-08 -2.1980342e-04  4.0284821e-01  1.4809349e-01
 -1.2126167e+00 -3.2862279e-01]",[ 0.42443752  0.19940767 -1.1603112  -0.41891652],[ 0.42443752  0.19940767 -1.1603112  -0.41891652],[ 0.10610938  0.04985192 -0.2900778  -0.10472913]
20,0.15625,"[ 8.3146960e-01  5.5557024e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03 -3.6084052e-04  8.7896036e-04
  1.2030858e-04 -4.3957826e-04  4.2443752e-01  1.9940767e-01
 -1.1603112e+00 -4.1891652e-01]",[ 0.40903026  0.24687743 -1.0859752  -0.41242272],[ 0.40903026  0.24687743 -1.0859752  -0.41242272],[ 0.10225756  0.06171936 -0.2714938  -0.10310568]
21,0.1640625,"[ 8.5772860e-01  5.1410276e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  1.2028050e-04 -4.3950355e-04
  1.0453245e-08 -2.1980342e-04  4.0903026e-01  2.4687743e-01
 -1.0859752e+00 -4.1242272e-01]",[ 0.37172264  0.2462753  -1.0173659  -0.32669848],[ 0.37172264  0.2462753  -1.0173659  -0.32669848],[ 0.09293066  0.06156883 -0.25434148 -0.08167462]
22,0.171875,"[ 8.8192129e-01  4.7139674e-01 -1.1274881e-02 -1.9069354e-04
  7.0990543e-03  6.6751577e-03  4.8915050e-10 -2.1977516e-04
 -2.4054397e-04 -6.5927673e-04  3.7172264e-01  2.4627531e-01
 -1.0173659e+00 -3.2669848e-01]",[ 0.33044708  0.25240338 -1.0020971  -0.2184928 ],[ 0.33044708  0.25240338 -1.0020971  -0.2184928 ],[ 0.08261177  0.06310084 -0.25052428 -0.0546232 ]
