step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[ 4.27555084e-01  9.03989315e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.16383743e-02  1.56948846e-02 -3.92364524e-03
 -1.07118607e-01  1.09339803e-01  7.86409378e-02 -4.50680554e-02
 -1.51498411e-02  1.09788895e-01 -1.30474478e-01 -1.09891896e-03
 -6.59370446e-04  2.19821930e-04 -2.19821930e-04  2.23296258e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  1.09706460e-04  7.58723199e-01 -1.31447101e+00  1.11729109e+00
  4.33161706e-01 -8.53044093e-01  1.67020535e+00 -3.42048109e-01
  8.44338685e-02  1.24292600e+00 -1.55620515e-01 -4.00169083e-04
  1.13983093e-04  4.24638594e-04 -4.09609592e-03  2.00395398e-02
 -2.65224073e-02]","[ 0.20474988 -0.30195662  0.27103868  0.10742905 -0.22029263  0.42680407
 -0.09300508  0.01838247  0.31580207 -0.03828191]","[-0.05371325463056564, -0.4121205508708954, 0.3048896789550781, -0.37789684534072876, -0.06386350840330124, 0.6326199769973755, -0.08369874954223633, 0.04402574896812439, 0.7628414034843445, -0.2178700566291809]"
20,0.1484375,"[ 8.03207517e-01  5.95699310e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.16383743e-02  1.56948846e-02 -3.92364524e-03
 -1.07118607e-01  1.09339803e-01  7.86409378e-02 -4.50680554e-02
 -1.51498411e-02  1.09788895e-01 -1.30474478e-01  2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -6.59370446e-04 -2.20502363e-04
 -2.19821930e-04 -1.09891896e-03 -2.19821930e-04 -6.59370446e-04
  1.12648144e-04  1.24224544e+00 -8.12338471e-01  8.19601357e-01
  4.19291198e-01 -1.18349135e+00  2.20736575e+00 -3.20691854e-01
 -7.19227493e-02  1.49849427e+00 -8.25473964e-02 -2.43909759e-04
 -1.65287041e-04 -2.80330423e-04 -4.07288270e-03  2.00772379e-02
 -2.65500359e-02]","[ 0.32345772 -0.19290522  0.1977415   0.10516278 -0.30382416  0.56380445
 -0.08042391 -0.02173335  0.37856132 -0.01941578]","[0.04806011915206909, -0.24332576990127563, 0.20234616100788116, -0.3952200710773468, -0.13735955953598022, 0.7891957759857178, -0.05004900321364403, -0.004438002128154039, 0.869569718837738, -0.17225447297096252]"
30,0.22656249999999997,"[ 9.89176512e-01  1.46730468e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.16383743e-02  1.56948846e-02 -3.92364524e-03
 -1.07118607e-01  1.09339803e-01  7.86409378e-02 -4.50680554e-02
 -1.51498411e-02  1.09788895e-01 -1.30474478e-01  6.59370446e-04
 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04 -2.21911454e-04
  2.19821930e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  1.12648144e-04  1.70294571e+00 -5.19830525e-01  6.30514562e-01
  4.31174636e-01 -1.45145941e+00  2.54724598e+00 -4.51137543e-01
 -1.35214254e-01  1.56314862e+00 -6.58284873e-02  1.18856924e-05
 -1.79768922e-05 -2.86709605e-04 -4.09784121e-03  2.00871341e-02
 -2.64514778e-02]","[ 0.43686336 -0.12630337  0.15637451  0.1080723  -0.36832255  0.6423797
 -0.1189592  -0.03284452  0.39014402 -0.01679035]","[0.16488532721996307, -0.1644403487443924, 0.15016746520996094, -0.3924383819103241, -0.2071860283613205, 0.8803669810295105, -0.07759912312030792, -0.023895077407360077, 0.890593409538269, -0.1663556545972824]"
40,0.3046875,"[ 9.41544056e-01 -3.36889863e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.16383743e-02  1.56948846e-02 -3.92364524e-03
 -1.07118607e-01  1.09339803e-01  7.86409378e-02 -4.50680554e-02
 -1.51498411e-02  1.09788895e-01 -1.30474478e-01 -6.59370446e-04
 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04  1.09904904e-04
 -6.59370446e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -1.06717162e-04  2.15681887e+00 -5.48790395e-01  7.04576612e-01
  4.32377994e-01 -1.63163579e+00  2.67256260e+00 -8.18094671e-01
  1.40543431e-02  1.44726920e+00 -9.92399901e-02  4.15645802e-04
  4.00299992e-04 -7.70715589e-04 -4.04473115e-03  2.01183408e-02
 -2.64766440e-02]","[ 0.55101043 -0.14389987  0.18182324  0.10755529 -0.41117057  0.6690863
 -0.21700938  0.01051189  0.35621598 -0.02587349]","[0.277396023273468, -0.1634332835674286, 0.16189315915107727, -0.39201274514198303, -0.2540417015552521, 0.916869044303894, -0.16325490176677704, 0.007415655069053173, 0.8661460280418396, -0.17386701703071594]"
50,0.3828125,"[ 6.71558976e-01 -7.40951121e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -4.12569046e-02  1.53134149e-02  4.60498407e-02
 -1.02922440e-01  9.42176282e-02  1.00385666e-01 -5.30789196e-02
 -1.17166135e-02  1.30388260e-01 -1.29994541e-01 -6.59370446e-04
  2.79120449e-02  6.30768761e-02  1.12088202e-02 -1.72818676e-02
  3.09889801e-02  5.49449911e-03  4.61540231e-03  3.93406861e-02
  1.57801155e-02  2.59051371e+00 -8.88187230e-01  8.25756848e-01
  4.09847915e-01 -1.65214610e+00  2.55906868e+00 -1.30658698e+00
  3.38918209e-01  1.09868503e+00 -6.85548633e-02  6.84794486e-02
  1.98164247e-02 -5.69784548e-03 -1.32179016e-03  2.29179021e-02
 -2.65944377e-02]","[ 0.6421574  -0.24497357  0.21628763  0.10316778 -0.40806082  0.6249713
 -0.33686036  0.1043832   0.26816165 -0.01344676]","[0.390818327665329, -0.24804256856441498, 0.19679047167301178, -0.39772218465805054, -0.26757967472076416, 0.9063072800636292, -0.27683672308921814, 0.08498220145702362, 0.7956254482269287, -0.1692713350057602]"
60,0.46093749999999994,"[ 2.4298018e-01 -9.7003126e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -5.7220459e-05  6.2616616e-02  8.1526525e-02
 -2.6626587e-02  4.7208026e-02  2.0757961e-01 -2.6376037e-02
 -2.2016296e-02  2.3987198e-01 -1.0223845e-01  3.7142850e-02
  1.9999981e-02  4.1758539e-03  7.5384617e-02 -2.6956791e-02
  6.6593364e-02 -1.9780160e-03  1.0769272e-02  2.2637367e-02
  1.9685043e-02  2.6195972e+00 -9.4791096e-01  3.5982108e-01
  4.6101978e-01 -1.2861704e+00  1.8821100e+00 -1.3216727e+00
  4.8498839e-01  6.0365862e-01  2.2452196e-01  1.4005446e-01
 -1.0479733e-02 -5.9967346e-02  4.5754071e-02  2.7079884e-02
 -3.7504684e-02]","[ 0.65620005 -0.18141572  0.02959922  0.10115168 -0.2939444   0.43723318
 -0.30461314  0.10106139  0.12264526  0.08609617]","[0.39981910586357117, -0.28647252917289734, 0.11234503984451294, -0.395552396774292, -0.18551968038082123, 0.7433764934539795, -0.31860819458961487, 0.13515594601631165, 0.6626648306846619, -0.10987700521945953]"
70,0.5390625,"[-0.24298018 -0.97003126  0.2         0.          0.          0.08310413
  0.0729163   0.08076359  0.09468269  0.00599572  0.2766266  -0.11258915
  0.03940129  0.23262405 -0.04359005  0.04197798 -0.00373631 -0.01032963
  0.05428572 -0.01251468  0.01076927 -0.07626372  0.04813185 -0.02395601
  0.03941427 -0.13021716  0.9976622  -0.29918486 -0.9740587   0.23016718
 -0.42685446  1.7803549  -2.05203    -0.25727785  0.10735506  0.03924886
 -0.02374355 -0.09040014  0.08104319  0.01995728 -0.07262718]","[-0.04208339  0.2337486  -0.06059109 -0.27617508  0.07002937 -0.06850936
  0.4801174  -0.5213406  -0.07102682  0.01817922]","[-0.3156700134277344, 0.20948782563209534, -0.07593508064746857, -0.764464795589447, 0.18808740377426147, 0.12754212319850922, 0.47876566648483276, -0.5082060098648071, 0.43959447741508484, -0.11982262879610062]"
80,0.6171875,"[-0.671559   -0.7409511   0.2         0.          0.          0.09874535
  0.09961918  0.01514984  0.09544563  0.01462282  0.25297546 -0.2167323
 -0.07466007  0.15594673  0.00978786 -0.03406591  0.08329668 -0.08769226
 -0.09736262  0.01675879 -0.04505491  0.03318682 -0.34175825 -0.07714281
  0.0108251  -0.10368295  0.29254097 -0.00929472 -1.0906624   0.19412121
  0.5440811   1.4767739  -1.2241834  -0.369497   -0.7394571   0.20939775
  0.00808105  0.1045277   0.12567246  0.0098565  -0.08018704]","[-0.04312226  0.04723944  0.00242721 -0.26987588  0.03624686  0.15888467
  0.32124412 -0.2557737  -0.09994037 -0.21230863]","[-0.27531176805496216, 0.07599089294672012, -0.020009199157357216, -0.7752499580383301, 0.2025100588798523, 0.35744524002075195, 0.4300416111946106, -0.34443989396095276, 0.4100608825683594, -0.3115254342556]"
90,0.6953125,"[-0.94154406 -0.33688986  0.2         0.          0.          0.05601978
  0.2293208  -0.07945561 -0.03387547  0.03244862  0.1927023  -0.14120033
 -0.250139    0.11360359 -0.00896189 -0.00681314  0.04945059  0.02307692
 -0.04813185  0.00744982 -0.0054945   0.04813185  0.0468132   0.00857143
 -0.03613339 -0.3365543   0.31414047 -0.15887287 -0.94931096 -0.00157595
  0.21990296  0.95386297 -1.1692677  -0.2204272  -0.778962   -0.0090425
  0.01539896  0.24557328  0.16678688  0.01487284 -0.01246444]","[-0.11108994  0.07165816 -0.04154835 -0.24190004  0.00077443  0.03644629
  0.24601464 -0.30424014 -0.05023451 -0.17237197]","[-0.32361963391304016, 0.04785517230629921, -0.0462145134806633, -0.738555908203125, 0.15346784889698029, 0.3241991102695465, 0.267208993434906, -0.2675061523914337, 0.4400257468223572, -0.36062705516815186]"
100,0.7734375,"[-9.89176512e-01  1.46730468e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  4.76274490e-02  2.01092035e-01 -3.86383459e-02
 -1.16655350e-01  3.14712971e-02  1.74773216e-01 -1.16785318e-01
 -1.20818861e-01  1.50224686e-01 -7.54661858e-02 -7.25278864e-03
 -6.65933639e-02 -1.97801599e-03 -2.26373672e-02 -1.10066775e-02
 -9.45053156e-03 -1.73625946e-02  8.90110061e-02  1.95604321e-02
 -4.10028510e-02 -8.32525611e-01  6.05959773e-01 -3.30209792e-01
 -1.11121798e+00  1.83532164e-02 -5.25933325e-01  1.20111263e+00
 -2.01243305e+00 -2.26394013e-01 -4.96241786e-02 -2.15796575e-01
  5.78693161e-03  2.88192302e-01  1.21090874e-01  2.04222696e-03
  9.09682736e-02]","[-0.20675503  0.17341407 -0.0898906  -0.2808661   0.00427829 -0.15129894
  0.3059969  -0.5287387  -0.0572022  -0.00378455]","[-0.4440184533596039, 0.11649319529533386, -0.09072563052177429, -0.7708180546760559, 0.1520601212978363, 0.1331126093864441, 0.322711706161499, -0.47638383507728577, 0.44760391116142273, -0.18150024116039276]"
