step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0703125,"[-3.57905927e-04  3.31193674e-04 -4.95350629e-04  1.37241567e-02
  3.83862015e-03 -9.99898314e-01  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -9.23738480e-02  3.47683728e-02  4.08721901e-03
 -9.98706818e-02  7.82350451e-02  1.44254684e-01 -1.98910516e-02
 -1.32424925e-02  9.94892120e-02 -5.63871562e-02 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04 -6.59370446e-04  2.26065051e-04
 -1.09891896e-03 -6.59370446e-04 -6.59370446e-04  6.59370446e-04
 -1.14282644e-04  1.30400860e+00 -4.36084479e-01  7.83189058e-01
  1.04275393e+00 -4.46265316e+00  1.52017176e+00 -1.53264368e+00
  7.62869120e-01 -7.38853812e-02  5.67322373e-01  4.27555084e-01
  9.03989315e-01]","[ 0.3038221  -0.04174408  0.17835826  0.06105648 -1.1690007   0.27506295
 -0.2580241   0.10691906 -0.05881354 -0.03124993]","[-0.12810760736465454, 0.1020100936293602, 0.25461405515670776, -0.3174480199813843, -0.25835126638412476, 0.2951124608516693, 0.02599957585334778, 0.13084615767002106, 0.3933834135532379, 0.9297096729278564]"
20,0.1484375,"[-8.6585780e-05 -2.5096524e-04 -1.4417729e-04  1.3743825e-02
  3.9391750e-03 -9.9989772e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00 -9.2373848e-02  3.4768373e-02  4.0872190e-03
 -9.9870682e-02  7.8235045e-02  1.4425468e-01 -1.9891052e-02
 -1.3242492e-02  9.9489212e-02 -5.6387156e-02  6.5937045e-04
 -2.1982193e-04 -1.0989190e-03 -2.1982193e-04  6.3895197e-07
 -6.5937045e-04 -6.5937045e-04 -6.5937045e-04  6.5937045e-04
  1.1464778e-04 -2.0844905e-01  1.2655592e+00 -8.6250401e-01
 -8.3536208e-01 -3.9142497e+00 -5.6529617e-01 -1.4248377e-01
 -1.3011028e+00 -5.2576798e-01  3.7268200e+00  8.0320752e-01
  5.9569931e-01]","[-0.35414028  0.1727356  -0.06163524 -0.23140302 -0.092295   -0.30197197
  0.11108682 -0.34329733 -0.07568607  1.6023996 ]","[-0.330789178609848, 0.09328269958496094, -0.20326071977615356, -0.5713583827018738, -0.8773552775382996, 0.09337850660085678, -0.005624470766633749, -0.182560533285141, 0.3473512828350067, 0.5443865060806274]"
30,0.22656249999999997,"[ 0.19925307  0.00596053  0.07601567  0.01561851 -0.01003425 -0.9998275
  0.          0.          0.         -0.09580803  0.05269745  0.01324249
 -0.0983448   0.01085533  0.13700676 -0.01455048 -0.02010895  0.08995152
 -0.05588986 -0.02395601  0.06000004 -0.03362637 -0.01516485 -0.11836701
 -0.01120882  0.01692305 -0.0384615  -0.03494501  0.00423862  0.8504206
 -2.4419801   1.3880997   0.67629004 -3.5578272   1.6099092   0.17938283
  0.15635219  0.1457609  -0.3959674   0.9891765   0.14673047]","[ 0.22053199 -0.6376958   0.2250674   0.16128647 -0.89440405  0.29634735
 -0.09687255  0.07224935  0.02117738 -0.1799596 ]","[-0.08193010091781616, -0.43628621101379395, 0.22464729845523834, -0.3209247589111328, -0.7193361520767212, 0.4389552175998688, -0.06636238843202591, 0.12163258343935013, 0.5596739649772644, 0.432969331741333]"
40,0.3046875,"[-0.17595088 -0.00245372  0.01184676  0.02130135 -0.04016486 -0.99896586
  0.          0.          0.         -0.12060356  0.08741215 -0.08060002
 -0.03540134 -0.2519012   0.13929558  0.02893803 -0.06092716  0.02281189
  0.11278632  0.01780224 -0.04549446  0.20241757  0.11406594 -0.15733774
  0.08637362 -0.03582421  0.13692312 -0.03098898  0.2120579  -0.3083319
 -0.6945809  -0.34490684  1.2542739   2.3084981   0.19919068 -0.10093033
  0.16430473 -0.30538043  0.18659194  0.94154406 -0.33688986]","[-0.23182447 -0.10493214 -0.15826726  0.36825943  0.75186783 -0.02749707
  0.05525783  0.02446187  0.04235977  0.06560063]","[-0.28030669689178467, -0.27400732040405273, -0.08736152201890945, -0.2389136552810669, 0.39733871817588806, 0.27475985884666443, -0.02850155159831047, 0.039495695382356644, 0.39215970039367676, -0.09693561494350433]"
50,0.3828125,"[-0.29778987 -0.11149766 -0.24591775 -0.00926133  0.08689811 -0.9961742
  0.          0.          0.         -0.06109333 -0.19182846  0.17956616
  0.15609932 -0.0320604   0.19613552 -0.16714028  0.1538441  -0.03860569
  0.33276725  0.02043953 -0.18527475 -0.18527475  0.04417581  0.47750774
 -0.02175827 -0.11186814 -0.01780224 -0.03714285 -0.3035314  -4.3937964
  2.3098056  -2.0518768   2.516097    1.996177   -1.2759031   2.2654629
 -1.6411558   2.2825415  -0.63811165  0.671559   -0.7409511 ]","[-1.0109456   0.62155735 -0.5118865   0.56183386  0.03140381 -0.33986172
  0.86080194 -0.49923912  0.4484284  -0.26132354]","[-1.2929646968841553, 0.6804346442222595, -0.6039333939552307, 0.12202183902263641, 0.8511114120483398, -0.07300633192062378, 0.37643879652023315, -0.33119654655456543, 1.0042047500610352, -0.271457701921463]"
60,0.46093749999999994,"[ 0.5663081   0.23621245  0.01340245 -0.03458389  0.00689272 -0.9993781
  0.          0.          0.         -0.17820644 -0.24561569 -0.23052047
  0.1122303   0.20658866  0.15340996 -0.11564091 -0.12005592  0.00564575
 -0.1629158  -0.12813187  0.18923073 -0.35538465  0.08549452 -0.04346029
 -0.0156044   0.19582415 -0.25472528  0.10351648 -0.10543668  0.9885939
  0.50184685  0.34092054  0.44370764 -0.03046926 -0.00649606 -1.0362759
 -0.33221224 -0.6770329  -0.683495    0.24298018 -0.97003126]","[ 0.3289588  -0.00423297  0.11260589  0.08494435  0.04389261 -0.03174219
 -0.33795306 -0.07934444 -0.12576124  0.32479727]","[-0.13174854218959808, 0.28510841727256775, 0.04203632101416588, -0.41485217213630676, 0.06329061090946198, 0.2839372754096985, -0.06428941339254379, -0.03926009312272072, 0.24932390451431274, -0.6893364191055298]"
70,0.5390625,"[ 8.20695385e-02  1.65199757e-01  4.37076479e-01  8.46955627e-02
 -1.49495110e-01 -9.85128522e-01  0.00000000e+00  0.00000000e+00
  0.00000000e+00 -3.50633621e-01  3.83437425e-01 -4.51394320e-01
  3.02968025e-01  5.97580224e-02  6.71968460e-02  2.54008979e-01
 -1.82236448e-01  7.46927261e-02 -1.95087820e-01 -6.59370446e-04
  1.65494546e-01  4.98241723e-01  1.16483690e-02 -2.59703368e-01
  1.42857553e-02  1.49670318e-01  1.20219804e-01 -9.64835212e-02
 -7.08918348e-02 -1.41837609e+00 -5.64315796e-01  3.64092374e+00
 -1.05896926e+00 -1.45679069e+00  1.47806430e+00 -1.75924146e+00
 -1.60579264e+00  2.03047931e-01  1.13637114e+01 -2.42980182e-01
 -9.70031261e-01]","[ 0.20098533 -0.5327104   0.8064316  -0.0179829  -0.6787384   0.51320803
 -0.5829487  -0.01972065  0.09551279  2.5622132 ]","[-0.5508165955543518, -0.3367445766925812, 0.5445483922958374, -0.6263827085494995, -0.22106479108333588, 0.24697904288768768, -0.28951990604400635, -0.26840656995773315, 0.5009040832519531, 2.6074776649475098]"
80,0.6171875,"[-4.7166312e-01  3.5409650e-01 -9.8735593e-02  1.2941402e-01
  8.2728714e-03 -9.9155605e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00 -2.7929688e-01  2.7624252e-01  5.4387546e-01
  1.6716290e-01 -3.3152255e-01  6.1856270e-02  5.7548255e-02
 -2.2305371e-01  1.5182495e-02 -1.6803926e-01  4.0219784e-02
 -2.7890110e-01  3.8703299e-01 -1.3076925e-01 -1.8794061e-01
  1.5384675e-03 -2.8505492e-01 -2.0065932e-01 -7.2527886e-03
  5.1433756e-03  9.2689967e-01  1.1347849e+00  6.6017830e-01
 -2.1844798e-01 -9.0119019e+00  1.4457594e+00 -1.6299762e+00
  5.7715487e-01  6.1635989e-01  9.2851430e-01 -6.7155898e-01
 -7.4095112e-01]","[ 0.2918942   0.18792725  0.25916812 -0.0805026  -2.179102    0.28615838
 -0.2573664   0.1643329   0.15773265  0.21110977]","[0.030404021963477135, 0.24652332067489624, 0.13736067712306976, -0.5057542324066162, -1.8436741828918457, 0.5387462377548218, -0.35664594173431396, 0.13920141756534576, 0.6330032348632812, -0.015357589349150658]"
90,0.6953125,"[-1.7023411e-01 -5.8886603e-02 -3.7008867e-01  1.6141489e-01
  1.4208652e-01 -9.7660470e-01  0.0000000e+00  0.0000000e+00
  0.0000000e+00 -3.8992500e-01  1.0190800e-01  5.2022338e-01
  1.1490059e-01 -3.3734977e-01  4.8123360e-02 -2.2626904e-01
 -1.3607766e-01  2.3956299e-02 -6.1129183e-03 -3.4945011e-02
 -7.0989035e-02 -3.2021981e-01  6.8131448e-03 -5.9552994e-02
  4.3296721e-02 -1.9999981e-02  3.7208796e-01  7.8022003e-02
  2.8982628e-02 -2.6209134e-01 -7.4996752e-01  1.2937384e+00
  3.2489640e-01 -6.7172713e+00  9.9803913e-01  9.8440444e-01
  4.2990282e-01  2.7027678e-01  4.8396322e-01 -9.4154406e-01
 -3.3688986e-01]","[-0.10869427 -0.1550189   0.30990386  0.09245842 -1.6012841   0.21078
  0.27926344  0.07919922  0.08030203  0.11980062]","[-0.2555026412010193, -0.15115675330162048, 0.3429715037345886, -0.4597446918487549, -1.555867075920105, 0.520675778388977, 0.2323065847158432, 0.12318794429302216, 0.5864205956459045, 0.005293300841003656]"
