step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.00000000e+00  1.00000000e+00 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.47955322e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -6.59370446e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -1.20271579e-04  2.19821930e-04
 -1.09891896e-03 -2.19821930e-04 -2.19821930e-04  1.20278404e-04
  2.19821930e-04 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04
  2.19821930e-04  2.19821930e-04 -6.59370446e-04  2.19821930e-04
 -6.59370446e-04 -2.19821930e-04  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  0.00000000e+00]","[-0.09187095  0.22925808 -0.34280652 -0.25235572  0.3389544   0.6999175
  0.19083709  0.09760866  0.79168123 -0.6935967  -0.331423    0.1991211
  0.11178292  0.07625835  0.13912936 -0.0586649   0.02939259 -0.08571513
 -0.12004102  0.1498828 ]","[-0.09187095  0.22925808 -0.34280652 -0.25235572  0.3389544   0.6999175
  0.19083709  0.09760866  0.79168123 -0.6935967  -0.331423    0.1991211
  0.11178292  0.07625835  0.13912936 -0.0586649   0.02939259 -0.08571513
 -0.12004102  0.1498828 ]","[-0.02296774  0.05731452 -0.08570163 -0.06308893  0.0847386   0.17497937
  0.04770927  0.02440217  0.19792031 -0.17339918 -0.08285575  0.04978028
  0.02794573  0.01906459  0.03478234 -0.01466622  0.00734815 -0.02142878
 -0.03001026  0.0374707 ]"
1,0.0078125,"[ 4.90676761e-02  9.98795450e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04 -6.59370446e-04
 -6.59370446e-04 -6.59370446e-04  3.60762555e-04  2.19821930e-04
 -6.59370446e-04  2.19821930e-04 -6.59370446e-04 -2.40574984e-04
  2.19821930e-04  2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -6.59370446e-04 -6.59370446e-04  6.59370446e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -9.18709487e-02  2.29258075e-01
 -3.42806518e-01 -2.52355725e-01  3.38954389e-01  6.99917495e-01
  1.90837085e-01  9.76086631e-02  7.91681230e-01 -6.93596721e-01
 -3.31423014e-01  1.99121103e-01  1.11782923e-01  7.62583539e-02
  1.39129356e-01 -5.86648956e-02  2.93925852e-02 -8.57151300e-02
 -1.20041020e-01  1.49882793e-01]","[ 0.4860717   0.12489745 -0.2569112   0.25705442  0.08839539  0.6259108
  0.11150573  0.08028334  0.7437437  -0.6864944  -0.27479213  0.14285734
  0.04261005  0.0388636   0.07092965 -0.0599764  -0.01511792 -0.12815359
 -0.05004766  0.14567938]","[ 0.4860717   0.12489745 -0.2569112   0.25705442  0.08839539  0.6259108
  0.11150573  0.08028334  0.7437437  -0.6864944  -0.27479213  0.14285734
  0.04261005  0.0388636   0.07092965 -0.0599764  -0.01511792 -0.12815359
 -0.05004766  0.14567938]","[ 0.12151793  0.03122436 -0.0642278   0.0642636   0.02209885  0.1564777
  0.02787643  0.02007083  0.18593593 -0.1716236  -0.06869803  0.03571434
  0.01065251  0.0097159   0.01773241 -0.0149941  -0.00377948 -0.0320384
 -0.01251191  0.03641985]"
2,0.015625,"[ 9.80171412e-02  9.95184720e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04  2.40481721e-04  2.19821930e-04
  2.19821930e-04  2.19821930e-04  2.19821930e-04  1.58160507e-09
  2.19821930e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
  2.19821930e-04 -6.59370446e-04  2.19821930e-04  2.19821930e-04
 -6.59370446e-04  2.19821930e-04  4.86071706e-01  1.24897450e-01
 -2.56911188e-01  2.57054418e-01  8.83953869e-02  6.25910819e-01
  1.11505732e-01  8.02833363e-02  7.43743718e-01 -6.86494410e-01
 -2.74792135e-01  1.42857343e-01  4.26100492e-02  3.88635993e-02
  7.09296539e-02 -5.99763989e-02 -1.51179247e-02 -1.28153592e-01
 -5.00476584e-02  1.45679384e-01]","[ 0.8192702   0.05528041  0.01714393  0.656619   -0.12886976  0.6789082
  0.01648904  0.08614766  0.8268884  -0.7465122  -0.1758373   0.02625299
 -0.01945448 -0.00660333 -0.02036875 -0.06208387 -0.01351761 -0.17300208
 -0.00459847  0.1553269 ]","[ 0.8192702   0.05528041  0.01714393  0.656619   -0.12886976  0.6789082
  0.01648904  0.08614766  0.8268884  -0.7465122  -0.1758373   0.02625299
 -0.01945448 -0.00660333 -0.02036875 -0.06208387 -0.01351761 -0.17300208
 -0.00459847  0.1553269 ]","[ 0.20481755  0.0138201   0.00428598  0.16415475 -0.03221744  0.16972706
  0.00412226  0.02153691  0.2067221  -0.18662804 -0.04395932  0.00656325
 -0.00486362 -0.00165083 -0.00509219 -0.01552097 -0.0033794  -0.04325052
 -0.00114962  0.03883173]"
3,0.0234375,"[ 1.46730468e-01  9.89176512e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02  2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  6.59370446e-04  4.80902003e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04  1.20301338e-04
 -1.09891896e-03 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04 -6.59370446e-04
 -6.59370446e-04 -2.19821930e-04  8.19270194e-01  5.52804098e-02
  1.71439275e-02  6.56619012e-01 -1.28869757e-01  6.78908229e-01
  1.64890401e-02  8.61476585e-02  8.26888382e-01 -7.46512175e-01
 -1.75837293e-01  2.62529850e-02 -1.94544755e-02 -6.60333037e-03
 -2.03687511e-02 -6.20838702e-02 -1.35176070e-02 -1.73002079e-01
 -4.59846854e-03  1.55326903e-01]","[ 0.9473575  -0.02867277  0.11454327  0.93216914 -0.3344864   0.8039717
 -0.07336703  0.16320416  0.99245334 -0.79102904 -0.04356718 -0.0261275
 -0.00580997 -0.05594162 -0.0281609  -0.06261142 -0.0477396  -0.17265709
 -0.07786008  0.1402123 ]","[ 0.9473575  -0.02867277  0.11454327  0.93216914 -0.3344864   0.8039717
 -0.07336703  0.16320416  0.99245334 -0.79102904 -0.04356718 -0.0261275
 -0.00580997 -0.05594162 -0.0281609  -0.06261142 -0.0477396  -0.17265709
 -0.07786008  0.1402123 ]","[ 0.23683937 -0.00716819  0.02863582  0.23304228 -0.0836216   0.20099293
 -0.01834176  0.04080104  0.24811333 -0.19775726 -0.0108918  -0.00653187
 -0.00145249 -0.0139854  -0.00704023 -0.01565285 -0.0119349  -0.04316427
 -0.01946502  0.03505307]"
4,0.03125,"[ 1.95090324e-01  9.80785251e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  2.19821930e-04  2.40481721e-04 -6.59370446e-04
 -1.09891896e-03 -6.59370446e-04 -1.09891896e-03  1.58160507e-09
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.19821930e-04
  2.19821930e-04  2.19821930e-04  2.19821930e-04 -2.19821930e-04
  2.19821930e-04 -2.19821930e-04  9.47357476e-01 -2.86727697e-02
  1.14543267e-01  9.32169139e-01 -3.34486395e-01  8.03971708e-01
 -7.33670294e-02  1.63204163e-01  9.92453337e-01 -7.91029036e-01
 -4.35671844e-02 -2.61274967e-02 -5.80996647e-03 -5.59416190e-02
 -2.81609036e-02 -6.26114160e-02 -4.77396026e-02 -1.72657087e-01
 -7.78600797e-02  1.40212297e-01]","[ 1.12355232e+00 -1.53316557e-02  1.23228513e-01  1.15096688e+00
 -3.83408874e-01  9.27734613e-01 -1.48341000e-01  7.71779642e-02
  1.08297503e+00 -7.29488850e-01  8.27144831e-04 -6.30673543e-02
 -9.78984982e-02 -8.11294764e-02 -1.24558024e-02 -7.08323345e-02
  9.55497846e-03 -2.10198179e-01 -1.03970475e-01  1.30616501e-01]","[ 1.12355232e+00 -1.53316557e-02  1.23228513e-01  1.15096688e+00
 -3.83408874e-01  9.27734613e-01 -1.48341000e-01  7.71779642e-02
  1.08297503e+00 -7.29488850e-01  8.27144831e-04 -6.30673543e-02
 -9.78984982e-02 -8.11294764e-02 -1.24558024e-02 -7.08323345e-02
  9.55497846e-03 -2.10198179e-01 -1.03970475e-01  1.30616501e-01]","[ 2.8088808e-01 -3.8329139e-03  3.0807128e-02  2.8774172e-01
 -9.5852219e-02  2.3193365e-01 -3.7085250e-02  1.9294491e-02
  2.7074376e-01 -1.8237221e-01  2.0678621e-04 -1.5766839e-02
 -2.4474625e-02 -2.0282369e-02 -3.1139506e-03 -1.7708084e-02
  2.3887446e-03 -5.2549545e-02 -2.5992619e-02  3.2654125e-02]"
5,0.0390625,"[ 2.42980182e-01  9.70031261e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -6.59370446e-04 -3.53527376e-08  2.19821930e-04
  2.19821930e-04  2.19821930e-04 -2.19821930e-04  1.20278404e-04
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04  2.19821930e-04
  2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.19821930e-04
  2.19821930e-04  2.19821930e-04  1.12355232e+00 -1.53316557e-02
  1.23228513e-01  1.15096688e+00 -3.83408874e-01  9.27734613e-01
 -1.48341000e-01  7.71779642e-02  1.08297503e+00 -7.29488850e-01
  8.27144831e-04 -6.30673543e-02 -9.78984982e-02 -8.11294764e-02
 -1.24558024e-02 -7.08323345e-02  9.55497846e-03 -2.10198179e-01
 -1.03970475e-01  1.30616501e-01]","[ 1.2473347  -0.03163873  0.23917142  1.2728118  -0.46949002  0.96310556
 -0.19635864  0.08075813  1.2262841  -0.7290155   0.08562611 -0.05025649
 -0.17443761 -0.07515362 -0.06097768 -0.07108637  0.07062091 -0.23897372
 -0.06402815  0.12180579]","[ 1.2473347  -0.03163873  0.23917142  1.2728118  -0.46949002  0.96310556
 -0.19635864  0.08075813  1.2262841  -0.7290155   0.08562611 -0.05025649
 -0.17443761 -0.07515362 -0.06097768 -0.07108637  0.07062091 -0.23897372
 -0.06402815  0.12180579]","[ 0.31183368 -0.00790968  0.05979285  0.31820294 -0.11737251  0.24077639
 -0.04908966  0.02018953  0.30657104 -0.18225388  0.02140653 -0.01256412
 -0.0436094  -0.0187884  -0.01524442 -0.01777159  0.01765523 -0.05974343
 -0.01600704  0.03045145]"
6,0.046875,"[ 2.90284663e-01  9.56940353e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04 -2.19821930e-04
 -1.09891896e-03  2.19821930e-04  2.40481721e-04  1.09891896e-03
  2.19821930e-04  2.19821930e-04  6.59370446e-04  2.40555222e-04
 -2.19821930e-04 -1.09891896e-03 -2.19821930e-04 -2.19821930e-04
 -6.59370446e-04 -2.19821930e-04  6.59370446e-04 -6.59370446e-04
  2.19821930e-04  6.59370446e-04  1.24733472e+00 -3.16387266e-02
  2.39171416e-01  1.27281177e+00 -4.69490021e-01  9.63105559e-01
 -1.96358636e-01  8.07581320e-02  1.22628415e+00 -7.29015529e-01
  8.56261104e-02 -5.02564907e-02 -1.74437612e-01 -7.51536191e-02
 -6.09776787e-02 -7.10863695e-02  7.06209093e-02 -2.38973722e-01
 -6.40281513e-02  1.21805787e-01]","[ 1.0785606  -0.06646636  0.3244895   1.2773843  -0.42733172  1.2066272
 -0.20808679  0.05238157  1.4724135  -0.764326    0.18438682 -0.06555
 -0.2587217  -0.13765764 -0.02836506 -0.06742626  0.03062643 -0.22680779
 -0.09582821  0.12073755]","[ 1.0785606  -0.06646636  0.3244895   1.2773843  -0.42733172  1.2066272
 -0.20808679  0.05238157  1.4724135  -0.764326    0.18438682 -0.06555
 -0.2587217  -0.13765764 -0.02836506 -0.06742626  0.03062643 -0.22680779
 -0.09582821  0.12073755]","[ 0.26964015 -0.01661659  0.08112238  0.31934607 -0.10683293  0.3016568
 -0.0520217   0.01309539  0.36810338 -0.1910815   0.0460967  -0.0163875
 -0.06468043 -0.03441441 -0.00709126 -0.01685656  0.00765661 -0.05670195
 -0.02395705  0.03018439]"
7,0.05468750000000001,"[ 3.36889863e-01  9.41544056e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -1.09891896e-03 -6.59370446e-04
 -2.19821930e-04 -6.59370446e-04 -2.40481721e-04  2.19821930e-04
  2.19821930e-04 -2.19821930e-04  2.19821930e-04  2.40558395e-04
 -6.59370446e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  2.19821930e-04  2.19821930e-04  2.19821930e-04 -6.59370446e-04
  2.19821930e-04 -2.19821930e-04  1.07856059e+00 -6.64663613e-02
  3.24489504e-01  1.27738428e+00 -4.27331716e-01  1.20662725e+00
 -2.08086789e-01  5.23815677e-02  1.47241354e+00 -7.64325976e-01
  1.84386820e-01 -6.55499995e-02 -2.58721709e-01 -1.37657642e-01
 -2.83650570e-02 -6.74262568e-02  3.06264348e-02 -2.26807788e-01
 -9.58282128e-02  1.20737553e-01]","[ 0.96861184 -0.0234137   0.2286247   1.3019859  -0.289406    1.3754994
 -0.243193    0.0289326   1.6436511  -0.8434803   0.19276932 -0.09072296
 -0.29644406 -0.12506266  0.01715771 -0.05930166  0.09692563 -0.14331187
 -0.13846466  0.1150784 ]","[ 0.96861184 -0.0234137   0.2286247   1.3019859  -0.289406    1.3754994
 -0.243193    0.0289326   1.6436511  -0.8434803   0.19276932 -0.09072296
 -0.29644406 -0.12506266  0.01715771 -0.05930166  0.09692563 -0.14331187
 -0.13846466  0.1150784 ]","[ 0.24215296 -0.00585343  0.05715618  0.32549646 -0.0723515   0.34387484
 -0.06079825  0.00723315  0.41091278 -0.21087007  0.04819233 -0.02268074
 -0.07411101 -0.03126566  0.00428943 -0.01482541  0.02423141 -0.03582797
 -0.03461616  0.0287696 ]"
8,0.0625,"[ 3.82683426e-01  9.23879504e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04  2.19821930e-04
 -2.19821930e-04  2.19821930e-04  2.40481721e-04 -6.59370446e-04
  2.19821930e-04 -6.59370446e-04 -6.59370446e-04 -1.20272081e-04
 -2.19821930e-04 -6.59370446e-04  2.19821930e-04 -2.19821930e-04
  6.59370446e-04  2.19821930e-04 -2.19821930e-04 -6.59370446e-04
  2.19821930e-04 -2.19821930e-04  9.68611836e-01 -2.34137028e-02
  2.28624701e-01  1.30198586e+00 -2.89406002e-01  1.37549937e+00
 -2.43193001e-01  2.89326012e-02  1.64365113e+00 -8.43480289e-01
  1.92769319e-01 -9.07229558e-02 -2.96444058e-01 -1.25062659e-01
  1.71577074e-02 -5.93016595e-02  9.69256312e-02 -1.43311873e-01
 -1.38464659e-01  1.15078405e-01]","[ 0.8789144  -0.02835062  0.27248794  1.2247156  -0.23278834  1.485026
 -0.19261394  0.06823044  1.8855064  -0.86166984  0.05153047 -0.07383103
 -0.23957755 -0.07517435 -0.01272371 -0.05304759  0.1685864  -0.12985502
 -0.1346623   0.10944189]","[ 0.8789144  -0.02835062  0.27248794  1.2247156  -0.23278834  1.485026
 -0.19261394  0.06823044  1.8855064  -0.86166984  0.05153047 -0.07383103
 -0.23957755 -0.07517435 -0.01272371 -0.05304759  0.1685864  -0.12985502
 -0.1346623   0.10944189]","[ 0.2197286  -0.00708766  0.06812198  0.3061789  -0.05819708  0.3712565
 -0.04815349  0.01705761  0.4713766  -0.21541746  0.01288262 -0.01845776
 -0.05989439 -0.01879359 -0.00318093 -0.0132619   0.0421466  -0.03246376
 -0.03366558  0.02736047]"
9,0.0703125,"[ 4.27555084e-01  9.03989315e-01 -2.47955322e-03  5.72204590e-04
 -2.80380249e-02 -5.28345108e-02 -1.82675552e-02  1.65939331e-02
 -2.09808350e-03 -6.35156631e-02  5.35974503e-02  1.25274975e-02
 -1.04904175e-02 -3.64313126e-02  7.38153458e-02 -1.20162964e-02
 -3.41424942e-02 -2.09808350e-03 -2.09808350e-03 -4.90198135e-02
 -8.20159912e-03  3.71942520e-02 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -1.53846748e-03  3.53527376e-08  2.19821930e-04
 -2.19821930e-04  2.19821930e-04 -6.59370446e-04 -1.20272081e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -2.19821930e-04  8.78914416e-01 -2.83506215e-02
  2.72487938e-01  1.22471559e+00 -2.32788339e-01  1.48502600e+00
 -1.92613944e-01  6.82304427e-02  1.88550639e+00 -8.61669838e-01
  5.15304692e-02 -7.38310292e-02 -2.39577547e-01 -7.51743466e-02
 -1.27237141e-02 -5.30475900e-02  1.68586403e-01 -1.29855022e-01
 -1.34662300e-01  1.09441891e-01]","[ 0.86147314  0.00490566  0.28185675  1.1208663  -0.17010933  1.5724053
 -0.19909555  0.13884923  2.140497   -0.87334746  0.09663235 -0.09965517
 -0.26173073 -0.01933484 -0.01649138 -0.05158393  0.13806921 -0.09405819
 -0.01574794  0.09995145]","[ 0.86147314  0.00490566  0.28185675  1.1208663  -0.17010933  1.5724053
 -0.19909555  0.13884923  2.140497   -0.87334746  0.09663235 -0.09965517
 -0.26173073 -0.01933484 -0.01649138 -0.05158393  0.13806921 -0.09405819
 -0.01574794  0.09995145]","[ 0.21536829  0.00122641  0.07046419  0.28021657 -0.04252733  0.39310133
 -0.04977389  0.03471231  0.53512424 -0.21833687  0.02415809 -0.02491379
 -0.06543268 -0.00483371 -0.00412284 -0.01289598  0.0345173  -0.02351455
 -0.00393699  0.02498786]"
