episode_length,phase,obs_sin,obs_cos,obs_dof_pos,obs_dof_vel,obs_dof_actions,actions_raw_0,actions_cli_0,actions_sca_0
0.0,1.0,0.09754373133182526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.09754373133182526,0.0,0.0,0.8202130794525146,0.8202130794525146,0.20505326986312866,0.01562500186264515,1.0
0.19509035348892212,0.9807852506637573,-0.027566250413656235,0.04985976219177246,0.7028559446334839,-0.2375045120716095,-0.2375045120716095,-0.059376128017902374,0.0312500037252903,2.0
0.290284663438797,0.9569403529167175,-0.024520087987184525,0.0031483452767133713,-0.12984761595726013,-0.20967242121696472,-0.20967242121696472,-0.05241810530424118,0.046875,3.0
0.38268348574638367,0.9238795042037964,-0.024860527366399765,-0.003342416137456894,-0.18136557936668396,-0.31639406085014343,-0.31639406085014343,-0.07909851521253586,0.0625000074505806,4.0
0.4713967740535736,0.8819212317466736,-0.026660319417715073,-0.010816363617777824,-0.3074755370616913,-0.3569723665714264,-0.3569723665714264,-0.0892430916428566,0.0781250074505806,5.0
0.5555702447891235,0.8314696550369263,-0.029164563864469528,-0.012935671024024487,-0.34427040815353394,-0.30094629526138306,-0.30094629526138306,-0.07523657381534576,0.09375,6.0
0.6343933939933777,0.7730104327201843,-0.03139191120862961,-0.01036844402551651,-0.30718526244163513,0.8669672608375549,0.8669672608375549,0.21674181520938873,0.1093750149011612,7.0
0.70710688829422,0.7071067094802856,-0.025032266974449158,0.04582614451646805,0.6707351207733154,-0.26811668276786804,-0.26811668276786804,-0.06702917069196701,0.1250000149011612,8.0
0.7730104923248291,0.6343932747840881,-0.020547740161418915,0.014091910794377327,0.07780812680721283,-0.24515965580940247,-0.24515965580940247,-0.061289913952350616,0.140625,9.0
0.831469714641571,0.555570125579834,-0.019920960068702698,-0.0006666090339422226,-0.12945611774921417,-0.2233249843120575,-0.2233249843120575,-0.055831246078014374,0.1562500149011612,10.0
0.8819212913513184,0.47139668464660645,-0.02093711495399475,-0.006525432225316763,-0.21421337127685547,-0.15342779457569122,-0.15342779457569122,-0.038356948643922806,0.1718750149011612,11.0
0.9238795638084412,0.3826834559440613,-0.021897204220294952,-0.004143625032156706,-0.17019037902355194,-0.11426670104265213,-0.11426670104265213,-0.028566675260663033,0.1875,12.0
0.9569404125213623,0.29028454422950745,-0.022306226193904877,-0.0012976521393284202,-0.1266055405139923,-0.016469575464725494,-0.016469575464725494,-0.004117393866181374,0.2031250149011612,13.0
0.9807853102684021,0.1950901299715042,-0.021839827299118042,0.0035449755378067493,-0.04605329781770706,0.02327018231153488,0.02327018231153488,0.00581754557788372,0.2187500298023224,14.0
0.9951847195625305,0.09801701456308365,-0.020556174218654633,0.007316359784454107,0.017124740406870842,0.0025010034441947937,0.0025010034441947937,0.0006252508610486984,0.2343750149011612,15.0
1.0,-2.821299744937278e-07,-0.019197821617126465,0.0065195560455322266,0.0043776496313512325,0.0014133378863334656,0.0014133378863334656,0.0003533344715833664,0.2500000298023224,16.0
0.9951847195625305,-0.09801734238862991,-0.01796143501996994,0.005982011090964079,0.0014135373057797551,0.01792050153017044,0.01792050153017044,0.00448012538254261,0.2656250298023224,17.0
0.9807852506637573,-0.19509032368659973,-0.016707643866539,0.006282100919634104,0.012419740669429302,0.009838156402111053,0.009838156402111053,0.0024595391005277634,0.28125,18.0
0.956940233707428,-0.2902849316596985,-0.015495620667934418,0.005901582073420286,0.010609174147248268,0.02010994404554367,0.02010994404554367,0.005027486011385918,0.2968750298023224,19.0
0.9238794445991516,-0.3826836049556732,-0.014272231608629227,0.006107610184699297,0.01968850940465927,0.0184914693236351,0.0184914693236351,0.004622867330908775,0.3125000298023224,20.0
0.8819212317466736,-0.4713968336582184,-0.013087376952171326,0.005780873820185661,0.01879996620118618,-0.004301182925701141,-0.004301182925701141,-0.0010752957314252853,0.328125,21.0
0.8314695358276367,-0.5555703639984131,-0.0120830237865448,0.004693114664405584,0.004916829988360405,-0.00472596287727356,-0.00472596287727356,-0.00118149071931839,0.3437500298023224,22.0
0.7730103135108948,-0.6343934535980225,-0.0112614706158638,0.003851175308227539,-0.00456952303647995,0.006411053240299225,0.006411053240299225,0.0016027633100748062,0.3593750298023224,23.0
0.7071068286895752,-0.7071067690849304,-0.010463494807481766,0.003983181435614824,0.0020771885756403208,0.012651227414608002,0.012651227414608002,0.0031628068536520004,0.375,24.0
0.6343929171562195,-0.773010790348053,-0.009615324437618256,0.004271558951586485,0.010334786958992481,0.013541087508201599,0.013541087508201599,0.0033852718770503998,0.3906250596046448,25.0
0.5555700063705444,-0.8314697742462158,-0.008753743022680283,0.004261817317456007,0.013381528668105602,0.016683131456375122,0.016683131456375122,0.0041707828640937805,0.4062500298023224,26.0
0.47139641642570496,-0.8819214701652527,-0.007904727011919022,0.004181636031717062,0.015563246794044971,0.02603534609079361,0.02603534609079361,0.006508836522698402,0.4218750298023224,27.0
0.38268306851387024,-0.9238796830177307,-0.0070228856056928635,0.004427317064255476,0.02350887842476368,0.05055425316095352,0.05055425316095352,0.01263856329023838,0.4375000596046448,28.0
0.29028448462486267,-0.9569404125213623,-0.006038527935743332,0.005024421960115433,0.0374319814145565,0.09252046793699265,0.09252046793699265,0.02313011698424816,0.4531250298023224,29.0
0.19509008526802063,-0.9807853102684021,-0.004742354154586792,0.00689220754429698,0.07378889620304108,0.10468896478414536,0.10468896478414536,0.02617224119603634,0.4687500298023224,30.0
