step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04  2.1982193e-04  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00
  0.0000000e+00  0.0000000e+00  0.0000000e+00  0.0000000e+00]","[-0.3391232  -0.258275    0.09196931 -0.69585943 -0.09956076  0.08353373
 -0.50525266 -0.15056899  0.4545213  -0.3057282 ]","[-0.3391232  -0.258275    0.09196931 -0.69585943 -0.09956076  0.08353373
 -0.50525266 -0.15056899  0.4545213  -0.3057282 ]","[-0.0847808  -0.06456875  0.02299233 -0.17396486 -0.02489019  0.02088343
 -0.12631316 -0.03764225  0.11363032 -0.07643205]"
1,0.015625,"[ 9.8017141e-02  9.9518472e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04  6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -3.3912319e-01 -2.5827500e-01
  9.1969311e-02 -6.9585943e-01 -9.9560760e-02  8.3533734e-02
 -5.0525266e-01 -1.5056899e-01  4.5452130e-01 -3.0572820e-01]","[-0.1134668  -0.206967    0.08425932 -0.4669018  -0.11106063  0.23186636
 -0.31321532 -0.09814507  0.506234   -0.46516863]","[-0.1134668  -0.206967    0.08425932 -0.4669018  -0.11106063  0.23186636
 -0.31321532 -0.09814507  0.506234   -0.46516863]","[-0.0283667  -0.05174175  0.02106483 -0.11672545 -0.02776516  0.05796659
 -0.07830383 -0.02453627  0.1265585  -0.11629216]"
2,0.03125,"[ 1.95090324e-01  9.80785251e-01  3.24249268e-03  2.53677368e-02
  1.43051147e-02 -1.35421753e-02 -3.98645401e-02  9.53674316e-04
 -6.29425049e-03  4.74939346e-02  1.31607056e-02  4.21533585e-02
 -1.09891896e-03  2.19821930e-04  1.09891896e-03  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -6.59370446e-04  2.19821930e-04 -1.13466799e-01 -2.06966996e-01
  8.42593163e-02 -4.66901809e-01 -1.11060634e-01  2.31866360e-01
 -3.13215315e-01 -9.81450677e-02  5.06233990e-01 -4.65168625e-01]","[-0.03709999 -0.13253945  0.10041386 -0.3447461  -0.1381014   0.36493817
 -0.22513948 -0.06726739  0.5958754  -0.5764907 ]","[-0.03709999 -0.13253945  0.10041386 -0.3447461  -0.1381014   0.36493817
 -0.22513948 -0.06726739  0.5958754  -0.5764907 ]","[-0.009275   -0.03313486  0.02510346 -0.08618653 -0.03452535  0.09123454
 -0.05628487 -0.01681685  0.14896885 -0.14412268]"
3,0.046875,"[ 2.9028466e-01  9.5694035e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
 -6.5937045e-04 -6.5937045e-04 -1.5384675e-03 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04  2.1982193e-04
  6.5937045e-04 -1.0989190e-03 -3.7099991e-02 -1.3253945e-01
  1.0041386e-01 -3.4474611e-01 -1.3810140e-01  3.6493817e-01
 -2.2513948e-01 -6.7267388e-02  5.9587538e-01 -5.7649070e-01]","[-0.0402904  -0.11009238  0.07822685 -0.2905494  -0.12680534  0.48108783
 -0.18619606 -0.02421968  0.7050927  -0.6585885 ]","[-0.0402904  -0.11009238  0.07822685 -0.2905494  -0.12680534  0.48108783
 -0.18619606 -0.02421968  0.7050927  -0.6585885 ]","[-0.0100726  -0.02752309  0.01955671 -0.07263735 -0.03170133  0.12027196
 -0.04654901 -0.00605492  0.17627318 -0.16464713]"
4,0.0625,"[ 3.8268343e-01  9.2387950e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
 -2.1982193e-04 -6.5937045e-04  6.5937045e-04  6.5937045e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -4.0290400e-02 -1.1009238e-01
  7.8226849e-02 -2.9054940e-01 -1.2680534e-01  4.8108783e-01
 -1.8619606e-01 -2.4219677e-02  7.0509273e-01 -6.5858853e-01]","[-0.03667254 -0.05223028  0.04209164 -0.21964243 -0.10636193  0.5782514
 -0.14429964  0.0134943   0.7807682  -0.7369932 ]","[-0.03667254 -0.05223028  0.04209164 -0.21964243 -0.10636193  0.5782514
 -0.14429964  0.0134943   0.7807682  -0.7369932 ]","[-0.00916814 -0.01305757  0.01052291 -0.05491061 -0.02659048  0.14456286
 -0.03607491  0.00337358  0.19519205 -0.1842483 ]"
5,0.078125,"[ 4.71396744e-01  8.81921291e-01  3.24249268e-03  2.53677368e-02
  1.43051147e-02 -1.35421753e-02 -3.98645401e-02  9.53674316e-04
 -6.29425049e-03  4.74939346e-02  1.31607056e-02  4.21533585e-02
 -2.19821930e-04 -2.19821930e-04  6.59370446e-04 -2.19821930e-04
  2.19821930e-04 -6.59370446e-04 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -6.59370446e-04 -3.66725437e-02 -5.22302799e-02
  4.20916416e-02 -2.19642431e-01 -1.06361926e-01  5.78251421e-01
 -1.44299641e-01  1.34943034e-02  7.80768216e-01 -7.36993194e-01]","[-0.0180833  -0.00934293  0.03709393 -0.15260836 -0.07153609  0.68853825
 -0.06806573 -0.01427184  0.87051904 -0.80053824]","[-0.0180833  -0.00934293  0.03709393 -0.15260836 -0.07153609  0.68853825
 -0.06806573 -0.01427184  0.87051904 -0.80053824]","[-0.00452082 -0.00233573  0.00927348 -0.03815209 -0.01788402  0.17213456
 -0.01701643 -0.00356796  0.21762976 -0.20013456]"
6,0.09375,"[ 5.5557024e-01  8.3146960e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
  2.1982193e-04  6.5937045e-04  6.5937045e-04  2.1982193e-04
 -6.5937045e-04  2.1982193e-04  2.1982193e-04  6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -1.8083297e-02 -9.3429312e-03
  3.7093934e-02 -1.5260836e-01 -7.1536086e-02  6.8853825e-01
 -6.8065733e-02 -1.4271837e-02  8.7051904e-01 -8.0053824e-01]","[-0.03156654  0.00225403  0.02373872 -0.16495475 -0.04315121  0.7352492
 -0.0817349  -0.03992863  0.97448695 -0.8613041 ]","[-0.03156654  0.00225403  0.02373872 -0.16495475 -0.04315121  0.7352492
 -0.0817349  -0.03992863  0.97448695 -0.8613041 ]","[-0.00789164  0.00056351  0.00593468 -0.04123869 -0.0107878   0.1838123
 -0.02043373 -0.00998216  0.24362174 -0.21532603]"
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
 -2.1982193e-04 -2.1982193e-04  6.5937045e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  6.5937045e-04
  6.5937045e-04 -2.1982193e-04 -3.1566542e-02  2.2540316e-03
  2.3738723e-02 -1.6495475e-01 -4.3151207e-02  7.3524922e-01
 -8.1734903e-02 -3.9928626e-02  9.7448695e-01 -8.6130410e-01]","[-0.0321002   0.0015322  -0.00913967 -0.14737797 -0.06362088  0.7801308
 -0.06642096 -0.0188734   1.063225   -0.8588435 ]","[-0.0321002   0.0015322  -0.00913967 -0.14737797 -0.06362088  0.7801308
 -0.06642096 -0.0188734   1.063225   -0.8588435 ]","[-0.00802505  0.00038305 -0.00228492 -0.03684449 -0.01590522  0.1950327
 -0.01660524 -0.00471835  0.26580626 -0.21471088]"
8,0.125,"[ 7.0710677e-01  7.0710677e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
  6.5937045e-04 -6.5937045e-04  2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04 -3.2100201e-02  1.5322044e-03
 -9.1396682e-03 -1.4737797e-01 -6.3620880e-02  7.8013080e-01
 -6.6420957e-02 -1.8873405e-02  1.0632250e+00 -8.5884351e-01]","[-0.00539127  0.00821372  0.01684571 -0.11947094 -0.00895247  0.8273032
 -0.02144183  0.02999426  1.1969602  -0.95035625]","[-0.00539127  0.00821372  0.01684571 -0.11947094 -0.00895247  0.8273032
 -0.02144183  0.02999426  1.1969602  -0.95035625]","[-0.00134782  0.00205343  0.00421143 -0.02986773 -0.00223812  0.2068258
 -0.00536046  0.00749856  0.29924005 -0.23758906]"
9,0.140625,"[ 7.7301043e-01  6.3439327e-01  3.2424927e-03  2.5367737e-02
  1.4305115e-02 -1.3542175e-02 -3.9864540e-02  9.5367432e-04
 -6.2942505e-03  4.7493935e-02  1.3160706e-02  4.2153358e-02
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04  6.5937045e-04
  6.5937045e-04 -2.1982193e-04 -5.3912699e-03  8.2137212e-03
  1.6845707e-02 -1.1947094e-01 -8.9524705e-03  8.2730317e-01
 -2.1441830e-02  2.9994257e-02  1.1969602e+00 -9.5035625e-01]","[ 0.01806155 -0.01976223  0.01636315 -0.0880282  -0.03028104  0.8448772
 -0.0523984  -0.02724255  1.281628   -0.9672692 ]","[ 0.01806155 -0.01976223  0.01636315 -0.0880282  -0.03028104  0.8448772
 -0.0523984  -0.02724255  1.281628   -0.9672692 ]","[ 0.00451539 -0.00494056  0.00409079 -0.02200705 -0.00757026  0.2112193
 -0.0130996  -0.00681064  0.320407   -0.2418173 ]"
