step,phase,obs,action_raw,action_clipped,action_scaled
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04  2.1982193e-04
  2.1982193e-04 -2.1982193e-04  2.1982193e-04 -1.0989190e-03
 -2.1982193e-04 -2.1982193e-04 -9.2626858e-01 -4.5397848e-02
  2.8067386e-02 -1.7359711e+00 -6.9512987e-01  1.5475728e-01
 -5.4513705e-01  4.0226990e-01]","[-0.9210716   0.01123714 -0.03191249 -1.8186289  -0.73154056  0.15207201
 -0.6188918   0.41342217]","[-0.9210716   0.01123714 -0.03191249 -1.8186289  -0.73154056  0.15207201
 -0.6188918   0.41342217]","[-0.2302679   0.00280929 -0.00797812 -0.45465723 -0.18288514  0.038018
 -0.15472294  0.10335554]"
11,0.171875,"[ 8.81921291e-01  4.71396744e-01 -2.91824341e-02 -2.99453735e-02
 -7.61041641e-02 -5.72204590e-04  4.94012833e-02 -1.33514404e-03
  5.13086319e-02  2.42233276e-02  6.59370446e-04 -1.09891896e-03
 -6.59370446e-04 -2.19821930e-04 -6.59370446e-04 -2.19821930e-04
 -6.59370446e-04  2.19821930e-04 -9.21071589e-01  1.12371445e-02
 -3.19124870e-02 -1.81862891e+00 -7.31540561e-01  1.52072012e-01
 -6.18891776e-01  4.13422167e-01]","[-0.9258357   0.02992077 -0.00597403 -1.9076284  -0.78571665  0.11326411
 -0.81233954  0.40426973]","[-0.9258357   0.02992077 -0.00597403 -1.9076284  -0.78571665  0.11326411
 -0.81233954  0.40426973]","[-0.23145893  0.00748019 -0.00149351 -0.4769071  -0.19642916  0.02831603
 -0.20308489  0.10106743]"
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04  6.5937045e-04
 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -9.2583573e-01  2.9920772e-02
 -5.9740264e-03 -1.9076284e+00 -7.8571665e-01  1.1326411e-01
 -8.1233954e-01  4.0426973e-01]","[-1.0336164   0.01183976 -0.02447546 -2.0428073  -0.899968    0.0866946
 -0.85851187  0.39424726]","[-1.0336164   0.01183976 -0.02447546 -2.0428073  -0.899968    0.0866946
 -0.85851187  0.39424726]","[-0.2584041   0.00295994 -0.00611887 -0.51070184 -0.224992    0.02167365
 -0.21462797  0.09856182]"
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  6.5937045e-04 -6.5937045e-04
  2.1982193e-04  2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -1.0336164e+00  1.1839762e-02
 -2.4475463e-02 -2.0428073e+00 -8.9996803e-01  8.6694598e-02
 -8.5851187e-01  3.9424726e-01]","[-1.1039724   0.01468471 -0.04037413 -2.1656404  -1.0235385  -0.01933767
 -1.0273895   0.37532118]","[-1.1039724   0.01468471 -0.04037413 -2.1656404  -1.0235385  -0.01933767
 -1.0273895   0.37532118]","[-0.2759931   0.00367118 -0.01009353 -0.5414101  -0.25588462 -0.00483442
 -0.25684738  0.09383029]"
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -1.0989190e-03
 -2.1982193e-04 -2.1982193e-04  6.5937045e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -1.1039724e+00  1.4684707e-02
 -4.0374134e-02 -2.1656404e+00 -1.0235385e+00 -1.9337669e-02
 -1.0273895e+00  3.7532118e-01]","[-1.2662895   0.00938824 -0.07645194 -2.317513   -1.2188472  -0.14955401
 -1.4421245   0.41377592]","[-1.2662895   0.00938824 -0.07645194 -2.317513   -1.2188472  -0.14955401
 -1.4421245   0.41377592]","[-0.31657237  0.00234706 -0.01911299 -0.57937825 -0.3047118  -0.0373885
 -0.36053112  0.10344398]"
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -1.2662895e+00  9.3882382e-03
 -7.6451942e-02 -2.3175130e+00 -1.2188472e+00 -1.4955401e-01
 -1.4421245e+00  4.1377592e-01]","[-1.2107573  -0.04288945  0.01314908 -2.3607213  -1.1646097  -0.21830669
 -1.7434595   0.4442587 ]","[-1.2107573  -0.04288945  0.01314908 -2.3607213  -1.1646097  -0.21830669
 -1.7434595   0.4442587 ]","[-0.3026893  -0.01072236  0.00328727 -0.59018034 -0.29115242 -0.05457667
 -0.43586487  0.11106467]"
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -6.5937045e-04 -6.5937045e-04
 -6.5937045e-04 -2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04 -1.2107573e+00 -4.2889446e-02
  1.3149083e-02 -2.3607213e+00 -1.1646097e+00 -2.1830669e-01
 -1.7434595e+00  4.4425869e-01]","[-1.074761   -0.00578491  0.03774285 -2.2981362  -1.0270134  -0.2619262
 -1.9408681   0.4891755 ]","[-1.074761   -0.00578491  0.03774285 -2.2981362  -1.0270134  -0.2619262
 -1.9408681   0.4891755 ]","[-0.26869026 -0.00144623  0.00943571 -0.57453406 -0.25675336 -0.06548155
 -0.48521703  0.12229387]"
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02 -2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -1.0747610e+00 -5.7849139e-03
  3.7742849e-02 -2.2981362e+00 -1.0270134e+00 -2.6192620e-01
 -1.9408681e+00  4.8917550e-01]","[-0.95425045 -0.01699658  0.12255123 -2.180632   -0.82366765 -0.2737156
 -1.7453997   0.483087  ]","[-0.95425045 -0.01699658  0.12255123 -2.180632   -0.82366765 -0.2737156
 -1.7453997   0.483087  ]","[-0.23856261 -0.00424915  0.03063781 -0.545158   -0.20591691 -0.0684289
 -0.43634993  0.12077175]"
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -2.9563904e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04  2.1982193e-04 -2.1982193e-04
 -6.5937045e-04 -6.5937045e-04 -9.5425045e-01 -1.6996585e-02
  1.2255123e-01 -2.1806321e+00 -8.2366765e-01 -2.7371559e-01
 -1.7453997e+00  4.8308700e-01]","[-0.8394393   0.00212692  0.15149756 -2.1141226  -0.68764544 -0.23685846
 -1.8102608   0.4954446 ]","[-0.8394393   0.00212692  0.15149756 -2.1141226  -0.68764544 -0.23685846
 -1.8102608   0.4954446 ]","[-0.20985982  0.00053173  0.03787439 -0.52853066 -0.17191136 -0.05921461
 -0.4525652   0.12386115]"
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -2.9182434e-02 -2.9945374e-02
 -7.6104164e-02 -5.7220459e-04  4.9401283e-02 -1.3351440e-03
  5.1308632e-02  2.4223328e-02  2.1982193e-04 -2.1982193e-04
  2.1982193e-04  2.1982193e-04 -6.5937045e-04 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -8.3943927e-01  2.1269172e-03
  1.5149756e-01 -2.1141226e+00 -6.8764544e-01 -2.3685846e-01
 -1.8102608e+00  4.9544460e-01]","[-0.7373017  -0.01062486  0.20645931 -1.9990952  -0.4915536  -0.23324725
 -1.734523    0.531636  ]","[-0.7373017  -0.01062486  0.20645931 -1.9990952  -0.4915536  -0.23324725
 -1.734523    0.531636  ]","[-0.18432543 -0.00265622  0.05161483 -0.4997738  -0.1228884  -0.05831181
 -0.43363076  0.132909  ]"
