step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,,"[-3.6569012e-03  2.2413169e-03 -2.9325022e-03  7.4489303e-02
  4.9462169e-03 -9.9720955e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  3.7574768e-03  4.3609552e-04 -1.5367737e-02
 -2.3956299e-02  1.4614791e-02  2.6524130e-01  3.8205147e-02
 -4.0490419e-02 -2.5830993e-02  3.4638405e-02 -1.7589599e-02
 -2.7795830e-01 -5.1498413e-03 -5.5313110e-03 -1.3923645e-02
 -2.9563904e-02  1.0051918e-01 -2.3689270e-02  1.5278053e-01
  1.4057350e-01 -9.3651772e-02  2.9411316e-02 -1.3187408e-02
 -1.3187408e-02  4.3964386e-03 -4.3964386e-03  2.2092669e-03
  1.4991543e-02 -4.3964386e-03 -4.3964386e-03 -4.3964386e-03
 -4.3964386e-03  1.8671837e-05 -3.7289299e-03 -1.3187408e-02
  1.3187408e-02 -4.3964386e-03 -4.3964386e-03 -4.3964386e-03
 -1.3187408e-02 -4.3964386e-03 -4.3964386e-03 -1.3187408e-02
 -1.3187408e-02 -5.3826153e-01  3.7903812e-02  2.8349096e-01
 -1.2002350e-01  1.1473511e+00  2.7879114e+01 -8.9601375e-02
  1.7341726e+00  1.8983397e-01 -6.6667303e-02 -6.4211696e-01
  3.0577419e+01 -8.2226020e-01  7.7527408e-03  8.4258866e-01
  4.9980065e-01 -2.0460817e-01  1.2594460e-01 -6.6058487e-01
 -1.0557148e+00  7.1029149e-02  3.0866085e-02  3.5137483e-01
  9.3623489e-01 -1.0575975e-01]","[-1.8117282e-01 -1.1875729e-02 -1.1702821e-02 -1.3462994e-01
  4.7897628e-01  4.5000000e+00  2.1808902e-02  3.8189140e-01
 -1.8438105e-01 -4.1284420e-02 -1.9301778e-01  4.5000000e+00
 -2.8371656e-01 -5.2929562e-02  2.9337925e-01  3.5130268e-01
  8.0443427e-02 -4.2951588e-02  3.9313519e-03 -2.0977019e-01
 -6.1216373e-02  1.3793153e-01]","[-0.29414787888526917, 0.031770315021276474, 0.01575649343430996, -0.4349144399166107, 0.38047677278518677, 2.3843536376953125, 0.16738924384117126, 0.2836877107620239, 0.03292834013700485, 0.3724347651004791, -0.3031822443008423, 2.8927316665649414, -0.12084382027387619, -0.00879468023777008, 0.14124886691570282, 0.07507111132144928, -0.042039211839437485, -0.7739237546920776, -0.15074780583381653, -0.2010124921798706, 0.017009789124131203, 0.7932484149932861]"
20,,"[ 2.7260298e-04  3.8316085e-03 -3.1948253e-04  7.4499108e-02
  5.0064842e-03 -9.9720848e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  3.7574768e-03  4.3609552e-04 -1.5367737e-02
 -2.3956299e-02  1.4614791e-02  2.6524130e-01  3.8205147e-02
 -4.0490419e-02 -2.5830993e-02  3.4638405e-02 -1.7589599e-02
 -2.7795830e-01 -5.1498413e-03 -5.5313110e-03 -1.3923645e-02
 -2.9563904e-02  1.0051918e-01 -2.3689270e-02  1.5278053e-01
  1.4057350e-01 -9.3651772e-02  2.9411316e-02 -4.3964386e-03
  1.3187408e-02 -1.3187408e-02 -4.3964386e-03  4.0658506e-05
  1.1224580e-02 -1.3187408e-02  4.3964386e-03 -4.3964386e-03
  4.3964386e-03  4.3185265e-03 -3.7967821e-03  4.3964386e-03
 -1.3187408e-02 -4.3964386e-03 -4.3964386e-03 -1.3187408e-02
 -4.3964386e-03 -4.3964386e-03 -2.1978378e-02  4.3964386e-03
 -1.3187408e-02 -1.0330697e+00 -3.9360836e-01 -1.5059572e+00
 -1.5572187e+00  4.1033149e+00  8.7737602e+01  6.5922070e-01
  1.6637471e+00 -1.1357051e+00 -3.8876379e-01  7.9109120e-01
  9.4892624e+01 -1.6582491e+00 -3.5058567e-01  1.7003210e+00
  3.6140234e+00  5.6402731e-01 -8.6086798e-01  9.4672465e-01
 -4.4411042e-01 -7.3094255e-01  1.7741110e+00  6.5793872e-01
  7.5307149e-01 -1.0579034e-01]","[-0.27084783 -0.12012672 -0.41902673 -0.43933403  1.1536827   4.5
  0.20614871  0.43142673 -0.2826755  -0.10405248  0.27742562  4.5
 -0.4405624  -0.10202625  0.45892352  1.0062001   0.14697737 -0.25527042
  0.27781126 -0.09516052 -0.2073734   0.50431097]","[-0.4835939109325409, -0.10203450918197632, -0.26966217160224915, -0.8059518933296204, 1.1316852569580078, 4.230000019073486, 0.3650926351547241, 0.4319830536842346, -0.24899035692214966, 0.4211009740829468, -0.23101182281970978, 4.769999980926514, -0.37033775448799133, -0.07392061501741409, 0.3800223767757416, 0.7225967645645142, 0.1225239709019661, -1.1559466123580933, 0.16212917864322662, -0.14280451834201813, -0.14152072370052338, 1.3432360887527466]"
30,,"[-3.4793140e-04 -2.1573841e-03  1.2003852e-03  7.4503191e-02
  5.0765886e-03 -9.9720788e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  3.7574768e-03  4.3609552e-04 -1.5367737e-02
 -2.3956299e-02  1.4614791e-02  2.6524130e-01  3.8205147e-02
 -4.0490419e-02 -2.5830993e-02  3.4638405e-02 -1.7589599e-02
 -2.7795830e-01 -5.1498413e-03 -5.5313110e-03 -1.3923645e-02
 -2.9563904e-02  1.0051918e-01 -2.3689270e-02  1.5278053e-01
  1.4057350e-01 -9.3651772e-02  2.9411316e-02 -1.3187408e-02
 -4.3964386e-03 -1.3187408e-02  4.3964386e-03 -2.1279498e-03
  7.4576172e-03  4.3964386e-03 -1.3187408e-02  4.3964386e-03
 -1.3187408e-02  2.1501626e-03 -3.4334331e-05 -4.3964386e-03
 -4.3964386e-03 -1.3187408e-02 -1.3187408e-02  4.3964386e-03
 -2.1978378e-02 -4.3964386e-03 -3.0769348e-02 -1.3187408e-02
  4.3964386e-03 -1.1750504e+00 -6.7355829e-01 -1.9387422e+00
 -2.1304102e+00  5.5773745e+00  1.1439272e+02  1.1575923e+00
  1.8862770e+00 -1.1200613e+00 -4.5529908e-01  1.5814880e+00
  1.2309322e+02 -1.9536698e+00 -5.0693184e-01  2.1127684e+00
  4.7729826e+00  6.1950475e-01 -1.3357965e+00  1.4097513e+00
 -2.6778567e-01 -1.0231556e+00  2.4748063e+00  8.8059551e-01
  4.7386867e-01 -1.0576264e-01]","[-0.2985322  -0.17952186 -0.49610245 -0.55129063  1.4424291   4.5
  0.30688012  0.47974873 -0.279857   -0.11515355  0.4152669   4.5
 -0.49817902 -0.1320712   0.5423736   1.2302643   0.15645437 -0.34973428
  0.3673514  -0.06083321 -0.26536664  0.6418071 ]","[-0.5362497568130493, -0.18244899809360504, -0.4734087586402893, -1.0020220279693604, 1.6055604219436646, 4.230000019073486, 0.5119667649269104, 0.48825839161872864, -0.27094224095344543, 0.38930290937423706, 0.0675525814294815, 4.769999980926514, -0.4728006422519684, -0.11851095408201218, 0.5054182410240173, 1.1321765184402466, 0.15233954787254333, -1.3081988096237183, 0.32813960313796997, -0.0761352926492691, -0.23995725810527802, 1.5812797546386719]"
40,,"[-2.13867403e-03 -3.04559944e-04  6.83994513e-05  7.44406953e-02
  5.08515770e-03 -9.97212291e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  3.75747681e-03  4.36095521e-04 -1.53677370e-02
 -2.39562988e-02  1.46147907e-02  2.65241295e-01  3.82051468e-02
 -4.04904187e-02 -2.58309934e-02  3.46384048e-02 -1.75895989e-02
 -2.77958304e-01 -5.14984131e-03 -5.53131104e-03 -1.39236450e-02
 -2.95639038e-02  1.00519180e-01 -2.36892700e-02  1.52780533e-01
  1.40573502e-01 -9.36517715e-02  2.94113159e-02 -4.39643860e-03
 -4.39643860e-03 -4.39643860e-03 -1.31874084e-02  4.35077120e-03
  1.12759937e-02 -4.39643860e-03 -2.19783783e-02 -1.31874084e-02
 -2.19783783e-02  2.15016259e-03 -3.43343308e-05 -4.39643860e-03
 -4.39643860e-03 -4.39643860e-03  1.31874084e-02 -4.39643860e-03
 -4.39643860e-03 -1.31874084e-02 -1.31874084e-02  4.39643860e-03
 -4.39643860e-03 -1.22973931e+00 -7.98111320e-01 -2.06721854e+00
 -2.34503651e+00  6.11219120e+00  1.24628456e+02  1.35530961e+00
  1.97142828e+00 -1.12078154e+00 -4.68537688e-01  1.80951345e+00
  1.33927094e+02 -2.06114984e+00 -5.69053888e-01  2.26897740e+00
  5.19025707e+00  6.39425397e-01 -1.51759434e+00  1.57832468e+00
 -1.94046512e-01 -1.13430142e+00  2.73948932e+00  9.90949750e-01
  1.34233266e-01 -1.05766006e-01]","[-0.30918452 -0.20341757 -0.52072686 -0.5931593   1.5434458   4.5
  0.34515694  0.49470735 -0.28065    -0.11727127  0.4593752   4.5
 -0.518169   -0.14443286  0.5712756   1.3102207   0.16094401 -0.3852012
  0.39967558 -0.0452459  -0.2869402   0.69325167]","[-0.5545113682746887, -0.22298811376094818, -0.5201396942138672, -1.0748602151870728, 1.7901701927185059, 4.230000019073486, 0.5784807205200195, 0.5186777710914612, -0.2700607478618622, 0.3834821581840515, 0.150211900472641, 4.769999980926514, -0.5095652937889099, -0.1389484703540802, 0.5590162873268127, 1.2755047082901, 0.15874892473220825, -1.3696751594543457, 0.38554590940475464, -0.05264491215348244, -0.2775714099407196, 1.6707279682159424]"
50,,"[-3.13164433e-04  2.28847581e-04 -8.91950505e-04  7.43989348e-02
  5.09949820e-03 -9.97215509e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  3.75747681e-03  4.36095521e-04 -1.53677370e-02
 -2.39562988e-02  1.46147907e-02  2.65241295e-01  3.82051468e-02
 -4.04904187e-02 -2.58309934e-02  3.46384048e-02 -1.75895989e-02
 -2.77958304e-01 -5.14984131e-03 -5.53131104e-03 -1.39236450e-02
 -2.95639038e-02  1.00519180e-01 -2.36892700e-02  1.52780533e-01
  1.40573502e-01 -9.36517715e-02  2.94113159e-02 -4.39643860e-03
  4.39643860e-03 -4.39643860e-03 -1.31874084e-02  4.06585059e-05
  1.12245800e-02  4.39643860e-03  4.39643860e-03  1.31874084e-02
  4.39643860e-03  1.86718371e-05 -3.72892991e-03 -4.39643860e-03
 -1.31874084e-02 -4.39643860e-03 -1.31874084e-02 -1.31874084e-02
 -4.39643860e-03  1.31874084e-02 -3.07693481e-02 -4.39643860e-03
  4.39643860e-03 -1.24704075e+00 -8.39443445e-01 -2.10775781e+00
 -2.41862440e+00  6.25321007e+00  1.28309067e+02  1.42031991e+00
  1.96964204e+00 -1.13482296e+00 -4.66456234e-01  1.88567626e+00
  1.37829025e+02 -2.08640313e+00 -5.93514621e-01  2.30804801e+00
  5.32893467e+00  6.56561136e-01 -1.58169591e+00  1.63230467e+00
 -1.43329218e-01 -1.17207682e+00  2.83323789e+00  9.74927902e-01
 -2.22520933e-01 -1.05773844e-01]","[-0.31167492 -0.2109241  -0.52767    -0.60614544  1.5637954   4.5
  0.35637605  0.48959753 -0.2850837  -0.11593606  0.4734784   4.5
 -0.521003   -0.14911762  0.5772105   1.3360381   0.165287   -0.39730677
  0.40894935 -0.03239412 -0.2938189   0.71103674]","[-0.5608687400817871, -0.2378106564283371, -0.5349982380867004, -1.1008729934692383, 1.8470120429992676, 4.230000019073486, 0.6018621921539307, 0.5231282114982605, -0.27264347672462463, 0.3831752836704254, 0.1775238811969757, 4.769999980926514, -0.5203748345375061, -0.14707282185554504, 0.5751703381538391, 1.3251714706420898, 0.16306596994400024, -1.3921104669570923, 0.4051811993122101, -0.03885626047849655, -0.2910255789756775, 1.7034025192260742]"
60,,"[-3.03465617e-03 -5.89258096e-04  7.15288275e-04  7.43564740e-02
  5.18375309e-03 -9.97218251e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  3.75747681e-03  4.36095521e-04 -1.53677370e-02
 -2.39562988e-02  1.46147907e-02  2.65241295e-01  3.82051468e-02
 -4.04904187e-02 -2.58309934e-02  3.46384048e-02 -1.75895989e-02
 -2.77958304e-01 -5.14984131e-03 -5.53131104e-03 -1.39236450e-02
 -2.95639038e-02  1.00519180e-01 -2.36892700e-02  1.52780533e-01
  1.40573502e-01 -9.36517715e-02  2.94113159e-02  4.39643860e-03
 -4.39643860e-03 -1.31874084e-02 -4.39643860e-03  2.18216307e-03
  7.50903087e-03 -4.39643860e-03  4.39643860e-03 -4.39643860e-03
 -4.39643860e-03 -2.11235648e-03 -7.42272381e-03 -4.39643860e-03
 -1.31874084e-02 -1.31874084e-02 -4.39643860e-03  1.31874084e-02
 -1.31874084e-02  4.39643860e-03  1.31874084e-02 -1.31874084e-02
 -4.39643860e-03 -1.24139392e+00 -8.44558597e-01 -2.10908866e+00
 -2.42759275e+00  6.20787048e+00  1.29364227e+02  1.42725682e+00
  1.91412318e+00 -1.16025937e+00 -4.53631699e-01  1.89654768e+00
  1.38937943e+02 -2.06754589e+00 -6.01822734e-01  2.30012798e+00
  5.35699463e+00  6.77085876e-01 -1.59863675e+00  1.63937509e+00
 -9.45679694e-02 -1.17839050e+00  2.85858369e+00  8.34573269e-01
 -5.50897002e-01 -1.05791494e-01]","[-0.30943456 -0.21035303 -0.5264776  -0.6060524   1.5443494   4.5
  0.3559356   0.47387135 -0.29200754 -0.11230502  0.4724407   4.5
 -0.51502573 -0.15063845  0.5739588   1.3387586   0.17095089 -0.39976457
  0.4092328  -0.02043298 -0.29440162  0.7147514 ]","[-0.5607761740684509, -0.24093541502952576, -0.5374323129653931, -1.1066704988479614, 1.8458333015441895, 4.230000019073486, 0.6066084504127502, 0.5122036933898926, -0.2783644199371338, 0.38572952151298523, 0.18395891785621643, 4.769999980926514, -0.5183324813842773, -0.14999032020568848, 0.5758281946182251, 1.3382099866867065, 0.16799435019493103, -1.3989061117172241, 0.4095172584056854, -0.026536276564002037, -0.2943836450576782, 1.7134194374084473]"
70,,"[ 5.3313717e-02  1.3590030e-01 -1.2340153e+00  7.5589873e-02
  5.4937950e-03 -9.9712372e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00  3.7574768e-03  4.3609552e-04 -1.5367737e-02
 -2.3956299e-02  1.4614791e-02  2.6524130e-01  3.8205147e-02
 -4.0490419e-02 -2.5830993e-02  3.4638405e-02 -1.7589599e-02
 -2.7795830e-01 -5.1498413e-03 -5.5313110e-03 -1.3923645e-02
 -2.9563904e-02  1.0051918e-01 -2.3689270e-02  1.5278053e-01
  1.4057350e-01 -9.3651772e-02  2.9411316e-02 -1.3187408e-02
  2.1978378e-02 -1.3187408e-02 -1.3187408e-02  1.3554795e-05
  3.7420678e-03 -4.3964386e-03 -4.3964386e-03 -4.3964386e-03
 -4.3964386e-03 -2.1501626e-03  3.4334331e-05 -1.3187408e-02
 -4.3964386e-03 -4.3964386e-03 -4.3964386e-03 -1.3187408e-02
 -4.3964386e-03  4.3964386e-03 -4.3964386e-03  4.3964386e-03
 -4.3964386e-03 -1.2411791e+00 -8.4319293e-01 -2.0942714e+00
 -2.4137232e+00  6.0820827e+00  1.2942842e+02  1.4138269e+00
  1.8242232e+00 -1.2079109e+00 -4.2923492e-01  1.8307793e+00
  1.3903633e+02 -2.0400615e+00 -6.0835755e-01  2.2842314e+00
  5.3478169e+00  7.1515733e-01 -1.5869589e+00  1.6361502e+00
 -4.2521585e-02 -1.1644695e+00  2.8505673e+00  5.8778524e-01
 -8.0901700e-01 -1.1678288e-01]","[-0.31393185 -0.21266523 -0.5242761  -0.60393006  1.517389    4.5
  0.35294005  0.4477348  -0.30795804 -0.10486522  0.44698372  4.5
 -0.51018095 -0.15317024  0.5715416   1.3388975   0.18327704 -0.39466175
  0.41076717 -0.00782999 -0.28954235  0.7115802 ]","[-0.5598286390304565, -0.24049405753612518, -0.5348455905914307, -1.1043736934661865, 1.8188207149505615, 4.230000019073486, 0.6042620539665222, 0.4922359585762024, -0.28846895694732666, 0.39093124866485596, 0.1727791279554367, 4.769999980926514, -0.5115773677825928, -0.15151378512382507, 0.5720068216323853, 1.3377448320388794, 0.1759652942419052, -1.3979649543762207, 0.409021258354187, -0.013943660072982311, -0.29248878359794617, 1.7135924100875854]"
80,,"[ 5.20410053e-02  1.41618907e-01 -3.12422991e+00  8.15981403e-02
  1.20521905e-02 -9.96592283e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -3.82051468e-02 -1.94012839e-02 -1.58040270e-01
 -9.03329849e-02  4.66108322e-03  2.64469951e-01  4.39271927e-02
 -2.37057488e-02 -6.55047968e-02  3.15866470e-02 -2.29254961e-02
 -2.68707752e-01 -1.28366470e-01 -5.14984131e-03  5.20715714e-02
 -2.99453735e-02  1.02807999e-01 -7.51886368e-02  1.93980217e-01
  1.38284683e-01 -1.05859756e-01  1.24399185e-01 -1.16483498e+00
 -8.48352432e-01 -5.19999981e+00 -2.37802219e+00 -4.95501757e-01
 -9.28841382e-02 -4.39643860e-03  3.73626709e-01 -1.03296661e+00
  6.59332275e-02 -2.18953043e-01  4.27314550e-01 -4.13626385e+00
 -2.19783783e-02  1.89450455e+00  4.39643860e-03 -1.31874084e-02
 -1.71868134e+00  1.67472458e+00 -7.47261047e-02 -3.38460922e-01
  3.60000038e+00 -1.15831125e+00 -8.61407161e-01 -2.16675782e+00
 -2.44736290e+00  6.09428501e+00  1.29041504e+02  1.35635698e+00
  1.77610230e+00 -1.17265904e+00 -4.08429980e-01  2.15084004e+00
  1.38676041e+02 -1.39932871e+00 -6.02918148e-01  2.15856338e+00
  5.30858803e+00  6.95957541e-01 -1.60957861e+00  1.40095222e+00
 -3.73656042e-02 -1.12687063e+00  2.75587177e+00  2.66036838e-01
 -9.63962853e-01 -2.31229678e-01]","[-0.28677323 -0.20830353 -0.5470749  -0.61535174  1.5073287   4.5
  0.3313332   0.43697143 -0.2899545  -0.10279828  0.56315154  4.5
 -0.30108926 -0.15124302  0.5299759   1.318584    0.17306757 -0.40223345
  0.33950564 -0.01218006 -0.27734408  0.6777753 ]","[-0.5476313829421997, -0.24580994248390198, -0.5455272793769836, -1.1096675395965576, 1.8131468296051025, 4.230000019073486, 0.5944921970367432, 0.4757274389266968, -0.28847697377204895, 0.397109717130661, 0.22074736654758453, 4.769999980926514, -0.39907169342041016, -0.15145964920520782, 0.5505402684211731, 1.3307937383651733, 0.177076518535614, -1.4003006219863892, 0.37249377369880676, -0.008364315144717693, -0.28309622406959534, 1.697829008102417]"
90,,"[ 7.91155845e-02  1.57341570e-01 -3.22385263e+00  8.67794454e-02
  2.21662670e-02 -9.95980859e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -8.51259232e-02 -6.55600727e-02 -4.30413485e-01
 -1.93713188e-01 -2.75713205e-02  2.62092203e-01  4.35457230e-02
 -4.63226251e-03 -1.43707052e-01  3.54013443e-02 -3.24712396e-02
 -2.46085837e-01 -3.68696213e-01 -5.14984131e-03  1.90546989e-01
 -2.91824341e-02  1.03189468e-01 -1.72465324e-01  2.75615692e-01
  1.37903214e-01 -1.28366470e-01  3.10559273e-01 -8.21977615e-01
 -8.04395676e-01 -5.54285717e+00 -2.02637386e+00 -5.40063977e-01
 -7.65186995e-02 -1.31874084e-02  5.31867981e-01 -1.98241806e+00
  3.07693481e-02 -1.86277315e-01  5.78122020e-01 -5.54285717e+00
 -4.39643860e-03  2.28131866e+00 -4.83512878e-02 -1.31874084e-02
 -1.87692261e+00  1.34945107e+00  4.39643860e-03 -3.38460922e-01
  4.00439644e+00 -1.07828450e+00 -7.28076696e-01 -2.29800940e+00
 -2.51352239e+00  5.79658651e+00  1.27429665e+02  1.14558256e+00
  1.71464217e+00 -9.02220249e-01 -4.46022630e-01  2.71251130e+00
  1.36765640e+02 -3.44798625e-01 -6.02266371e-01  1.92427862e+00
  5.10772514e+00  6.04127884e-01 -1.58832324e+00  1.23816776e+00
 -2.26889178e-01 -1.11973727e+00  2.50426245e+00 -8.96393061e-02
 -9.95974302e-01 -3.95959407e-01]","[-0.26176602 -0.17895475 -0.5783947  -0.62876433  1.432975    4.5
  0.27265874  0.41771924 -0.21086757 -0.11355387  0.711835    4.5
 -0.02658203 -0.14922518  0.47042596  1.2674168   0.14453055 -0.39617965
  0.30409858 -0.06846452 -0.280779    0.61366177]","[-0.5246241092681885, -0.22149230539798737, -0.5759708881378174, -1.1249189376831055, 1.7590693235397339, 4.230000019073486, 0.5508100390434265, 0.46126073598861694, -0.2363530397415161, 0.39096423983573914, 0.3555007874965668, 4.769999980926514, -0.1506296992301941, -0.15046219527721405, 0.49651870131492615, 1.2909486293792725, 0.15733276307582855, -1.3996139764785767, 0.3196559548377991, -0.04230022430419922, -0.27949705719947815, 1.6428688764572144]"
