step,phase,obs,action_raw,action_clipped,action_scaled
0,0.0,"[ 0.0000000e+00  1.0000000e+00 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -2.1982193e-04  0.0000000e+00  0.0000000e+00]",[-0.9262546  1.073202 ],[-0.9262546  1.073202 ],[-0.23156364  0.2683005 ]
1,0.015625,"[ 9.8017141e-02  9.9518472e-01 -2.4795532e-03  1.1634827e-02
  6.5937045e-04 -2.1982193e-04 -9.2625457e-01  1.0732020e+00]",[-0.48290354  1.2369113 ],[-0.48290354  1.2369113 ],[-0.12072589  0.30922782]
2,0.03125,"[ 1.9509032e-01  9.8078525e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04 -2.1982193e-04 -4.8290354e-01  1.2369113e+00]",[-0.25878653  1.3761147 ],[-0.25878653  1.3761147 ],[-0.06469663  0.34402868]
3,0.046875,"[ 2.9028466e-01  9.5694035e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04 -2.1982193e-04 -2.5878653e-01  1.3761147e+00]",[-0.12482201  1.542201  ],[-0.12482201  1.542201  ],[-0.0312055   0.38555026]
4,0.0625,"[ 3.8268343e-01  9.2387950e-01 -2.4795532e-03  1.1634827e-02
  6.5937045e-04 -2.1982193e-04 -1.2482201e-01  1.5422010e+00]",[-0.03888617  1.6286148 ],[-0.03888617  1.6286148 ],[-0.00972154  0.4071537 ]
5,0.078125,"[ 4.7139674e-01  8.8192129e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04  2.1982193e-04 -3.8886171e-02  1.6286148e+00]",[0.01658342 1.811344  ],[0.01658342 1.811344  ],[0.00414586 0.452836  ]
6,0.09375,"[ 5.5557024e-01  8.3146960e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04 -2.1982193e-04  1.6583420e-02  1.8113440e+00]",[0.15420172 1.8244418 ],[0.15420172 1.8244418 ],[0.03855043 0.45611045]
7,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04  2.1982193e-04  1.5420172e-01  1.8244418e+00]",[0.34357926 1.9220179 ],[0.34357926 1.9220179 ],[0.08589482 0.48050448]
8,0.125,"[ 7.0710677e-01  7.0710677e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04  3.4357926e-01  1.9220179e+00]",[0.21383053 1.8842723 ],[0.21383053 1.8842723 ],[0.05345763 0.47106808]
9,0.140625,"[ 7.7301043e-01  6.3439327e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04  2.1383053e-01  1.8842723e+00]",[0.13903847 1.8411131 ],[0.13903847 1.8411131 ],[0.03475962 0.46027827]
10,0.15625,"[ 8.3146960e-01  5.5557024e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04  2.1982193e-04  1.3903847e-01  1.8411131e+00]",[0.11681654 1.8521116 ],[0.11681654 1.8521116 ],[0.02920414 0.4630279 ]
11,0.171875,"[ 8.8192129e-01  4.7139674e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04  2.1982193e-04  1.1681654e-01  1.8521116e+00]",[0.02846733 1.8783696 ],[0.02846733 1.8783696 ],[0.00711683 0.4695924 ]
12,0.1875,"[ 9.2387950e-01  3.8268343e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -1.0989190e-03  2.8467335e-02  1.8783696e+00]",[-0.08607273  1.7562551 ],[-0.08607273  1.7562551 ],[-0.02151818  0.4390638 ]
13,0.203125,"[ 9.5694035e-01  2.9028466e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04 -8.6072728e-02  1.7562551e+00]",[0.06854413 1.7562159 ],[0.06854413 1.7562159 ],[0.01713603 0.43905398]
14,0.21875000000000003,"[ 9.8078525e-01  1.9509032e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -1.0989190e-03  6.8544127e-02  1.7562159e+00]",[-0.03286282  1.1761452 ],[-0.03286282  1.1761452 ],[-0.0082157  0.2940363]
15,0.234375,"[ 9.9518472e-01  9.8017141e-02 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04  6.5937045e-04 -3.2862816e-02  1.1761452e+00]",[-0.14121757  0.9230057 ],[-0.14121757  0.9230057 ],[-0.03530439  0.23075143]
16,0.25,"[ 1.0000000e+00  6.1232343e-17 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04  2.1982193e-04 -1.4121757e-01  9.2300570e-01]",[-0.4893292  0.671095 ],[-0.4893292  0.671095 ],[-0.1223323   0.16777375]
17,0.265625,"[ 9.9518472e-01 -9.8017141e-02 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04  2.1982193e-04 -4.8932919e-01  6.7109501e-01]",[-0.656182   0.4106789],[-0.656182   0.4106789],[-0.1640455   0.10266972]
18,0.28125,"[ 9.8078525e-01 -1.9509032e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04 -6.5618199e-01  4.1067889e-01]",[-0.6969154   0.10890937],[-0.6969154   0.10890937],[-0.17422885  0.02722734]
19,0.296875,"[ 9.5694035e-01 -2.9028466e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04  2.1982193e-04 -6.9691539e-01  1.0890937e-01]",[-0.64648956 -0.03179206],[-0.64648956 -0.03179206],[-0.16162239 -0.00794802]
20,0.3125,"[ 9.2387950e-01 -3.8268343e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04 -6.4648956e-01 -3.1792063e-02]",[-0.6207387  -0.19879049],[-0.6207387  -0.19879049],[-0.15518467 -0.04969762]
21,0.328125,"[ 8.8192129e-01 -4.7139674e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -1.0989190e-03 -6.2073869e-01 -1.9879049e-01]",[-0.6711403  -0.23597315],[-0.6711403  -0.23597315],[-0.16778508 -0.05899329]
22,0.34375,"[ 8.3146960e-01 -5.5557024e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04  2.1982193e-04 -6.7114031e-01 -2.3597315e-01]",[-0.8609817  -0.24480549],[-0.8609817  -0.24480549],[-0.21524543 -0.06120137]
23,0.359375,"[ 7.7301043e-01 -6.3439327e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04 -6.5937045e-04 -8.6098170e-01 -2.4480549e-01]",[-0.5368959  -0.17657407],[-0.5368959  -0.17657407],[-0.13422397 -0.04414352]
24,0.375,"[ 7.0710677e-01 -7.0710677e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -2.1982193e-04 -5.3689587e-01 -1.7657407e-01]",[-0.4535451  -0.10455127],[-0.4535451  -0.10455127],[-0.11338627 -0.02613782]
25,0.390625,"[ 6.3439327e-01 -7.7301043e-01 -2.4795532e-03  1.1634827e-02
 -2.1982193e-04 -6.5937045e-04 -4.5354509e-01 -1.0455127e-01]",[-0.4113343  -0.02671114],[-0.4113343  -0.02671114],[-0.10283358 -0.00667778]
26,0.40625,"[ 5.5557024e-01 -8.3146960e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04 -2.1982193e-04 -4.1133431e-01 -2.6711140e-02]",[-0.20048302 -0.00788253],[-0.20048302 -0.00788253],[-0.05012076 -0.00197063]
27,0.421875,"[ 4.7139674e-01 -8.8192129e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04 -2.1982193e-04 -2.0048302e-01 -7.8825280e-03]",[-0.04007033  0.11368951],[-0.04007033  0.11368951],[-0.01001758  0.02842238]
28,0.43750000000000006,"[ 3.8268343e-01 -9.2387950e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04 -6.5937045e-04 -4.0070325e-02  1.1368951e-01]",[0.03155804 0.01311971],[0.03155804 0.01311971],[0.00788951 0.00327993]
29,0.45312499999999994,"[ 2.9028466e-01 -9.5694035e-01 -2.4795532e-03  1.1634827e-02
  2.1982193e-04 -6.5937045e-04  3.1558037e-02  1.3119705e-02]",[0.06605665 0.76610386],[0.06605665 0.76610386],[0.01651416 0.19152597]
30,0.46875,"[ 1.9509032e-01 -9.8078525e-01 -2.4795532e-03  1.1634827e-02
 -6.5937045e-04 -2.1982193e-04  6.6056646e-02  7.6610386e-01]",[-0.15672539  0.7386758 ],[-0.15672539  0.7386758 ],[-0.03918135  0.18466894]
