step,phase,obs,action_raw,action_clipped,action_scaled
23,0.359375,"[ 0.77301043 -0.6343933  -0.04940128  0.07801151  0.07582416 -0.03582421
  1.9744148  -0.9617784 ]",[ 1.3234848 -0.772251 ],[ 1.3234848 -0.772251 ],[ 0.3308712  -0.19306275]
24,0.375,"[ 0.70710677 -0.70710677 -0.03223515  0.07152653  0.09120875 -0.03890114
  1.3234848  -0.772251  ]",[ 0.882092  -0.7457887],[ 0.882092  -0.7457887],[ 0.220523   -0.18644717]
25,0.390625,"[ 0.6343933  -0.77301043 -0.01468658  0.06313419  0.08505497 -0.04725275
  0.882092   -0.7457887 ]",[ 0.5206541  -0.74235976],[ 0.5206541  -0.74235976],[ 0.13016352 -0.18558994]
26,0.40625,"[ 0.55557024 -0.8314696   0.00362396  0.05359745  0.08373623 -0.05560436
  0.5206541  -0.74235976]",[ 0.2968075  -0.34523478],[ 0.2968075  -0.34523478],[ 0.07420187 -0.0863087 ]
27,0.421875,"[ 0.47139674 -0.8819213   0.02193451  0.04406071  0.08285713 -0.04901094
  0.2968075  -0.34523478]",[-0.5093431  -0.37064305],[-0.5093431  -0.37064305],[-0.12733577 -0.09266076]
28,0.43750000000000006,"[ 0.38268343 -0.9238795   0.03948307  0.03452396  0.09164839 -0.05296707
 -0.5093431  -0.37064305]",[-0.43784454 -0.7936405 ],[-0.43784454 -0.7936405 ],[-0.10946114 -0.19841012]
29,0.45312499999999994,"[ 0.29028466 -0.95694035  0.05512333  0.02574921  0.08197804 -0.04065933
 -0.43784454 -0.7936405 ]",[-1.9966146 -1.1319695],[-1.9966146 -1.1319695],[-0.49915364 -0.28299236]
30,0.46875,"[ 0.19509032 -0.98078525  0.06771183  0.01773834  0.0578022  -0.0375824
 -1.9966146  -1.1319695 ]",[-1.9810677 -1.3138648],[-1.9810677 -1.3138648],[-0.4952669 -0.3284662]
31,0.484375,"[ 0.09801714 -0.9951847   0.07801151  0.01010895  0.04109888 -0.03978024
 -1.9810677  -1.3138648 ]",[-1.9403085 -1.149599 ],[-1.9403085 -1.149599 ],[-0.4850771  -0.28739974]
32,0.5,"[ 1.2246469e-16 -1.0000000e+00  8.5259438e-02  3.6239624e-03
  3.0988980e-02 -3.4065913e-02 -1.9403085e+00 -1.1495990e+00]",[-1.8421261 -0.9380199],[-1.8421261 -0.9380199],[-0.46053153 -0.23450497]
33,0.515625,"[-9.8017141e-02 -9.9518472e-01  8.9074135e-02 -1.7166138e-03
  1.1648369e-02 -3.1428527e-02 -1.8421261e+00 -9.3801987e-01]",[-1.6070393 -0.966084 ],[-1.6070393 -0.966084 ],[-0.40175983 -0.241521  ]
34,0.53125,"[-0.19509032 -0.98078525  0.0894556  -0.00591278 -0.00813189 -0.02395601
 -1.6070393  -0.966084  ]",[-1.9397883  -0.89015174],[-1.9397883  -0.89015174],[-0.4849471  -0.22253793]
35,0.546875,"[-0.29028466 -0.95694035  0.08564091 -0.01163483 -0.03054943 -0.0257143
 -1.9397883  -0.89015174]",[-2.072902   -0.39811176],[-2.072902   -0.39811176],[-0.5182255  -0.09952794]
36,0.5625,"[-0.38268343 -0.9238795   0.07877445 -0.01773834 -0.04593411 -0.0274725
 -2.072902   -0.39811176]",[-2.0660882 -0.4002715],[-2.0660882 -0.4002715],[-0.51652205 -0.10006788]
37,0.578125,"[-0.47139674 -0.8819213   0.07038212 -0.02384186 -0.04593411 -0.03098898
 -2.0660882  -0.4002715 ]",[-2.0492795  -0.24299547],[-2.0492795  -0.24299547],[-0.51231986 -0.06074887]
38,0.59375,"[-0.55557024 -0.8314696   0.05970097 -0.02994537 -0.05252743 -0.02791204
 -2.0492795  -0.24299547]",[-0.5563639   0.17766175],[-0.5563639   0.17766175],[-0.13909097  0.04441544]
39,0.609375,"[-0.6343933  -0.77301043  0.04863834 -0.03604984 -0.05472527 -0.02615385
 -0.5563639   0.17766175]",[-0.57058185 -0.21422037],[-0.57058185 -0.21422037],[-0.14264546 -0.05355509]
40,0.625,"[-0.70710677 -0.70710677  0.03604984 -0.04139042 -0.0578022  -0.01868134
 -0.57058185 -0.21422037]",[-0.6179231 -0.2552203],[-0.6179231 -0.2552203],[-0.15448077 -0.06380507]
41,0.640625,"[-0.77301043 -0.6343933   0.02269745 -0.04596806 -0.07010984 -0.0257143
 -0.6179231  -0.2552203 ]",[-0.72631043 -0.05777584],[-0.72631043 -0.05777584],[-0.18157761 -0.01444396]
42,0.65625,"[-0.8314696  -0.55557024  0.00858307 -0.04940128 -0.06307688 -0.0156044
 -0.72631043 -0.05777584]",[-0.26079232  0.09783708],[-0.26079232  0.09783708],[-0.06519808  0.02445927]
43,0.671875,"[-0.8819213  -0.47139674 -0.00553131 -0.05130863 -0.07274723 -0.00725279
 -0.26079232  0.09783708]",[-0.5572833  0.5686352],[-0.5572833  0.5686352],[-0.13932082  0.1421588 ]
44,0.6875,"[-9.2387950e-01 -3.8268343e-01 -1.7738342e-02 -5.1690102e-02
 -5.4725267e-02  2.1982193e-04 -5.5728328e-01  5.6863523e-01]",[-0.2587212  1.9438735],[-0.2587212  1.9438735],[-0.0646803   0.48596838]
45,0.703125,"[-9.5694035e-01 -2.9028466e-01 -2.8038025e-02 -5.1308632e-02
 -4.6813201e-02  6.5937045e-04 -2.5872120e-01  1.9438735e+00]",[0.18516329 2.154713  ],[0.18516329 2.154713  ],[0.04629082 0.5386782 ]
46,0.71875,"[-9.8078525e-01 -1.9509032e-01 -3.6812782e-02 -5.1308632e-02
 -4.8571397e-02  1.0989190e-03  1.8516329e-01  2.1547129e+00]",[-0.18024582  2.0146194 ],[-0.18024582  2.0146194 ],[-0.04506145  0.50365484]
47,0.734375,"[-9.9518472e-01 -9.8017141e-02 -4.4060707e-02 -5.0927162e-02
 -3.1428527e-02  6.5937045e-04 -1.8024582e-01  2.0146194e+00]",[-0.0726862  1.9560819],[-0.0726862  1.9560819],[-0.01817155  0.48902047]
48,0.75,"[-1.0000000e+00 -1.8369701e-16 -4.9782753e-02 -5.0164223e-02
 -2.8791238e-02  4.6154023e-03 -7.2686195e-02  1.9560819e+00]",[-0.26473016  1.8954979 ],[-0.26473016  1.8954979 ],[-0.06618254  0.47387448]
49,0.765625,"[-0.9951847   0.09801714 -0.05397892 -0.04825687 -0.01780224  0.01604395
 -0.26473016  1.8954979 ]",[-0.17098749  1.7117883 ],[-0.17098749  1.7117883 ],[-0.04274687  0.42794707]
50,0.78125,"[-0.98078525  0.19509032 -0.05703068 -0.04253483 -0.01296701  0.03406591
 -0.17098749  1.7117883 ]",[-0.16281274  1.5688189 ],[-0.16281274  1.5688189 ],[-0.04070318  0.39220473]
51,0.796875,"[-0.95694035  0.29028466 -0.05893803 -0.0352869  -0.00769234  0.03626375
 -0.16281274  1.5688189 ]",[0.3456579 1.719992 ],[0.3456579 1.719992 ],[0.08641448 0.429998  ]
52,0.8125,"[-0.9238795   0.38268343 -0.05970097 -0.02536774 -0.00241756  0.05340662
  0.3456579   1.719992  ]",[-0.9370516  1.4236395],[-0.9370516  1.4236395],[-0.2342629   0.35590988]
53,0.828125,"[-8.81921291e-01  4.71396744e-01 -6.00824356e-02 -1.46865845e-02
 -2.19821930e-04  6.61538169e-02 -9.37051594e-01  1.42363954e+00]",[-0.9085096  1.3761393],[-0.9085096  1.3761393],[-0.2271274   0.34403482]
