step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,,"[-4.3947324e-02  2.5417753e-03 -3.6262881e-03 -6.2154664e-04
  3.9553955e-02  2.3990357e-02 -9.9892938e-01  2.0000000e-01
  0.0000000e+00  0.0000000e+00  7.2279489e-01  6.9106263e-01
 -2.9469013e-01 -3.9101601e-02 -1.2397766e-02 -6.3191414e-01
  2.8132090e-01  2.6760483e-01  6.2942505e-03 -1.3542175e-02
  5.7583714e-01 -3.1911117e-01 -1.3187408e-02 -3.0769348e-02
 -1.3187408e-02  4.3964386e-03 -2.2001038e-03 -1.3187408e-02
  4.3964386e-03 -4.3964386e-03 -2.1978378e-02  2.1302446e-03]","[ 0.18877211 -0.00773844  0.08436988  0.14323159 -0.3982548  -0.10965582
 -0.23763043  0.00436416 -0.15182355  0.51063263]","[-0.07445944845676422, -0.0016821988392621279, 0.04490203782916069, -0.36291298270225525, -0.2430761754512787, 0.1148628294467926, -0.18364985287189484, 0.013831056654453278, 0.3338331878185272, 0.3536970615386963]"
20,,"[-4.3992806e-02 -2.4944595e-03 -2.9335494e-04  1.4206107e-03
  3.9572384e-02  2.3962235e-02 -9.9892926e-01  2.0000000e-01
  0.0000000e+00  0.0000000e+00  9.9899304e-01 -4.4864830e-02
 -2.9469013e-01 -3.9101601e-02 -1.2397766e-02 -6.3191414e-01
  2.8132090e-01  2.6760483e-01  6.2942505e-03 -1.3542175e-02
  5.7583714e-01 -3.1911117e-01 -4.3964386e-03 -1.3187408e-02
 -4.3964386e-03 -4.3964386e-03 -2.2001038e-03 -4.3964386e-03
 -4.3964386e-03 -4.3964386e-03  4.3964386e-03 -1.6904638e-05]","[ 0.21309105 -0.11411127  0.20727862  0.17102122 -0.39910638 -0.02216662
 -0.2559515  -0.03241131 -0.09866593  0.44921803]","[-0.037233829498291016, -0.13309164345264435, 0.1738031804561615, -0.33614304661750793, -0.2510780096054077, 0.2120976597070694, -0.23233464360237122, -0.011621944606304169, 0.3934822082519531, 0.32840365171432495]"
30,,"[-4.3986119e-02 -8.8830281e-04  6.6401053e-04  7.7187188e-04
  3.9561346e-02  2.4057703e-02 -9.9892747e-01  2.0000000e-01
  0.0000000e+00  0.0000000e+00  6.5793872e-01 -7.5307149e-01
 -2.9469013e-01 -3.9101601e-02 -1.2397766e-02 -6.3191414e-01
  2.8132090e-01  2.6760483e-01  6.2942505e-03 -1.3542175e-02
  5.7583714e-01 -3.1911117e-01 -4.3964386e-03 -4.3964386e-03
 -1.3187408e-02 -4.3964386e-03  2.1940749e-03 -1.3187408e-02
 -1.3187408e-02 -4.3964386e-03  1.3187408e-02  2.1302446e-03]","[ 0.21180454 -0.07151709  0.1973735   0.20947012 -0.36009803 -0.00283764
 -0.15495372 -0.09566561 -0.10182544  0.23861536]","[-0.04032284766435623, -0.11731677502393723, 0.20916402339935303, -0.2965274453163147, -0.22075434029102325, 0.24929101765155792, -0.154219388961792, -0.06893111765384674, 0.39959147572517395, 0.1346195638179779]"
40,,"[-0.04566208 -0.1009725   0.08426989 -0.09607601  0.04085246  0.02830449
 -0.99876416  0.2         0.          0.         -0.08963931 -0.9959743
 -0.2836275  -0.03872013  0.04825687 -0.6094074   0.24897282  0.26646042
 -0.00934601 -0.03872013  0.56439304 -0.28879815  0.38241768 -0.03956032
  1.8329678   0.71648407 -0.556145    0.00439644 -0.23296738 -0.4351654
 -0.312088    0.79617757]","[ 0.16776595  0.10726144 -0.01550251 -0.11191466  0.38175783 -0.03113481
  0.16698718 -0.2193672  -0.12402309  0.11607764]","[-0.0669279545545578, 0.04194044694304466, -0.0209443848580122, -0.5433463454246521, 0.30638259649276733, 0.2231777161359787, 0.11313697695732117, -0.1799987554550171, 0.385117769241333, 0.008544674143195152]"
50,,"[-0.07057134  0.23379962 -0.06650598 -0.63357604  0.05070884  0.03589377
 -0.9980682   0.2         0.          0.         -0.7818315  -0.6234898
 -0.25120163 -0.04482365  0.12989235 -0.53158665  0.25100365  0.26646042
 -0.02803802 -0.11654091  0.51823425 -0.22092983  0.2857151  -0.21538544
 -1.8241749   0.14505577  1.0000824   0.03076935 -0.15384674 -1.4637356
 -0.35604477 -0.13863836]","[ 0.11012652  0.10771245  0.0541229  -0.06210689  0.3141839  -0.03363162
  0.30111808 -0.19082832 -0.1879968   0.3228518 ]","[-0.08018419146537781, 0.06940672546625137, 0.02983192913234234, -0.5486294627189636, 0.5393969416618347, 0.23932364583015442, 0.3012644052505493, -0.14495453238487244, 0.3662737309932709, 0.040842339396476746]"
60,,"[-0.17622173 -0.09121472 -0.3645454  -1.2048221   0.02081476  0.0291866
 -0.9993571   0.2         0.          0.         -0.99094975  0.13423327
 -0.22220993 -0.05893803  0.00782013 -0.5514231   0.30095497  0.27599716
 -0.03337955 -0.20580578  0.5102234  -0.2337495   0.47912025  0.19780159
  0.2593403  -0.21538544  0.16050062 -0.14505577 -0.04835129 -0.18021965
  0.03076935  0.17863148]","[ 0.12478758  0.21453212  0.03830895  0.07996003  0.32229686  0.10809434
  0.33366707 -0.2125828  -0.17635047  0.3215183 ]","[-0.0906602293252945, 0.15069811046123505, 0.03163252770900726, -0.42053115367889404, 0.51091468334198, 0.3743261992931366, 0.31749391555786133, -0.17347261309623718, 0.3505149483680725, 0.18053358793258667]"
70,,"[-0.26025614  0.07472546  0.08862863 -0.37565142  0.00163363  0.02906726
 -0.9995761   0.2         0.          0.         -0.58778524  0.809017
 -0.19741344 -0.03604984  0.02994537 -0.56057835  0.31010544  0.2668419
 -0.0246048  -0.2130537   0.50831604 -0.21252444  0.21538544  0.36483574
 -0.21538544  0.21538544  0.04985249  0.21538544  0.20659256  0.00439644
 -0.18021965  0.28670534]","[ 0.04289294  0.2539854   0.01344687  0.00987297  0.23950392 -0.09604403
  0.25504065 -0.2412096  -0.2280505   0.3166591 ]","[-0.22357186675071716, 0.22999130189418793, 0.008199774660170078, -0.48577043414115906, 0.3966304063796997, 0.17805510759353638, 0.34663599729537964, -0.24101890623569489, 0.266211599111557, 0.17827928066253662]"
80,,"[-0.2754291  -0.08314403  0.09265236 -0.07195073  0.01178063  0.02511129
 -0.9996153   0.2         0.          0.          0.17855689  0.9839296
 -0.19741344  0.02727509  0.03070831 -0.54264927  0.30836117  0.28858662
  0.0082016  -0.24509811  0.4747467  -0.17371635 -0.05714226  0.6813183
  0.47912025  0.18901062  0.00829806  0.06593323  0.32087898 -0.3472519
 -0.6549454   0.50594556]","[ 0.15798685  0.1452516   0.04590742  0.19646962 -0.35937285 -0.05543087
 -0.03803974 -0.09335981 -0.2291767   0.04809052]","[-0.11924541741609573, 0.13454245030879974, 0.017464211210608482, -0.3604837656021118, -0.07646884769201279, 0.17318066954612732, 0.05829187482595444, -0.1477855145931244, 0.2745257019996643, -0.03556683659553528]"
90,,"[-0.27846372  0.23845088  0.11528165  0.05923337  0.02334085  0.02694893
 -0.99936414  0.2         0.          0.          0.83457327  0.550897
 -0.20160961  0.08869267  0.06084538 -0.5189972   0.23059621  0.28439045
  0.04253483 -0.2504387   0.40073967 -0.13728407 -0.06593323  0.57582474
 -0.04835129  0.17142868 -1.7095329  -0.2241764   0.734066    0.9098892
 -0.7076931   0.35235545]","[ 0.08245892  0.0774013  -0.02316321  0.1724224  -0.42953557 -0.08728566
 -0.1442956  -0.02672359 -0.22317329 -0.01185104]","[-0.13297154009342194, 0.07162927836179733, 0.015286699868738651, -0.30780696868896484, -0.2815084457397461, 0.16316312551498413, -0.08497250825166702, -0.006150527391582727, 0.2757987082004547, -0.17309452593326569]"
100,,"[-0.24036631  0.13066044  0.23175415  0.85634196  0.04134843  0.00844275
 -0.999109    0.2         0.          0.          0.9749279  -0.22252093
 -0.19855785  0.1482029   0.0295639  -0.45796108  0.1441424   0.27370834
  0.13408852 -0.15659618  0.3599224  -0.13863683  0.03956032  0.742857
 -0.01318741  0.56703377 -0.6932429  -0.26813126  0.98901176  1.9736271
 -0.21538544 -0.18533687]","[ 1.0900787e-01  2.1565389e-02 -1.4491081e-01  1.6884746e-01
 -2.9609454e-01 -6.6392124e-05 -2.7998146e-01  1.3871494e-01
 -1.3219950e-01 -8.5658424e-02]","[-0.1580331027507782, -0.003383602248504758, -0.15413041412830353, -0.33404484391212463, -0.1750946342945099, 0.24641144275665283, -0.21712124347686768, 0.09597563743591309, 0.341102659702301, -0.20781415700912476]"
110,,"[-0.10662971 -0.3840358   0.31259924  1.5533416   0.07007507  0.01580029
 -0.9974166   0.2         0.          0.          0.5128993  -0.8584488
 -0.20199108  0.19092846 -0.04215336 -0.38586235  0.09529004  0.2630272
  0.18825817 -0.03414249  0.35420036 -0.15897596 -0.18021965  0.0747261
 -2.202198    0.5934067  -0.01229902 -0.01318741 -0.01318741  1.2967033
 -0.01318741 -0.3524584 ]","[ 0.36605003  0.2646137  -0.09250769  0.32349694 -0.35665905 -0.12520888
 -0.27039343  0.46984997 -0.13799022 -0.19323885]","[0.00022599994554184377, 0.15955600142478943, -0.12915296852588654, -0.2372143268585205, -0.18810085952281952, 0.16358037292957306, -0.2368384599685669, 0.4230523407459259, 0.384673148393631, -0.34631720185279846]"
120,,"[ 0.04799875 -0.32831565  0.11576434  1.6496967   0.09430926  0.03947494
 -0.9947599   0.2         0.          0.         -0.26603684 -0.96396285
 -0.2130537   0.19741344 -0.15087318 -0.31567097  0.0841394   0.2264061
  0.18139172  0.16308117  0.35839653 -0.21007125  0.18021965 -0.00439644
  0.4967041   1.0769234  -0.27854815 -0.7076931   0.29450607  3.3714294
  0.1362629  -0.81706107]","[ 0.39836368  0.3297422  -0.1047302  -0.09990329  0.5329697  -0.26795712
 -0.10515033  0.48513696 -0.26868093 -0.04285917]","[0.19214797019958496, 0.32924655079841614, -0.10055410116910934, -0.5320418477058411, 0.5661901235580444, 0.022417908534407616, -0.13907304406166077, 0.5051265358924866, 0.2500099837779999, -0.21939483284950256]"
