step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,0.0625,"[ 3.82683426e-01  9.23879504e-01  4.30498123e-02 -6.51214644e-03
  2.94280984e-03  1.82040215e-01 -1.46268383e-01  3.11234184e-02
 -4.61015701e-02 -9.89105180e-03  5.99456765e-03 -1.86236382e-01
  1.51161164e-01  1.41143706e-02 -2.86102295e-03 -1.71661377e-03
 -5.28345108e-02 -1.20162964e-02  4.00543213e-03  3.39508057e-03
  1.46865845e-02 -2.09808350e-03  1.90734863e-04 -2.93350220e-02
  6.59370446e-04 -2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -4.67817037e-04 -2.06649464e-04 -2.19821930e-04  6.59370446e-04
  1.09891896e-03 -2.19821930e-04 -1.18821241e-04 -4.25159291e-04
 -6.59370446e-04 -6.59370446e-04 -1.09891896e-03  2.19821930e-04
 -6.59370446e-04  2.19821930e-04  2.19821930e-04 -6.59370446e-04
 -2.19821930e-04  6.59370446e-04 -3.71575117e-01 -1.45788267e-01
 -2.38940433e-01 -1.03926197e-01  4.82976697e-02  1.20546564e-01
  1.27800882e+00 -4.82821018e-02  2.20355079e-01  6.94061995e-01
 -8.32194462e-02  4.67280485e-02  1.40993863e-01 -2.79711988e-02
  9.14149508e-02  2.27346092e-01  1.47997588e-01 -1.02621958e-01
 -2.78173368e-02 -6.42821342e-02  2.06192881e-01  2.82853916e-02]","[-0.00205272  0.07463874  0.02223443 -0.01260708  0.03208739 -0.01080179
  0.08906617 -0.02671983 -0.04824528  0.23505868 -0.0324074   0.00896801
 -0.05496247  0.00352798 -0.00257093 -0.03890928 -0.01608686  0.00930198
  0.00807301  0.04836796 -0.08116627  0.01902497]","[-0.2355676144361496, -0.001119167311117053, -0.01865285262465477, -0.41114506125450134, 0.25800561904907227, -0.0030114229302853346, 0.3429202139377594, 0.0013847604859620333, -0.006764736492186785, 0.5357392430305481, -0.26223352551460266, 0.014387713745236397, -0.003339469898492098, -0.001790506998077035, 0.008699160069227219, 0.00449395552277565, 0.004608177114278078, -0.805960476398468, 0.001360092544928193, 0.012649036012589931, -0.009905231185257435, 0.8097712993621826]"
20,0.140625,"[ 7.73010433e-01  6.34393275e-01  4.30498123e-02 -6.51214644e-03
  2.94280984e-03  1.82040215e-01 -1.46268383e-01  3.11234184e-02
 -4.61015701e-02 -9.89105180e-03  5.99456765e-03 -1.86236382e-01
  1.51161164e-01  1.41143706e-02 -2.86102295e-03 -1.71661377e-03
 -5.28345108e-02 -1.20162964e-02  4.00543213e-03  3.39508057e-03
  1.46865845e-02 -2.09808350e-03  1.90734863e-04 -2.93350220e-02
  2.19821930e-04 -6.59370446e-04 -1.53846748e-03 -2.19821930e-04
 -2.36275562e-04  6.36534940e-04 -2.19821930e-04 -6.59370446e-04
 -1.09891896e-03  2.19821930e-04 -2.35394793e-04 -2.14540618e-04
 -2.19821930e-04 -2.19821930e-04  2.19821930e-04 -2.19821930e-04
  1.09891896e-03 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04
 -6.59370446e-04  2.19821930e-04 -5.86999118e-01 -3.37108254e-01
  9.78879482e-02 -2.34298602e-01  7.74487108e-02 -1.61370710e-01
  1.49402094e+00  1.03847146e-01  2.82533467e-01  1.25901103e+00
 -1.19447052e-01 -6.86000586e-02  4.18647945e-01 -1.69661939e-02
  2.60079801e-01  1.09053992e-01  4.82994169e-02 -1.78963274e-01
  1.05923563e-01 -1.52545869e-01  5.78717828e-01  1.83045045e-02]","[ 0.0159537   0.06822596 -0.08739461 -0.01935729  0.02411254  0.06933548
  0.20841329 -0.04752211 -0.05854147  0.36481544 -0.01681584  0.01988881
 -0.15058863  0.00525217 -0.0360512   0.0133444   0.01669563  0.02098963
 -0.04481378  0.09463873 -0.16742754  0.01405622]","[-0.3001493215560913, -0.0058507458306849, -0.029217170551419258, -0.530734121799469, 0.323869913816452, -0.0009538754820823669, 0.489194393157959, 0.004433847963809967, -0.014791019260883331, 0.8020941019058228, -0.3255535066127777, 0.015924755483865738, -0.02837371453642845, 0.0006077544530853629, 0.010742581449449062, 0.006727983243763447, 0.00825059786438942, -1.0072914361953735, -0.0051806531846523285, 0.029091831296682358, -0.026541557163000107, 1.0123485326766968]"
30,0.21875000000000003,"[ 9.80785251e-01  1.95090324e-01  4.30498123e-02 -6.51214644e-03
  2.94280984e-03  1.82040215e-01 -1.46268383e-01  3.11234184e-02
 -4.61015701e-02 -9.89105180e-03  5.99456765e-03 -1.86236382e-01
  1.51161164e-01  1.41143706e-02 -2.86102295e-03 -1.71661377e-03
 -5.28345108e-02 -1.20162964e-02  4.00543213e-03  3.39508057e-03
  1.46865845e-02 -2.09808350e-03  1.90734863e-04 -2.93350220e-02
 -6.59370446e-04  6.59370446e-04 -6.59370446e-04 -2.19821930e-04
 -6.80033054e-07  2.11421269e-04 -2.19821930e-04 -6.59370446e-04
 -2.19821930e-04 -2.19821930e-04 -7.57769499e-07 -2.11941413e-04
 -1.09891896e-03 -2.19821930e-04 -6.59370446e-04 -6.59370446e-04
 -6.59370446e-04  2.19821930e-04 -1.09891896e-03 -6.59370446e-04
 -6.59370446e-04 -1.09891896e-03 -6.38055205e-01  2.31404558e-01
  4.01840329e-01 -1.97021604e-01  9.54788178e-02 -3.98640931e-01
  1.15322101e+00  5.77924848e-02  3.09655190e-01  1.47847843e+00
 -1.33156955e-01  1.04514793e-01  2.98425704e-01 -2.38122120e-02
  5.27835310e-01 -2.20292136e-01  7.41005763e-02 -2.32861876e-01
  2.30279863e-01 -6.00984931e-01  5.93330204e-01  1.49516493e-01]","[ 0.0248919  -0.08126888 -0.1322923  -0.05175849  0.01611038  0.11157075
  0.32626414 -0.03705378 -0.07108465  0.39817962 -0.01862434 -0.04283538
 -0.11412513  0.0121052  -0.10811488  0.07960649 -0.00391618  0.03663846
 -0.05299004  0.22798587 -0.1436611  -0.02080648]","[-0.301616370677948, -0.016884732991456985, -0.04423334822058678, -0.5426719784736633, 0.32103097438812256, 0.010429839603602886, 0.5391429662704468, 0.001966167241334915, -0.01893138326704502, 0.8784602880477905, -0.3232554793357849, 0.007938086055219173, -0.047473661601543427, 0.003167151939123869, 0.003551540430635214, 0.014992481097579002, 0.010733948089182377, -1.004787802696228, -0.009898630902171135, 0.04883445054292679, -0.034426454454660416, 1.0093319416046143]"
40,0.296875,"[ 9.56940353e-01 -2.90284663e-01  4.15239334e-02 -6.13067672e-03
  2.56134011e-03  1.74410820e-01 -1.45353153e-01  3.09308078e-02
 -3.80907059e-02 -9.89105180e-03  5.23162819e-03 -1.68688774e-01
  1.50040850e-01  1.39179118e-02 -2.86102295e-03 -1.71661377e-03
 -5.28345108e-02 -1.20162964e-02  4.00543213e-03  3.39508057e-03
  1.46865845e-02 -1.71661377e-03  1.90734863e-04 -2.93350220e-02
 -2.08790787e-02  5.49449911e-03 -9.89007950e-03 -6.26373291e-02
  9.84524563e-03 -3.26800882e-03  5.73626533e-02 -1.53846748e-03
 -1.03296284e-02  1.58022031e-01 -1.17348498e-02 -2.46158009e-03
  8.57143383e-03  2.19821930e-04  2.19821930e-04 -2.19821930e-04
 -2.19821930e-04 -1.09891896e-03  2.19821930e-04 -2.19821930e-04
 -1.09891896e-03  1.09891896e-03 -8.24393809e-01  4.96075243e-01
  1.15647212e-01 -1.70332655e-01  1.25686064e-01 -2.20159352e-01
  7.55563557e-01  5.27583212e-02  2.79558510e-01  1.46007228e+00
 -8.62554014e-02  2.37580478e-01 -8.56826901e-02 -3.71372290e-02
  1.00279379e+00 -2.79892683e-01  3.37471247e-01 -2.50625700e-01
  4.60211523e-02 -1.17075419e+00  1.65803328e-01  2.20055759e-01]","[-0.02544693 -0.10991514 -0.04827752 -0.10861187  0.01496799  0.05444738
  0.43169054 -0.03665338 -0.05770698  0.37294307 -0.04889986 -0.04003217
 -0.03964903  0.01511552 -0.22578436  0.07450694 -0.06155782  0.03688804
  0.007718    0.3364706  -0.03167797 -0.02992179]","[-0.31731295585632324, -0.0337347686290741, -0.043338414281606674, -0.5621019005775452, 0.32065656781196594, 0.01314249075949192, 0.5528507828712463, 0.0032168948091566563, -0.020129187032580376, 0.875638484954834, -0.3292939364910126, 0.0036115194670856, -0.042809486389160156, 0.004916200879961252, -0.01281006820499897, 0.01877167820930481, 0.006058437749743462, -1.001969337463379, -0.004479770548641682, 0.06833796948194504, -0.023724714294075966, 1.0048143863677979]"
50,0.375,"[ 7.07106769e-01 -7.07106769e-01 -1.96456909e-03 -2.31597945e-03
 -1.57492068e-02  2.37274170e-02 -1.02116674e-01  2.91973967e-02
  1.01530075e-01 -2.64312699e-03 -3.54217552e-03  2.24231720e-01
  1.04611740e-01  8.33096355e-03 -2.86102295e-03 -1.71661377e-03
 -5.28345108e-02 -1.20162964e-02  4.00543213e-03  3.39508057e-03
  1.73568726e-02 -1.71661377e-03  1.90734863e-04 -2.93350220e-02
 -2.96703335e-02 -1.09891896e-03 -2.17582714e-02 -1.22417592e-01
  6.52142316e-02  7.90918898e-03  8.37362334e-02  1.29670147e-02
 -6.81314478e-03  3.56703281e-01 -6.51170537e-02 -8.11911281e-03
 -9.01098270e-03  1.53846748e-03 -6.59370446e-04  2.19821930e-04
 -1.09891896e-03 -1.09891896e-03 -6.81314478e-03 -6.59370446e-04
  2.19821930e-04  1.09891896e-03 -1.27798104e+00  1.06196374e-01
 -2.28186026e-01 -2.64533103e-01  1.64640337e-01 -2.64780354e-02
  6.34474397e-01 -6.67006299e-02  4.99672592e-02  1.27868211e+00
 -9.65791643e-02  1.16555497e-01 -3.25324796e-02 -3.85847278e-02
  1.34339297e+00 -1.44804984e-01  4.66509134e-01 -1.84225559e-01
  1.46876499e-01 -1.23420060e+00 -4.40945864e-01  1.76496863e-01]","[ 0.04544676  0.00806122  0.02170347 -0.09735588  0.01401632 -0.00164347
  0.32526782 -0.00523533 -0.01161223  0.25363055 -0.06278482  0.0079986
 -0.04317144  0.00630784 -0.29693854  0.04082142 -0.09916782  0.02475651
 -0.05838364  0.3013342   0.08232516 -0.00762319]","[-0.3789491057395935, -0.028252195566892624, -0.03247183933854103, -0.5950708389282227, 0.324600487947464, -0.004058224614709616, 0.5642940998077393, 0.0012528726365417242, -0.020675571635365486, 0.8353599905967712, -0.34532836079597473, 0.020771687850356102, -0.035310398787260056, 0.00270694587379694, -0.0277691837400198, 0.014191757887601852, -0.005348019301891327, -1.002285361289978, -0.005287238396704197, 0.06688749045133591, -0.016157303005456924, 1.0074745416641235]"
60,0.45312499999999994,"[ 2.9028466e-01 -9.5694035e-01 -1.5697479e-02 -4.6047978e-03
 -3.1771891e-02 -6.9352150e-02 -2.7303636e-02  2.7581494e-02
  1.5112114e-01  7.9010054e-04 -4.6865847e-03  4.3022823e-01
  2.7273953e-02 -2.1634465e-03 -2.5367737e-02 -1.7166138e-03
 -4.8638344e-02 -1.2016296e-02  4.0054321e-03  3.3950806e-03
  8.2015991e-03 -1.7166138e-03  1.9073486e-04 -2.9335022e-02
 -9.8900795e-03 -2.4175644e-03 -7.2527886e-03 -4.1977979e-02
  7.8572176e-02 -3.5358914e-03  1.7362595e-02 -5.4944991e-03
  2.1982193e-04  6.1318684e-02 -8.1553690e-02 -8.7888427e-03
 -2.4835205e-02 -2.1982193e-04 -1.0989190e-03 -1.0989190e-03
  2.1982193e-04  2.1982193e-04 -7.6923370e-03 -1.0989190e-03
 -2.1982193e-04 -6.5937045e-04 -4.4505602e-01 -8.5511968e-02
 -1.9284189e-03  8.1105106e-02  1.3135864e-01 -2.7028939e-02
 -8.8840580e-01 -3.0732167e-01 -2.4559499e-01  3.4904754e-01
 -9.9342763e-03 -5.7770874e-02  5.8263385e-01 -2.7709262e-02
  1.5078773e+00 -3.9804494e-01  3.1481329e-01  2.1876022e-02
  5.5022490e-01 -1.1047862e+00 -7.2125375e-01  1.1088583e-01]","[ 0.01596333  0.02823969 -0.01832726 -0.10044397  0.01534831  0.02219315
  0.2643461   0.08487096  0.07137181  0.04125161 -0.05993872 -0.00283135
 -0.07003298 -0.00170438 -0.3605228   0.12496953 -0.06463607 -0.02341875
 -0.16417289  0.2535817   0.18484737  0.00884066]","[-0.2911340892314911, -0.012263563461601734, -0.016139619052410126, -0.5572572350502014, 0.32311341166496277, -0.00439302297309041, 0.3645781874656677, 0.0209913682192564, -0.008685043081641197, 0.635484516620636, -0.33996880054473877, 0.009071196429431438, 0.011878426186740398, -0.0019599907100200653, -0.05330878496170044, 0.017492219805717468, -0.013362983241677284, -1.0023573637008667, -0.021252498030662537, 0.05302668362855911, 0.014949413947761059, 1.0136075019836426]"
70,0.53125,"[-1.95090324e-01 -9.80785251e-01 -3.51533890e-02 -4.98626754e-03
 -3.10089495e-02 -9.30032730e-02  4.34375405e-02  2.30872892e-02
  1.64092064e-01 -1.02725215e-02 -4.68658470e-03  3.95513535e-01
 -4.93934453e-02 -8.92016292e-03 -3.94830704e-02 -1.71661377e-03
 -5.58862686e-02 -1.20162964e-02  4.00543213e-03  3.01361084e-03
  1.12533569e-02 -1.71661377e-03  1.90734863e-04 -2.93350220e-02
 -7.69233704e-03  1.53846748e-03  6.81314478e-03  5.93404798e-03
  5.92854619e-02 -6.90590218e-03 -2.13187225e-02 -7.69233704e-03
  6.59370446e-04 -1.55384645e-01 -6.81106374e-02 -2.39903922e-03
  6.37359638e-03 -6.59370446e-04 -1.29670147e-02  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04  7.25278864e-03 -6.59370446e-04
 -2.19821930e-04 -6.59370446e-04  1.22650191e-01  2.33453408e-01
  1.43765688e-01 -1.83893785e-01  9.98505205e-02  1.18966892e-01
 -1.80266535e+00 -4.93668944e-01 -5.45956433e-01  3.44235338e-02
  6.60207495e-02 -3.72096933e-02  6.00227952e-01  3.33203897e-02
  1.09848821e+00 -8.56635988e-01  1.10592954e-02  2.41233006e-01
  1.12066185e+00 -6.78034663e-01 -1.05640483e+00  5.65515757e-02]","[-0.16888249 -0.07253662 -0.00790608 -0.20793352  0.00189702 -0.04078439
  0.31960267  0.14165366  0.15103236 -0.00883287 -0.04499251 -0.05284357
 -0.03622093 -0.00701977 -0.20022818  0.20675875  0.00092525 -0.07481839
 -0.30270758  0.1393339   0.31073016  0.01342815]","[-0.29337558150291443, -0.01895449496805668, -0.0066080824472010136, -0.5983481407165527, 0.31491807103157043, -0.006672029383480549, 0.2590702176094055, 0.04371040314435959, 0.010088520124554634, 0.5057352185249329, -0.3260878026485443, -0.010177690535783768, 0.03257841616868973, -0.0010725462343543768, -0.0488412082195282, 0.026420284062623978, -0.010116640478372574, -1.011107087135315, -0.042142339050769806, 0.03834923356771469, 0.05216902494430542, 1.0129255056381226]"
80,0.609375,"[-6.34393275e-01 -7.73010433e-01 -2.40898132e-02 -2.31597945e-03
 -1.99453738e-02 -6.66818619e-02  5.94091117e-02  1.35903424e-02
  1.16788864e-01 -1.63760372e-02 -3.16070579e-03  1.77691460e-01
 -8.06454420e-02 -1.38563104e-02 -3.07083130e-02 -1.71661377e-03
 -6.42786026e-02 -1.20162964e-02  4.00543213e-03  3.01361084e-03
  1.39236450e-02 -1.71661377e-03  1.90734863e-04 -2.89535522e-02
  1.12088202e-02 -2.19821930e-04  1.69230457e-02  2.04395298e-02
 -2.80858818e-02 -8.00714828e-03 -6.39560744e-02 -6.37359638e-03
  4.17585392e-03 -2.28791192e-01  3.06869037e-02 -1.29209086e-02
  1.99999809e-02 -2.19821930e-04 -2.41756439e-03 -2.19821930e-04
 -2.19821930e-04  6.59370446e-04  1.97801599e-03  6.59370446e-04
 -1.09891896e-03 -1.09891896e-03  2.41872445e-01  2.87305146e-01
 -1.46531150e-01 -7.80335367e-01  6.47052675e-02  6.45458579e-01
 -1.99740577e+00 -6.02209449e-01 -5.95781028e-01  1.01810887e-01
  1.42240793e-01 -6.15662634e-02  1.10703707e-01  9.19348523e-02
  2.37792119e-01 -8.11529756e-01 -2.39861757e-01  3.14770937e-01
  1.51114500e+00  1.36733055e-03 -1.28602123e+00  8.47959965e-02]","[-0.3924844  -0.07658141  0.07208353 -0.34177095 -0.00244843 -0.17237704
  0.3919012   0.16445887  0.16837321  0.0146685  -0.03649297 -0.06716793
 -0.02347366 -0.01047782  0.04351445  0.17790867  0.06357858 -0.10181947
 -0.35006052 -0.03080611  0.3522864   0.01314121]","[-0.39909663796424866, -0.03871840238571167, 0.0035733573604375124, -0.7385927438735962, 0.3061215579509735, -0.023685144260525703, 0.264998197555542, 0.05632312595844269, 0.02715923823416233, 0.5131698846817017, -0.3113061487674713, -0.03468497097492218, 0.006386132910847664, 0.002831075806170702, 6.467550701927394e-05, 0.03276459127664566, 0.0011646343627944589, -1.0229889154434204, -0.056108295917510986, 0.015602311119437218, 0.07726605236530304, 1.016334056854248]"
90,0.6875,"[-9.23879504e-01 -3.82683426e-01 -2.10380554e-02  3.02459672e-03
 -8.50128196e-03 -7.88888931e-02  2.74937451e-02  5.37941791e-03
  6.94856644e-02 -1.29428096e-02  7.90191628e-03 -1.76239014e-02
 -4.49140668e-02 -2.14517824e-02 -1.04904175e-02 -2.09808350e-03
 -7.76300430e-02 -1.20162964e-02  4.00543213e-03  3.01361084e-03
  1.16348267e-02 -1.71661377e-03  1.90734863e-04 -2.89535522e-02
 -1.51648521e-02  9.89007950e-03  8.57143383e-03 -7.49450698e-02
 -3.17220837e-02 -4.27079946e-03 -3.62637527e-02  6.81314478e-03
  1.29670147e-02 -1.14945076e-01  3.68435830e-02 -6.81745261e-03
  1.91208851e-02 -6.59370446e-04 -7.25278864e-03 -6.59370446e-04
  6.59370446e-04  6.59370446e-04  1.53846748e-03 -6.59370446e-04
  2.19821930e-04  2.19821930e-04  3.11729074e-01 -3.43755670e-02
 -3.42236340e-01 -1.18281221e+00  3.47920842e-02  9.48337197e-01
 -1.90345573e+00 -5.30043602e-01 -5.88194132e-01  1.17823012e-01
  1.19396903e-01 -1.53095901e-01 -3.70206498e-02  1.37202144e-01
 -4.12645608e-01 -5.74794412e-01 -5.29325604e-01  3.42187226e-01
  1.29785991e+00  7.41046667e-01 -1.03816509e+00  6.55974224e-02]","[-0.55321556 -0.01944429  0.08486928 -0.37094855  0.01081226 -0.21667594
  0.46372283  0.1350007   0.1658724   0.0228796  -0.034977   -0.02239123
 -0.06273615 -0.01727465  0.20170479  0.13329855  0.13900764 -0.11341333
 -0.26556936 -0.20036198  0.2608974   0.02047672]","[-0.5098770260810852, -0.04424905404448509, 0.007330630905926228, -0.8311583399772644, 0.3067449927330017, -0.038954026997089386, 0.31602588295936584, 0.05492500215768814, 0.031610872596502304, 0.5247026681900024, -0.3086773455142975, -0.030291663482785225, -0.0289872195571661, 0.004563720431178808, 0.047988567501306534, 0.030604470521211624, 0.01584862545132637, -1.0311450958251953, -0.048676926642656326, -0.014315588399767876, 0.07254849374294281, 1.0175862312316895]"
