step,phase,obs,action_scaled,smoothed_joint_pos
100,0.7734375,"[ 4.4759355e-02 -1.7450151e-03 -3.5570957e-02 -2.7503323e-02
 -3.3078257e-02 -9.9907434e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -7.7115059e-02  2.3705749e-02  3.8038023e-02
 -9.3003273e-02  7.3357120e-02  1.1297417e-01 -4.0108949e-02
  1.0894798e-04  8.2703590e-02 -4.0649027e-02  1.0769272e-02
  8.5714338e-03  2.3516465e-02  3.4945011e-02 -2.1171162e-02
  2.4175644e-03  4.1758539e-03  1.2087918e-02 -6.5937045e-04
  1.1788700e-02  4.7609061e-03  4.6933436e-01  4.6256579e-02
  1.0328549e-01  6.9418520e-02  4.5065293e-01  1.7691672e-01
  5.4510511e-02 -7.0313823e-01 -2.5738966e-01 -9.8917651e-01
  1.4673047e-01]","[ 0.019006    0.12330413  0.0078081   0.03016052  0.01364924  0.11841332
  0.0354229   0.02092251 -0.17881727 -0.08239406]","[-0.27152693271636963, 0.07187360525131226, 0.004815158434212208, -0.48060500621795654, 0.17077893018722534, 0.34864652156829834, 0.0923241600394249, 0.016341770067811012, 0.3285214602947235, -0.1840704083442688]"
110,0.8515625,"[ 0.00908694  0.03520002  0.00690733 -0.01918509 -0.04288664 -0.99889576
  0.2         0.          0.         -0.06834126  0.01950958  0.05711246
 -0.04837132  0.0353983   0.11450005 -0.03476837  0.03596806  0.07927036
 -0.05048124 -0.00725279 -0.00681314  0.00153847  0.0063736  -0.00961682
  0.00241756 -0.00901098  0.00945053 -0.00241756 -0.00457601  0.22962186
  0.61852556 -0.09734425  0.27833855  0.1575802   0.31868625  0.19920945
 -0.05633191 -0.6599861  -0.23187296 -0.8032075   0.5956993 ]","[ 0.05616482  0.15780102 -0.02553215  0.06912972  0.04119554  0.0796431
  0.05196502 -0.01476976 -0.16508877 -0.05917284]","[-0.19292066991329193, 0.1191413402557373, -0.032674938440322876, -0.4336147904396057, 0.18897294998168945, 0.333377867937088, 0.07673729211091995, 0.001287685940042138, 0.33279094099998474, -0.21453122794628143]"
120,0.9296874999999999,"[ 1.7899308e-02  1.4367611e-02 -1.5423519e-02 -1.2230404e-02
 -4.8982985e-02 -9.9872482e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -6.3000679e-02  5.4625794e-05  5.6730993e-02
 -3.1586647e-02  2.9593006e-02  1.1755180e-01 -5.7275087e-02
  3.7493937e-02  7.9651833e-02 -6.1016396e-02  1.2527466e-02
 -6.8131448e-03 -5.9340480e-03  9.0109827e-03 -2.6423865e-04
 -2.4175644e-03 -8.1318859e-03 -2.4175644e-03  1.5384675e-03
 -5.3494866e-03  2.6774168e-01  7.8337687e-01 -1.3216771e-01
  3.2063344e-01  2.4336752e-01  3.4356642e-01  1.8627235e-01
 -1.7612241e-02 -6.4748311e-01 -2.1853478e-01 -4.2755508e-01
  9.0398932e-01]","[ 0.06750161  0.19872572 -0.0334342   0.08327332  0.06220473  0.08360045
  0.04665818 -0.00250446 -0.1607751  -0.05176352]","[-0.18497547507286072, 0.16196557879447937, -0.042614154517650604, -0.42335906624794006, 0.20818936824798584, 0.33671796321868896, 0.0779590904712677, 0.0037536968011409044, 0.3374443054199219, -0.20675814151763916]"
130,1.0078125,"[ 2.33026836e-02  3.52949500e-02 -1.58854164e-02 -2.23487499e-03
 -5.85681051e-02 -9.98280883e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -3.97310257e-02 -1.06274802e-02  4.83386591e-02
 -4.88281250e-03  2.96995938e-02  1.15262985e-01 -6.94830716e-02
  3.67309973e-02  8.38479996e-02 -7.83941746e-02  8.57143383e-03
 -1.53846748e-03 -5.93404798e-03  1.42857553e-02 -1.04212573e-04
 -2.19821930e-04 -3.29666142e-03  6.59370446e-04  3.73630528e-03
 -1.04890838e-02  2.87540019e-01  9.02441025e-01 -1.76904008e-01
  4.65240389e-01  3.03794295e-01  2.35665411e-01  1.92493051e-01
 -8.16276073e-02 -5.52957594e-01 -1.37650073e-02  4.90676761e-02
  9.98795450e-01]","[ 0.07092617  0.22825728 -0.04580119  0.11941812  0.07713471  0.0554773
  0.04909129 -0.02390347 -0.13531679  0.00279211]","[-0.17841818928718567, 0.19247455894947052, -0.05307057499885559, -0.3877326250076294, 0.22451426088809967, 0.31201910972595215, 0.07775278389453888, -0.007576660718768835, 0.3586333394050598, -0.160500168800354]"
140,1.0859375,"[ 1.98767297e-02  2.78042946e-02 -6.24576071e-03  9.15222149e-03
 -6.91523701e-02 -9.97564197e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -1.76048279e-02 -1.21533591e-02  3.99453714e-02
  2.52532959e-02  3.02096307e-02  1.15262985e-01 -7.10089505e-02
  3.40607092e-02  9.37671661e-02 -9.55564678e-02  1.29670147e-02
  1.09891896e-03 -6.37359638e-03  2.04395298e-02  7.50432897e-04
 -6.59370446e-04  2.19821930e-04 -3.73630528e-03  5.05495071e-03
 -7.62819499e-03  2.86206931e-01  9.99146163e-01 -2.21983835e-01
  5.58735192e-01  3.31113011e-01  1.78985089e-01  1.72142640e-01
 -1.76358894e-01 -4.60186064e-01  1.55210987e-01  5.14102757e-01
  8.57728601e-01]","[ 0.07049751  0.25104365 -0.05715735  0.14157161  0.08270571  0.04178063
  0.04470935 -0.04595388 -0.11277352  0.04128722]","[-0.17832455039024353, 0.21738074719905853, -0.06516429781913757, -0.3623494505882263, 0.23210904002189636, 0.2962181270122528, 0.07342229038476944, -0.03447939082980156, 0.38311731815338135, -0.11455023288726807]"
150,1.1640625,"[ 1.85107216e-02  3.28558870e-02 -4.47410345e-03  2.18996871e-02
 -7.68780187e-02 -9.96799827e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  4.13894653e-03 -1.17718894e-02  2.81198118e-02
  5.38644791e-02  3.23121846e-02  1.15262985e-01 -7.13904202e-02
  2.83386614e-02  9.91077423e-02 -1.12043798e-01  1.34065626e-02
 -6.59370446e-04 -1.51648521e-02  1.42857553e-02  2.74190883e-04
  2.19821930e-04 -2.19821930e-04 -8.13188590e-03  6.59370446e-04
 -5.81999542e-03  2.56813645e-01  1.05875361e+00 -2.72299886e-01
  6.32662475e-01  3.48818690e-01  7.61083961e-02  2.10100710e-01
 -3.02398592e-01 -3.63649458e-01  3.06691378e-01  8.57728601e-01
  5.14102757e-01]","[ 0.06070764  0.26616728 -0.06662486  0.15934962  0.08755351  0.0150353
  0.05564277 -0.06932943 -0.08878009  0.08167674]","[-0.18638332188129425, 0.2340947985649109, -0.07660555094480515, -0.3441643714904785, 0.2373300939798355, 0.2706284821033478, 0.08213130384683609, -0.061180029064416885, 0.40709614753723145, -0.07659683376550674]"
160,1.2421875,"[ 1.34917051e-02  1.89907048e-02 -3.96511778e-02  3.36188115e-02
 -8.26480314e-02 -9.96011496e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  2.28309631e-02 -1.02460105e-02  7.13897683e-03
  8.20932388e-02  3.41499597e-02  1.16025925e-01 -7.21533597e-02
  1.38418581e-02  9.94892120e-02 -1.20884717e-01  1.38461115e-02
  6.59370446e-04 -1.16483690e-02  1.07692722e-02  9.52474424e-04
 -2.19821930e-04 -2.19821930e-04 -7.69233704e-03 -6.59370446e-04
 -5.51122008e-03  1.92689270e-01  1.06785178e+00 -2.51246035e-01
  7.07933784e-01  3.56990010e-01 -3.01273018e-02  2.96763122e-01
 -2.45125264e-01 -3.05361390e-01  4.59019005e-01  9.98795450e-01
  4.90676761e-02]","[ 0.04629618  0.2675683  -0.06175827  0.17918652  0.09010196 -0.01050275
  0.07696502 -0.06089281 -0.07519494  0.12155025]","[-0.20115885138511658, 0.23765332996845245, -0.07340643554925919, -0.3251660168170929, 0.23971647024154663, 0.24443262815475464, 0.1025087982416153, -0.05188819766044617, 0.42239147424697876, -0.03875751048326492]"
170,1.3203125,"[ 5.04791504e-03  1.29927509e-02 -2.09742133e-02  4.16070223e-02
 -8.52235928e-02 -9.95492816e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  4.07609940e-02 -9.10160132e-03 -1.00271609e-02
  1.00786209e-01  3.79853249e-02  1.16025925e-01 -7.21533597e-02
  2.01629661e-03  1.01015091e-01 -1.26983255e-01  6.81314478e-03
  2.19821930e-04 -2.19821930e-04  8.57143383e-03  1.64429646e-03
 -6.59370446e-04 -2.41756439e-03 -2.85711302e-03 -2.19821930e-04
 -3.59259895e-03  1.71831012e-01  1.09009552e+00 -2.61155188e-01
  7.74615943e-01  3.67682487e-01 -1.23490930e-01  3.79184008e-01
 -3.89234364e-01 -2.55970895e-01  6.54824138e-01  9.03989315e-01
 -4.27555084e-01]","[ 0.04281994  0.272426   -0.0659361   0.19492605  0.09149011 -0.03343543
  0.09737451 -0.10060872 -0.06282936  0.16779566]","[-0.20693176984786987, 0.24219270050525665, -0.07457064837217331, -0.3071160316467285, 0.24235743284225464, 0.22122281789779663, 0.12303213775157928, -0.0834924653172493, 0.435083270072937, 0.010665136389434338]"
180,1.3984375,"[ 8.67438689e-03  5.36623737e-03 -1.45955347e-02  4.58557568e-02
 -8.85022953e-02 -9.95020032e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  4.95347977e-02 -7.57572241e-03 -1.34603884e-02
  1.12993240e-01  3.89573723e-02  1.16788864e-01 -7.21533597e-02
 -2.17987038e-03  1.05211258e-01 -1.32832676e-01  4.17585392e-03
  2.19821930e-04 -3.73630528e-03  8.57143383e-03  9.84784347e-05
  6.59370446e-04 -1.09891896e-03 -1.53846748e-03  1.53846748e-03
 -1.87250401e-03  1.75042272e-01  1.07412243e+00 -2.59671330e-01
  8.12722683e-01  3.53512675e-01 -1.77264810e-01  4.44121689e-01
 -4.63771611e-01 -2.28211984e-01  7.63646364e-01  5.95699310e-01
 -8.03207517e-01]","[ 0.04264899  0.26817232 -0.06388906  0.20399672  0.0879577  -0.0462262
  0.11424636 -0.11472209 -0.05667001  0.19360001]","[-0.20544840395450592, 0.2394397109746933, -0.07551468908786774, -0.29765963554382324, 0.23880991339683533, 0.20716607570648193, 0.13831892609596252, -0.10554977506399155, 0.4426019787788391, 0.03864295780658722]"
190,1.4765625,"[ 5.43047814e-03 -4.45963489e-03 -4.03590463e-02  4.59486879e-02
 -9.22141746e-02 -9.94678497e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00  6.09788895e-02 -7.95719214e-03 -2.52869036e-02
  1.23292923e-01  3.88503820e-02  1.19459152e-01 -7.36792386e-02
 -1.13351438e-02  1.11696243e-01 -1.34939045e-01  7.69233704e-03
 -1.09891896e-03 -8.13188590e-03  5.93404798e-03  1.03596125e-04
  2.19821930e-04 -1.09891896e-03 -5.49449911e-03  2.41756439e-03
  2.98753785e-05  1.50158405e-01  1.04163492e+00 -2.04834774e-01
  8.48967612e-01  3.61608058e-01 -2.06704229e-01  5.39098501e-01
 -4.45899338e-01 -2.32430473e-01  8.51570189e-01  1.46730468e-01
 -9.89176512e-01]","[ 0.03638396  0.2598694  -0.04971568  0.21324632  0.09065665 -0.05358082
  0.13779551 -0.11068103 -0.05822123  0.2164223 ]","[-0.2117047756910324, 0.23117686808109283, -0.06257563829421997, -0.2887570858001709, 0.24002008140087128, 0.19958455860614777, 0.16161417961120605, -0.10058750957250595, 0.4418436586856842, 0.06010128930211067]"
