step,phase,obs,action_scaled,smoothed_joint_pos
0,,,,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,0.03125,"[ 1.95090324e-01  9.80785251e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -2.72750854e-03  6.92108087e-03 -2.39776634e-03
 -3.61642838e-02  7.33172894e-02  2.18784735e-02  5.23195267e-02
 -3.74386609e-02 -1.59127805e-02  3.76901627e-02 -8.04103762e-02
 -1.49210319e-02 -3.60498428e-02 -1.27985001e-01 -5.43603897e-02
  5.66492081e-02 -1.16348267e-02  4.00171280e-02  2.91824341e-02
  4.44421768e-02  4.52051163e-02 -5.26056290e-02  2.19821930e-04
 -6.59370446e-04 -2.19821930e-04 -2.19821930e-04  2.26846765e-04
  2.00617811e-04 -2.19821930e-04 -1.09891896e-03  2.19821930e-04
 -2.19821930e-04  2.26844713e-04 -2.02512252e-04 -6.59370446e-04
 -2.19821930e-04  2.19821930e-04 -6.59370446e-04  2.19821930e-04
 -2.19821930e-04 -2.19821930e-04 -2.19821930e-04  2.19821930e-04
  6.59370446e-04 -4.77225363e-01  1.44476503e-01  5.78602739e-02
  2.95874327e-01  3.95407200e-01  5.58380038e-02  2.57140994e-01
 -5.51646985e-02 -7.26851672e-02  6.97631761e-03 -4.95207131e-01
  6.39146209e-01  1.20928146e-01  3.02567810e-01  6.60589412e-02
 -2.23873109e-02  2.82925010e-01  3.25526893e-01 -5.69902360e-01
 -1.16941676e-01 -6.55883074e-01 -6.91447318e-01 -5.29794663e-04
 -9.11812298e-04  1.20686018e-03  1.08903777e-02  8.35408922e-03
 -9.99905825e-01]","[-0.0454348  -0.02491644  0.00026862 -0.02822118  0.13483001 -0.09441717
  0.01804691  0.01505256 -0.00298207  0.00107499 -0.14907423  0.07351913
 -0.16212283 -0.00335776 -0.00047275 -0.00486538 -0.0619665   0.12642305
 -0.00924479 -0.02117885  0.18603204 -0.18644562]","[-0.2536853849887848, -0.023136215284466743, -0.006636066362261772, -0.40152859687805176, 0.19447346031665802, -0.04819195717573166, 0.23196479678153992, 0.03017781302332878, -0.003881588578224182, 0.3861045837402344, -0.20876403152942657, 0.10704557597637177, -0.021288074553012848, 0.027184979990124702, -0.0033819645177572966, -0.008906402625143528, 0.003881551790982485, -0.715702474117279, -0.051892414689064026, -0.02246488258242607, 0.007953011430799961, 0.6522036790847778]"
10,0.0703125,"[ 4.2755508e-01  9.0398932e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.7275085e-03  6.9210809e-03 -2.3977663e-03
 -3.6164284e-02  7.3317289e-02  2.1878473e-02  5.2319527e-02
 -3.7438661e-02 -1.5912781e-02  3.7690163e-02 -8.0410376e-02
 -1.4921032e-02 -3.6049843e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.0017128e-02  2.9182434e-02
  4.4442177e-02  4.5205116e-02 -5.2605629e-02  2.1982193e-04
  2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -1.1367912e-04
  7.8078386e-07 -2.1982193e-04 -6.5937045e-04  6.5937045e-04
 -2.1982193e-04 -2.2606587e-04 -1.9955996e-04 -6.5937045e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -6.5937045e-04
  2.1982193e-04 -3.3931535e-01  1.2832700e-01 -1.8050219e-01
 -2.1718745e-01  4.9192765e-01 -1.7207898e-01 -5.9636301e-01
 -9.4153062e-02  1.3894871e-01 -1.0126584e-01 -6.0678399e-01
  8.2882786e-01 -1.6509961e+00  2.6667664e-02 -3.8691875e-01
 -2.5308958e-01  1.8650991e-01  3.9295536e-01 -9.4353229e-02
 -2.0153661e-01 -5.3526151e-01 -4.9219486e-01 -1.0794512e-03
  1.2122010e-03 -1.3461376e-03  1.0920640e-02  8.3756559e-03
 -9.9990535e-01]","[ 0.17867513  0.02345178  0.06932303 -0.06574658  0.06524155 -0.08193917
  0.14884229 -0.06199201 -0.00621268 -0.25520653 -0.19896981  0.3703512
  0.5615259   0.02778728 -0.02572045  0.03248886  0.03607052  0.06958605
 -0.00161433 -0.04124086  0.08041993 -0.16021413]","[-0.26599451899528503, -0.025270873680710793, -0.0007865749066695571, -0.5069754719734192, 0.2626854479312897, -0.059516541659832, 0.29226154088974, 0.009102707728743553, 0.011291317641735077, 0.4447150230407715, -0.3172628581523895, 0.19950638711452484, 0.04924197122454643, 0.024900510907173157, -0.005107819102704525, -0.004722834564745426, 0.010405187495052814, -0.9048548340797424, -0.0408487468957901, -0.028076356276869774, 0.011258301325142384, 0.8400324583053589]"
15,0.10937500000000001,"[ 6.3439327e-01  7.7301043e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.7275085e-03  6.9210809e-03 -2.3977663e-03
 -3.6164284e-02  7.3317289e-02  2.1878473e-02  5.2319527e-02
 -3.7438661e-02 -1.5912781e-02  3.7690163e-02 -8.0410376e-02
 -1.4921032e-02 -3.6049843e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.0017128e-02  2.9182434e-02
  4.4442177e-02  4.5205116e-02 -5.2605629e-02 -6.5937045e-04
  2.1982193e-04 -2.1982193e-04 -6.5937045e-04 -3.4098802e-04
  2.3420127e-06 -6.5937045e-04 -1.0989190e-03 -2.1982193e-04
 -2.1982193e-04  3.8949619e-07 -2.0107972e-04 -6.5937045e-04
 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -6.5937045e-04  4.3868202e-01 -1.5177955e-01 -6.6777349e-02
  1.0599502e-01 -7.3503226e-02 -1.4275265e-01  3.8335696e-01
 -2.1904653e-01 -4.8581056e-02 -7.4760389e-01 -5.8718139e-01
  1.4295244e+00  2.7857380e+00  2.6512083e-01  1.9605544e-01
 -1.3227813e-01  1.8190686e-02  1.5548146e-01 -9.8531663e-02
 -3.5030591e-01 -9.3854600e-01 -4.5371330e-01 -2.1401576e-03
  7.8545051e-04  4.0687117e-04  1.0922595e-02  8.3769308e-03
 -9.9990535e-01]","[-0.30149487 -0.07533883  0.02208284  0.16814376 -0.00195702 -0.0312546
  0.24244392  0.03984768  0.00430847  0.34868813 -0.14432384 -0.07407071
 -0.30843553  0.04704181  0.10218675  0.02944326  0.00561229  0.07151039
 -0.18495287  0.1425105   0.07409702 -0.12675267]","[-0.30133333802223206, -0.0424560010433197, 0.008827758952975273, -0.4539581835269928, 0.1768905371427536, -0.06393814086914062, 0.3522087037563324, -0.0014872472966089845, 0.01262750755995512, 0.511322021484375, -0.2998046875, 0.18393129110336304, 0.08832322061061859, 0.040364403277635574, 0.026371710002422333, 0.002867370378226042, 0.013004007749259472, -0.9259268045425415, -0.07856477051973343, 0.0036719790659844875, -0.011226102709770203, 0.8644559979438782]"
20,0.1484375,"[ 8.0320752e-01  5.9569931e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.7275085e-03  6.9210809e-03 -2.3977663e-03
 -3.6164284e-02  7.3317289e-02  2.1878473e-02  5.2319527e-02
 -3.7438661e-02 -1.5912781e-02  3.7690163e-02 -8.0410376e-02
 -1.4921032e-02 -3.6049843e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.0017128e-02  2.9182434e-02
  4.4442177e-02  4.5205116e-02 -5.2605629e-02 -2.1982193e-04
 -6.5937045e-04 -2.1982193e-04 -1.0989190e-03 -4.8691953e-07
  2.0222306e-04 -1.0989190e-03  2.1982193e-04  6.5937045e-04
 -2.1982193e-04  1.1243646e-04  4.0137782e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -1.0989190e-03  2.1982193e-04
  2.1982193e-04  2.1982193e-04 -2.1982193e-04  2.1982193e-04
 -2.1982193e-04 -1.3351082e+00 -2.8352568e-01  2.4556769e-01
  5.8398360e-01 -1.4291950e-01 -3.3763319e-02  4.6076572e-01
  1.9340673e-01 -6.9826975e-02  1.1997082e+00 -4.3892157e-01
  1.1505739e-01 -2.0672748e+00  2.5318798e-01  1.5224463e-01
 -3.0081058e-01 -2.2079587e-01  2.6190382e-01 -5.8535516e-01
  1.6399524e-01  1.6715437e-02 -3.3593804e-01 -3.6695547e-04
  4.9094367e-04 -1.0051177e-03  1.0954725e-02  8.3023384e-03
 -9.9990535e-01]","[ 1.9024481e-01  5.2319773e-02  2.9949736e-02 -1.3443685e-01
  7.9112994e-03 -2.0840259e-01 -1.1987656e-01 -1.5663019e-01
  7.2573841e-02 -2.9978406e-01 -1.6937377e-01  4.5719868e-01
  6.8856031e-02 -4.0390375e-03 -1.4537516e-01  1.5575089e-02
  7.0904367e-02  9.1108173e-02 -4.1555893e-04 -1.2547244e-01
  6.5011278e-02 -1.2827811e-01]","[-0.30434268712997437, -0.058919694274663925, 0.01946800760924816, -0.46750426292419434, 0.14125218987464905, -0.10916703194379807, 0.31401488184928894, -0.018348000943660736, 0.029443588107824326, 0.5125002264976501, -0.29648536443710327, 0.21133679151535034, -0.04561401158571243, 0.033018339425325394, -0.000619566417299211, -0.0012946475762873888, 0.01718546450138092, -0.9280063509941101, -0.06600173562765121, -0.016064684838056564, 0.008036277256906033, 0.8877063393592834]"
25,0.1875,"[ 9.2387950e-01  3.8268343e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.7275085e-03  6.9210809e-03 -2.3977663e-03
 -3.6164284e-02  7.3317289e-02  2.1878473e-02  5.2319527e-02
 -3.7438661e-02 -1.5912781e-02  3.7690163e-02 -8.0410376e-02
 -1.4921032e-02 -3.6049843e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.0017128e-02  2.9182434e-02
  4.4442177e-02  4.5205116e-02 -5.2605629e-02 -6.5937045e-04
 -2.1982193e-04  2.1982193e-04 -6.5937045e-04  1.1268072e-04
  4.0362167e-04 -6.5937045e-04 -6.5937045e-04 -2.1982193e-04
 -2.1982193e-04 -1.1243646e-04 -4.0137782e-04 -6.5937045e-04
 -6.5937045e-04 -6.5937045e-04  2.1982193e-04 -2.1982193e-04
  2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
  2.1982193e-04  7.6238769e-01  1.3490915e-01  8.6166754e-02
 -4.8040506e-01  2.5128379e-02 -6.4734489e-01 -1.9134137e-01
 -5.6932187e-01  2.5637323e-01 -1.1142290e+00 -6.5197128e-01
  1.9663308e+00  1.1026744e+00  1.0765536e-01 -5.2866691e-01
 -1.9960837e-01  1.8118230e-01  2.5924149e-01  2.2155900e-02
 -5.9666359e-01 -2.3017587e-01 -3.7089768e-01  4.3615606e-03
  7.0811494e-04  2.0252103e-03  1.0924165e-02  8.2672117e-03
 -9.9990618e-01]","[-0.19115332 -0.14454772  0.00150869  0.21343382  0.00310254 -0.02596475
  0.33429205  0.02088376 -0.02614142  0.2618975  -0.18210419 -0.08088142
  0.2807686   0.05573271  0.23710561  0.07726294  0.01057073  0.04466118
 -0.10864181  0.10930654 -0.08239955 -0.09074087]","[-0.28852578997612, -0.08851273357868195, 0.016042212024331093, -0.451191246509552, 0.14887793362140656, -0.1049322634935379, 0.3453027904033661, -0.015555927529931068, 0.023061703890562057, 0.508398175239563, -0.30866697430610657, 0.20459817349910736, 0.10701391100883484, 0.033089179545640945, 0.02704402431845665, 0.008487937971949577, 0.022117316722869873, -0.9425058364868164, -0.04322309419512749, -0.02081375941634178, -0.022358937188982964, 0.9066419005393982]"
30,0.22656249999999997,"[ 9.8917651e-01  1.4673047e-01  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -2.7275085e-03  6.9210809e-03 -2.3977663e-03
 -3.6164284e-02  7.3317289e-02  2.1878473e-02  5.2319527e-02
 -3.7438661e-02 -1.5912781e-02  3.7690163e-02 -8.0410376e-02
 -1.4921032e-02 -3.6049843e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.0017128e-02  2.9182434e-02
  4.4442177e-02  4.5205116e-02 -5.2605629e-02 -6.5937045e-04
 -6.5937045e-04  2.1982193e-04  2.1982193e-04  1.1367912e-04
 -7.8078386e-07 -2.1982193e-04 -6.5937045e-04  6.5937045e-04
  1.0989190e-03  3.8949619e-07 -2.0107972e-04  6.5937045e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04
 -2.1982193e-04 -6.5937045e-04 -2.1982193e-04  2.1982193e-04
 -1.0989190e-03 -9.9877942e-01 -4.9543732e-01  2.0088848e-02
  9.0924793e-01 -7.1175992e-02  7.4330620e-02  1.2081360e+00
  6.1593272e-02 -8.0902234e-02  1.3221366e+00 -6.7495912e-01
 -3.9277118e-01  2.5094694e-01  2.7574727e-01  8.7855631e-01
  4.1509725e-02 -8.5660130e-02  2.1230257e-01 -6.1677027e-01
  3.0155259e-01 -3.6476362e-01 -3.0164090e-01 -4.3282422e-04
  6.1866913e-02  2.9319279e-02  1.0908946e-02  8.3177881e-03
 -9.9990594e-01]","[-0.08567943 -0.03024966  0.06679076 -0.02143952  0.00795902 -0.09316775
 -0.17538908 -0.02894639  0.01370249 -0.01134811 -0.10917975  0.22320801
 -0.51311874 -0.01000415 -0.12010103 -0.01233112 -0.00652681  0.0595035
  0.04712015 -0.06428841  0.16600648 -0.05321814]","[-0.36056292057037354, -0.09796503931283951, 0.02561977133154869, -0.42363303899765015, 0.1558321863412857, -0.06337393820285797, 0.32292643189430237, 0.012651879340410233, 0.010260379873216152, 0.5868768095970154, -0.2928851842880249, 0.14464884996414185, -0.05758855491876602, 0.031076248735189438, 0.030414750799536705, 0.0025361240841448307, 0.004082689993083477, -0.9502820372581482, -0.03964150324463844, -0.00283333589322865, 0.009922962635755539, 0.9285751581192017]"
35,0.265625,"[ 9.9518472e-01 -9.8017141e-02  2.0000000e-01  0.0000000e+00
  0.0000000e+00 -1.6078949e-02  6.5396111e-03  6.5399148e-04
 -3.2731056e-02  7.3623478e-02  1.5736213e-02  6.5670967e-02
 -4.1253358e-02 -7.1389768e-03  4.1886330e-02 -1.0170135e-01
  1.9672377e-02 -3.6812782e-02 -1.2798500e-01 -5.4360390e-02
  5.6649208e-02 -1.1634827e-02  4.2687416e-02  2.8800964e-02
  4.4442177e-02  4.5205116e-02 -5.7564735e-02 -2.0439530e-02
  1.0989190e-03  1.0989190e-03  6.5937045e-04 -2.2535938e-04
 -2.2229729e-03  1.4285755e-02  5.4944991e-03  6.8131448e-03
  5.9340480e-03 -1.7764067e-02  2.9596781e-02  6.5937045e-04
 -6.5937045e-04 -2.1982193e-04 -2.1982193e-04 -2.1982193e-04
  4.6154023e-03 -5.4944991e-03 -2.1982193e-04  2.1982193e-04
 -5.4944991e-03  1.9318305e-01 -5.1117767e-02  2.8156748e-01
 -3.2157129e-01 -1.9615963e-01 -5.2146429e-01 -7.9286814e-01
 -4.3948233e-01  7.0510663e-02 -5.0892663e-01 -4.5526946e-01
  1.2692637e+00 -1.2081980e+00  1.1791194e-02 -5.5359173e-01
 -9.1793597e-02 -4.1019633e-02  2.8261140e-01  1.9624066e-01
 -6.0695750e-01  3.8659215e-01 -1.7972390e-01  1.7296841e-02
  3.8336936e-01  3.0249515e-01  2.3074869e-02  8.4998133e-03
 -9.9969757e-01]","[ 0.12729514 -0.12939432 -0.01100952  0.01650886 -0.12513822 -0.06045267
  0.19769746 -0.0297506  -0.01279262 -0.03316079 -0.12169297  0.19494723
  0.6750913   0.04083078  0.05326465  0.04055852  0.03383292 -0.0033954
  0.03386869  0.0176507  -0.16535434 -0.04097889]","[-0.24319878220558167, -0.09776682406663895, 0.01881246827542782, -0.49127674102783203, 0.09014913439750671, -0.07844776660203934, 0.2932124137878418, -0.010486850515007973, 0.01347118616104126, 0.4983491003513336, -0.2799842059612274, 0.21882325410842896, 0.06913036108016968, 0.028325155377388, -0.01942356489598751, 0.0020704350899904966, 0.00882642436772585, -0.9626129269599915, -0.005068318918347359, -0.02979232929646969, -0.014923217706382275, 0.9464994072914124]"
40,0.3046875,"[ 9.41544056e-01 -3.36889863e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -5.00307083e-02  1.18801873e-02  1.55313108e-02
 -3.19681168e-02  7.20456243e-02  1.46857612e-02  9.16109085e-02
 -2.40872186e-02 -2.72521749e-04  7.04965591e-02 -1.12728536e-01
  3.67086157e-02 -4.71124649e-02 -1.27985001e-01 -5.28345108e-02
  5.58862686e-02 -1.16348267e-02  4.34503555e-02  2.49862671e-02
  4.44421768e-02  4.52051163e-02 -5.98535538e-02 -3.31868194e-02
  1.03296284e-02  1.69230457e-02 -1.09891896e-03 -4.77309851e-03
 -6.26744097e-03  2.39560138e-02  9.89007950e-03  1.64834987e-02
  2.13187225e-02 -1.14026694e-02  1.49468845e-03 -1.82417873e-02
 -2.19821930e-04 -1.09891896e-03 -3.29666142e-03  2.19821930e-04
  1.09891896e-03  2.19821930e-04  1.09891896e-03 -2.19821930e-04
 -1.97801599e-03  1.00922346e-01 -7.81969309e-01 -1.27175719e-01
  3.22502971e-01 -5.08592784e-01 -1.46299317e-01  1.38246679e+00
  4.97661904e-02 -1.11271247e-01  5.48280180e-01 -6.77902281e-01
 -1.14382088e-01  2.06054354e+00  1.96244106e-01  5.82937300e-01
  7.10553601e-02  1.59523904e-01  2.23126337e-02  7.15863705e-02
  2.19305649e-01 -7.02138543e-01 -9.06273872e-02  7.31827766e-02
  9.15349796e-02  5.61583817e-01  3.94824147e-02  3.06992000e-03
 -9.99215484e-01]","[-0.22501825 -0.08335653  0.07072186  0.10000142 -0.08358975  0.00581825
  0.05435771  0.02314022 -0.03130791  0.17671877 -0.10462813  0.06408651
 -0.4666135   0.04371914 -0.02821492 -0.01958932 -0.03952217  0.03299943
 -0.07826895  0.00648287  0.11335082 -0.02799164]","[-0.2801821827888489, -0.1387937366962433, 0.012760177254676819, -0.4571978449821472, 0.035980984568595886, -0.06698574870824814, 0.38409706950187683, 0.0036867912858724594, 0.003850999055430293, 0.5698633193969727, -0.2848193943500519, 0.12277951091527939, 0.07429546862840652, 0.04135825112462044, 0.0190458782017231, 0.0023450367152690887, 0.005178902763873339, -0.9721255302429199, -0.029211487621068954, -0.0026661474257707596, -0.029067225754261017, 0.9610016942024231]"
45,0.34375,"[ 8.31469595e-01 -5.55570245e-01  2.00000003e-01  0.00000000e+00
  0.00000000e+00 -3.66792679e-02  1.11172479e-02  2.01089475e-02
 -2.20489502e-02  5.54891676e-02  5.99817885e-03  7.63521194e-02
 -2.90463250e-02  1.68936159e-02  5.71451187e-02 -1.19197220e-01
  3.42558771e-02 -5.24530411e-02 -1.27985001e-01 -5.28345108e-02
  5.51233292e-02 -1.16348267e-02  4.30688858e-02  2.84194946e-02
  4.44421768e-02  4.52051163e-02 -5.98535538e-02  3.09889801e-02
 -5.93404798e-03  1.64834987e-02  1.34065626e-02 -1.05490470e-02
  5.66052215e-04 -3.09889801e-02 -8.13188590e-03  9.45053156e-03
 -1.78022385e-02 -4.43755696e-03  6.81576831e-03  1.07692722e-02
 -2.19821930e-04  2.19821930e-04 -2.19821930e-04 -2.19821930e-04
 -2.19821930e-04  5.49449911e-03  1.09891896e-03 -2.19821930e-04
  2.19821930e-04 -7.14733541e-01 -1.10337198e-01  1.04662150e-01
  1.68279350e-01  1.58815533e-02 -8.45427215e-02 -4.25869256e-01
 -4.87992913e-03 -2.14867666e-02  3.92972589e-01 -4.08145189e-01
  2.11528063e-01 -2.29309297e+00  1.37515273e-02 -3.54056627e-01
 -1.88458443e-01 -1.80395432e-02  1.98260397e-01 -4.04301174e-02
 -3.98854136e-01  5.37747264e-01 -1.24730065e-01 -2.11525876e-02
 -1.21165141e-01  5.21351337e-01  3.08040772e-02  3.89008783e-03
 -9.99517798e-01]","[ 0.13226518  0.02701128  0.01565381 -0.10205375  0.02298871 -0.0767483
  0.06914881 -0.05999158 -0.01204375 -0.18328092 -0.11336376  0.31157774
  0.47317898  0.02054293 -0.08889949 -0.00282368  0.03496937  0.03604545
  0.03409284 -0.03754805 -0.05972354 -0.03811983]","[-0.3064230978488922, -0.06476321816444397, 0.0001098873108276166, -0.4705832302570343, 0.1378961205482483, -0.03872280940413475, 0.3064453601837158, 0.007327671628445387, -0.00447107944637537, 0.5251746773719788, -0.26728877425193787, 0.13586179912090302, -0.005017674062401056, 0.0262298583984375, -0.02458777092397213, -0.010725878179073334, 0.0068501876667141914, -0.9593440890312195, -0.022925347089767456, -0.030758172273635864, 0.00916220061480999, 0.9637752175331116]"
